"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,080","7,020","7,350","7,000","6.03K","-0.56%"
"2024- 05- 07","7,120","7,160","7,250","6,970","4.44K","0.00%"
"2024- 05- 03","7,120","7,260","7,300","7,120","1.51K","-1.11%"
"2024- 05- 02","7,200","7,590","7,650","7,180","12.13K","-1.91%"
"2024- 04- 30","7,340","7,680","7,680","7,310","2.35K","-0.81%"
"2024- 04- 29","7,400","7,280","7,450","7,210","8.49K","1.65%"
"2024- 04- 26","7,280","7,400","7,490","7,240","2.52K","-3.32%"
"2024- 04- 25","7,530","7,210","7,570","6,710","15.75K","2.87%"
"2024- 04- 24","7,320","7,580","7,620","7,230","2.19K","-3.68%"
"2024- 04- 23","7,600","7,400","7,670","7,400","44.12K","2.84%"
"2024- 04- 22","7,390","7,550","7,600","7,390","2.88K","-2.51%"
"2024- 04- 19","7,580","7,400","7,640","7,370","24.15K","2.29%"
"2024- 04- 18","7,410","7,710","7,710","7,400","11.65K","-1.33%"
"2024- 04- 17","7,510","7,310","7,550","7,310","22.11K","1.35%"
"2024- 04- 16","7,410","7,520","7,520","7,260","18.02K","-1.72%"
"2024- 04- 15","7,540","7,400","7,720","7,180","16.19K","1.89%"
"2024- 04- 12","7,400","7,390","7,460","7,360","6.83K","0.14%"
"2024- 04- 11","7,390","7,400","7,620","7,320","36.77K","-0.40%"
"2024- 04- 09","7,420","7,460","7,470","7,020","20.32K","-0.54%"
"2024- 04- 08","7,460","7,480","7,480","7,290","13.26K","0.13%"
"2024- 04- 05","7,450","7,430","7,480","7,390","10.23K","0.27%"
"2024- 04- 04","7,430","7,100","7,430","7,100","34.89K","3.92%"
"2024- 04- 03","7,150","6,690","7,450","6,690","59.88K","5.46%"
"2024- 04- 02","6,780","7,170","7,430","6,680","33.00K","-6.22%"
"2024- 04- 01","7,230","7,090","7,360","7,030","48.75K","2.99%"
"2024- 03- 29","7,020","6,870","7,190","6,850","37.86K","1.01%"
"2024- 03- 28","6,950","6,940","6,980","6,900","34.78K","-0.57%"
"2024- 03- 27","6,990","6,930","7,070","6,830","50.80K","0.72%"
"2024- 03- 26","6,940","7,030","7,100","6,730","49.54K","-0.57%"
"2024- 03- 25","6,980","6,630","7,000","6,630","67.60K","5.28%"
"2024- 03- 22","6,630","6,380","6,770","6,330","95.93K","2.79%"
"2024- 03- 21","6,450","6,150","6,660","6,070","100.64K","4.88%"
"2024- 03- 20","6,150","5,990","6,200","5,930","59.91K","1.65%"
"2024- 03- 19","6,050","5,840","6,140","5,780","43.08K","3.60%"
"2024- 03- 18","5,840","5,760","5,840","5,720","11.37K","1.39%"
"2024- 03- 15","5,760","5,760","5,800","5,720","1.16K","0.00%"
"2024- 03- 14","5,760","5,760","5,780","5,670","10.10K","0.00%"
"2024- 03- 13","5,760","5,800","5,800","5,650","6.65K","0.52%"
"2024- 03- 12","5,730","5,740","5,800","5,670","6.56K","-0.17%"
"2024- 03- 11","5,740","5,740","5,750","5,640","7.19K","0.00%"
"2024- 03- 10","5,740","5,740","5,740","5,740","","0.00%"
"2024- 03- 08","5,740","5,720","5,790","5,550","15.38K","0.53%"
"2024- 03- 07","5,710","5,700","5,730","5,530","16.68K","0.71%"
"2024- 03- 06","5,670","5,940","6,030","5,500","154.54K","-5.50%"
"2024- 03- 05","6,000","5,990","6,040","5,900","2.38K","0.17%"
"2024- 03- 04","5,990","6,000","6,070","5,880","12.84K","0.84%"
"2024- 02- 29","5,940","6,200","6,220","5,620","89.25K","-4.04%"
"2024- 02- 28","6,190","6,210","6,210","6,190","1.85K","0.32%"
"2024- 02- 27","6,170","6,200","6,220","6,160","3.77K","-0.48%"
"2024- 02- 26","6,200","6,200","6,210","6,160","4.85K","0.00%"
"2024- 02- 25","6,200","6,200","6,200","6,200","","0.00%"
"2024- 02- 23","6,200","6,240","6,240","6,150","7.46K","-0.64%"
"2024- 02- 22","6,240","6,200","6,270","6,170","6.50K","0.32%"
"2024- 02- 21","6,220","6,230","6,270","6,190","5.26K","-0.80%"
"2024- 02- 20","6,270","6,240","6,370","6,220","13.34K","0.64%"
"2024- 02- 19","6,230","6,460","6,480","6,130","60.50K","-3.86%"
"2024- 02- 16","6,480","6,520","6,680","6,420","4.22K","-0.46%"
"2024- 02- 15","6,510","6,580","6,670","6,470","7.76K","-1.06%"
