"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,610.00","5,600.00","5,640.00","5,500.00","228.16K","0.36%"
"2024- 05- 07","5,590.00","5,650.00","5,700.00","5,560.00","170.69K","-0.71%"
"2024- 05- 03","5,630.00","5,720.00","5,750.00","5,620.00","106.84K","-0.53%"
"2024- 05- 02","5,660.00","5,680.00","5,720.00","5,610.00","156.29K","-0.35%"
"2024- 04- 30","5,680.00","5,740.00","5,850.00","5,660.00","212.47K","-1.22%"
"2024- 04- 29","5,750.00","5,850.00","5,960.00","5,750.00","287.33K","-0.35%"
"2024- 04- 26","5,770.00","5,790.00","5,970.00","5,690.00","489.38K","2.85%"
"2024- 04- 25","5,610.00","5,760.00","5,810.00","5,610.00","241.44K","-3.28%"
"2024- 04- 24","5,800.00","5,740.00","5,830.00","5,700.00","448.07K","2.47%"
"2024- 04- 23","5,660.00","5,540.00","6,090.00","5,510.00","2.12M","2.72%"
"2024- 04- 22","5,510.00","5,450.00","5,650.00","5,450.00","201.26K","0.92%"
"2024- 04- 19","5,460.00","5,730.00","5,860.00","5,350.00","560.23K","-5.04%"
"2024- 04- 18","5,750.00","5,690.00","5,810.00","5,690.00","244.95K","0.70%"
"2024- 04- 17","5,710.00","5,760.00","5,840.00","5,710.00","207.06K","0.18%"
"2024- 04- 16","5,700.00","5,730.00","5,990.00","5,660.00","683.26K","-2.06%"
"2024- 04- 15","5,820.00","5,810.00","5,890.00","5,700.00","331.82K","-1.85%"
"2024- 04- 12","5,930.00","6,000.00","6,090.00","5,920.00","427.43K","-0.67%"
"2024- 04- 11","5,970.00","5,960.00","6,010.00","5,810.00","475.14K","-1.81%"
"2024- 04- 09","6,080.00","6,010.00","6,360.00","5,970.00","1.26M","1.16%"
"2024- 04- 08","6,010.00","6,190.00","6,260.00","6,010.00","505.84K","0.00%"
"2024- 04- 05","6,010.00","6,070.00","6,230.00","5,950.00","730.73K","-2.44%"
"2024- 04- 04","6,160.00","5,980.00","6,240.00","5,960.00","617.53K","3.70%"
"2024- 04- 03","5,940.00","6,040.00","6,300.00","5,900.00","784.38K","-3.73%"
"2024- 04- 02","6,170.00","6,350.00","6,470.00","6,100.00","802.11K","-2.83%"
"2024- 04- 01","6,350.00","6,210.00","6,460.00","6,180.00","886.52K","2.92%"
"2024- 03- 29","6,170.00","6,150.00","6,330.00","6,090.00","753.34K","-0.96%"
"2024- 03- 28","6,230.00","6,730.00","7,140.00","6,210.00","6.69M","-4.30%"
"2024- 03- 27","6,510.00","6,650.00","6,710.00","6,360.00","2.96M","-3.98%"
"2024- 03- 26","6,780.00","5,990.00","6,890.00","5,930.00","15.81M","13.00%"
"2024- 03- 25","6,000.00","5,860.00","6,240.00","5,820.00","808.34K","2.39%"
"2024- 03- 22","5,860.00","5,880.00","5,930.00","5,790.00","300.03K","-1.35%"
"2024- 03- 21","5,940.00","5,980.00","6,080.00","5,920.00","452.55K","-0.67%"
"2024- 03- 20","5,980.00","5,970.00","6,440.00","5,840.00","2.38M","-2.29%"
"2024- 03- 19","6,120.00","5,650.00","6,530.00","5,470.00","3.13M","8.32%"
"2024- 03- 18","5,650.00","5,690.00","5,740.00","5,600.00","203.18K","-0.70%"
"2024- 03- 15","5,690.00","5,830.00","5,840.00","5,680.00","238.58K","-2.23%"
"2024- 03- 14","5,820.00","5,990.00","5,990.00","5,810.00","163.60K","-1.36%"
"2024- 03- 13","5,900.00","5,810.00","6,020.00","5,760.00","313.03K","1.72%"
"2024- 03- 12","5,800.00","5,940.00","5,980.00","5,760.00","0.10K","-2.19%"
"2024- 03- 11","5,930.00","6,080.00","6,100.00","5,930.00","0.10K","-2.47%"
"2024- 03- 10","6,080.00","6,080.00","6,080.00","6,080.00","","0.00%"
"2024- 03- 08","6,080.00","6,200.00","6,340.00","6,070.00","387.14K","-1.94%"
"2024- 03- 07","6,200.00","6,300.00","6,360.00","6,040.00","425.77K","-1.43%"
"2024- 03- 06","6,290.00","6,280.00","6,430.00","6,220.00","434.01K","-1.41%"
"2024- 03- 05","6,380.00","6,040.00","6,380.00","6,030.00","657.86K","4.93%"
"2024- 03- 04","6,080.00","6,020.00","6,140.00","5,910.00","264.89K","1.84%"
"2024- 03- 03","5,970.00","5,970.00","5,970.00","5,970.00","","0.00%"
"2024- 02- 29","5,970.00","6,160.00","6,160.00","5,860.00","489.30K","-3.08%"
"2024- 02- 28","6,160.00","6,200.00","6,380.00","6,060.00","2.65K","0.98%"
"2024- 02- 27","6,100.00","6,190.00","6,220.00","6,040.00","0.25K","-1.93%"
"2024- 02- 26","6,220.00","6,300.00","6,300.00","6,120.00","297.85K","-1.27%"
"2024- 02- 25","6,300.00","6,300.00","6,300.00","6,300.00","","0.00%"
"2024- 02- 23","6,300.00","6,370.00","6,650.00","6,250.00","928.77K","-2.17%"
"2024- 02- 22","6,440.00","6,200.00","6,470.00","6,130.00","0.00K","5.57%"
"2024- 02- 21","6,100.00","6,220.00","6,350.00","6,090.00","380.85K","-2.71%"
"2024- 02- 20","6,270.00","6,310.00","6,380.00","6,100.00","571.10K","-2.18%"
"2024- 02- 19","6,410.00","6,170.00","6,410.00","6,070.00","0.17K","6.13%"
"2024- 02- 18","6,040.00","6,040.00","6,040.00","6,040.00","","0.00%"
"2024- 02- 16","6,040.00","6,230.00","6,260.00","6,000.00","559.91K","-3.67%"
"2024- 02- 15","6,270.00","6,120.00","6,440.00","6,030.00","1.09K","2.96%"
"2024- 02- 14","6,090.00","5,860.00","6,160.00","5,770.00","941.30K","4.64%"
"2024- 02- 13","5,820.00","5,800.00","5,900.00","5,750.00","395.54K","2.11%"
"2024- 02- 08","5,700.00","5,610.00","5,720.00","5,580.00","252.24K","1.60%"
"2024- 02- 07","5,610.00","5,570.00","5,730.00","5,560.00","222.20K","0.36%"
"2024- 02- 06","5,590.00","5,660.00","5,710.00","5,480.00","385.32K","-1.41%"
"2024- 02- 05","5,670.00","5,710.00","5,790.00","5,580.00","0.20K","-1.22%"
"2024- 02- 04","5,740.00","5,740.00","5,740.00","5,740.00","","0.00%"
"2024- 02- 02","5,740.00","5,680.00","6,080.00","5,540.00","859.09K","3.80%"
"2024- 02- 01","5,530.00","5,710.00","5,830.00","5,400.00","628.99K","-5.15%"
"2024- 01- 31","5,830.00","5,660.00","6,120.00","5,660.00","691.97K","0.87%"
"2024- 01- 30","5,780.00","5,990.00","5,990.00","5,580.00","0.35K","-1.87%"
"2024- 01- 29","5,890.00","6,560.00","6,650.00","5,470.00","2.03M","-8.11%"
"2024- 01- 28","6,410.00","6,410.00","6,410.00","6,410.00","","0.00%"
"2024- 01- 26","6,410.00","6,190.00","6,470.00","6,120.00","1.01M","6.13%"
"2024- 01- 25","6,040.00","6,220.00","6,300.00","5,990.00","405.02K","-2.89%"
"2024- 01- 24","6,220.00","6,360.00","6,480.00","6,200.00","0.00K","-1.43%"
"2024- 01- 23","6,310.00","6,310.00","6,390.00","6,060.00","583.50K","0.80%"
