"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,020","3,030","3,035","2,990","9.45K","-0.66%"
"2024- 05- 07","3,040","2,980","3,070","2,970","32.96K","1.67%"
"2024- 05- 03","2,990","3,010","3,010","2,880","25.75K","-0.66%"
"2024- 05- 02","3,010","3,030","3,070","2,970","37.16K","-2.27%"
"2024- 04- 30","3,080","3,080","3,110","3,050","20.47K","0.00%"
"2024- 04- 29","3,080","3,010","3,095","3,010","12.00K","2.33%"
"2024- 04- 26","3,010","3,055","3,065","3,005","13.99K","-1.47%"
"2024- 04- 25","3,055","3,070","3,140","3,010","23.43K","-1.61%"
"2024- 04- 24","3,105","3,075","3,170","3,030","22.68K","0.98%"
"2024- 04- 23","3,075","3,090","3,135","3,015","16.32K","-0.65%"
"2024- 04- 22","3,095","3,035","3,145","3,000","35.96K","1.81%"
"2024- 04- 19","3,040","3,075","3,125","2,980","27.79K","-1.14%"
"2024- 04- 18","3,075","2,845","3,075","2,845","77.22K","8.08%"
"2024- 04- 17","2,845","2,785","3,060","2,755","102.01K","1.79%"
"2024- 04- 16","2,795","2,865","2,865","2,765","25.74K","-3.29%"
"2024- 04- 15","2,890","2,980","2,995","2,830","26.09K","-3.67%"
"2024- 04- 12","3,000","3,020","3,020","2,900","17.27K","-0.83%"
"2024- 04- 11","3,025","3,020","3,050","2,950","19.61K","0.17%"
"2024- 04- 09","3,020","3,020","3,050","2,970","17.13K","0.00%"
"2024- 04- 08","3,020","2,940","3,020","2,930","26.95K","2.72%"
"2024- 04- 05","2,940","2,880","3,125","2,880","28.56K","2.08%"
"2024- 04- 04","2,880","3,025","3,100","2,880","56.97K","-4.79%"
"2024- 04- 03","3,025","3,050","3,050","2,965","20.60K","-0.82%"
"2024- 04- 02","3,050","3,025","3,060","3,000","27.39K","0.83%"
"2024- 04- 01","3,025","2,935","3,025","2,920","30.19K","3.60%"
"2024- 03- 29","2,920","2,850","2,980","2,850","14.78K","2.46%"
"2024- 03- 28","2,850","2,935","2,950","2,850","27.69K","-3.39%"
"2024- 03- 27","2,950","2,960","3,090","2,930","15.78K","-0.34%"
"2024- 03- 26","2,960","2,920","3,035","2,895","40.00K","1.37%"
"2024- 03- 25","2,920","2,890","2,960","2,750","46.42K","0.17%"
"2024- 03- 22","2,915","2,875","2,930","2,755","46.31K","1.39%"
"2024- 03- 21","2,875","2,805","2,885","2,805","39.00K","2.86%"
"2024- 03- 20","2,795","2,750","2,840","2,750","25.98K","1.64%"
"2024- 03- 19","2,750","2,665","2,765","2,655","33.64K","3.19%"
"2024- 03- 18","2,665","2,665","2,665","2,580","16.51K","0.95%"
"2024- 03- 15","2,640","2,665","2,680","2,630","6.00K","-1.49%"
"2024- 03- 14","2,680","2,675","2,680","2,645","0.08K","-0.56%"
"2024- 03- 13","2,695","2,615","2,740","2,590","0.03K","4.05%"
"2024- 03- 12","2,590","2,700","2,700","2,590","67.77K","-5.47%"
"2024- 03- 11","2,740","2,755","2,775","2,665","22.75K","-0.54%"
"2024- 03- 08","2,755","2,785","2,785","2,720","17.89K","-1.25%"
"2024- 03- 07","2,790","2,795","2,795","2,735","35.88K","-0.18%"
"2024- 03- 06","2,795","2,800","2,830","2,775","12.78K","-0.18%"
"2024- 03- 05","2,800","2,900","2,900","2,780","24.75K","-3.45%"
"2024- 03- 04","2,900","2,830","2,915","2,775","0.04K","2.47%"
"2024- 03- 03","2,830","2,830","2,830","2,830","","0.00%"
"2024- 02- 29","2,830","2,840","2,980","2,605","66.59K","-0.35%"
"2024- 02- 28","2,840","2,845","2,855","2,780","30.56K","-0.53%"
"2024- 02- 27","2,855","2,870","2,870","2,805","10.26K","-0.52%"
"2024- 02- 26","2,870","2,890","2,890","2,810","12.71K","-0.69%"
"2024- 02- 25","2,890","2,890","2,890","2,890","","0.00%"
"2024- 02- 23","2,890","2,915","2,945","2,850","25.46K","-0.86%"
"2024- 02- 22","2,915","2,905","2,940","2,865","14.14K","-0.85%"
"2024- 02- 21","2,940","2,935","2,940","2,910","7.25K","0.00%"
"2024- 02- 20","2,940","2,930","2,940","2,905","9.71K","0.34%"
"2024- 02- 19","2,930","2,945","2,945","2,900","16.99K","-0.68%"
"2024- 02- 16","2,950","2,950","3,010","2,900","9.78K","0.00%"
"2024- 02- 15","2,950","2,910","2,960","2,885","0.41K","1.72%"
"2024- 02- 14","2,900","2,935","2,990","2,840","33.32K","-1.19%"
"2024- 02- 13","2,935","2,980","2,990","2,935","20.79K","-2.00%"
"2024- 02- 08","2,995","2,910","2,995","2,905","12.04K","2.92%"
"2024- 02- 07","2,910","2,920","2,960","2,850","21.45K","-0.34%"
"2024- 02- 06","2,920","2,970","3,090","2,870","26.74K","-1.68%"
"2024- 02- 05","2,970","3,060","3,060","2,935","0.60K","-1.00%"
"2024- 02- 04","3,000","3,000","3,000","3,000","","0.00%"
"2024- 02- 02","3,000","2,945","3,060","2,925","32.80K","1.01%"
"2024- 02- 01","2,970","3,065","3,095","2,945","22.36K","-4.19%"
"2024- 01- 31","3,100","3,125","3,195","3,030","24.70K","-0.80%"
"2024- 01- 30","3,125","3,115","3,190","3,065","30.22K","-0.48%"
"2024- 01- 29","3,140","3,145","3,145","3,080","0.01K","-0.16%"
"2024- 01- 26","3,145","3,135","3,150","3,060","15.57K","-0.16%"
"2024- 01- 25","3,150","3,120","3,150","3,095","11.96K","0.00%"
"2024- 01- 24","3,150","3,185","3,185","3,000","16.98K","-0.47%"
"2024- 01- 23","3,165","3,120","3,190","3,090","50.82K","1.44%"
"2024- 01- 22","3,120","2,960","3,125","2,960","69.70K","5.41%"
"2024- 01- 19","2,960","2,900","3,000","2,900","11.84K","2.07%"
"2024- 01- 18","2,900","2,940","2,950","2,780","15.97K","-1.69%"
"2024- 01- 17","2,950","2,975","2,975","2,890","4.27K","-1.01%"
"2024- 01- 16","2,980","2,990","2,990","2,930","5.28K","-0.33%"
"2024- 01- 15","2,990","2,960","2,990","2,865","13.24K","-0.50%"
"2024- 01- 14","3,005","3,005","3,005","3,005","","0.00%"
"2024- 01- 12","3,005","3,025","3,025","2,850","11.07K","-1.31%"
"2024- 01- 11","3,045","3,035","3,050","2,975","0.00K","0.50%"
"2024- 01- 10","3,030","3,030","3,090","2,990","7.92K","0.00%"
"2024- 01- 09","3,030","3,035","3,120","3,005","8.82K","-0.16%"
"2024- 01- 08","3,035","3,100","3,100","3,025","7.10K","0.33%"
"2024- 01- 05","3,025","3,045","3,050","2,995","11.08K","-0.33%"
"2024- 01- 04","3,035","3,050","3,080","3,020","6.26K","0.00%"
"2024- 01- 03","3,035","3,010","3,060","2,965","12.98K","0.83%"
"2024- 01- 02","3,010","3,060","3,060","2,940","38.81K","-1.63%"
