"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 03- 25","2,020","1,881","2,085","1,815","3.82M","9.54%"
"2024- 03- 22","1,844","1,666","1,925","1,666","3.56M","-5.44%"
"2024- 03- 21","1,950","1,955","2,010","1,899","1.94M","-1.27%"
"2024- 03- 20","1,975","2,035","2,090","1,900","1.95M","-4.13%"
"2024- 03- 19","2,060","2,010","2,110","1,943","1.42M","2.23%"
"2024- 03- 18","2,015","1,895","2,110","1,860","2.37M","2.75%"
"2024- 03- 17","1,961","1,895","1,990","1,914","497.35K","0.56%"
"2024- 03- 15","1,950","1,896","2,295","1,896","8.24M","2.85%"
"2024- 03- 14","1,896","1,945","2,060","1,862","2.13M","-2.97%"
"2024- 03- 13","1,954","1,995","2,010","1,880","3.02M","-3.74%"
"2024- 03- 12","2,030","2,025","2,080","1,980","1.40M","0.25%"
"2024- 03- 11","2,025","2,065","2,200","2,000","1.25K","-4.48%"
"2024- 03- 10","2,120","2,120","2,120","2,120","","0.00%"
"2024- 03- 08","2,120","2,390","2,400","2,055","5.56M","-7.63%"
"2024- 03- 07","2,295","2,160","2,405","2,015","4.13K","20.92%"
"2024- 03- 06","1,898","1,792","2,245","1,787","12.81M","6.51%"
"2024- 03- 05","1,782","1,705","1,892","1,645","0.00K","4.52%"
"2024- 03- 04","1,705","1,550","1,827","1,550","5.21M","4.47%"
"2024- 03- 03","1,632","1,632","1,632","1,632","","0.00%"
"2024- 02- 29","1,632","1,675","1,690","1,565","6.88M","-7.38%"
"2024- 02- 28","1,762","1,800","1,800","1,706","0.11K","-4.86%"
"2024- 02- 27","1,852","1,903","1,903","1,824","1.04K","-1.96%"
"2024- 02- 26","1,889","1,957","1,960","1,837","3.41M","-3.47%"
"2024- 02- 25","1,957","1,957","1,957","1,957","","0.00%"
"2024- 02- 23","1,957","2,085","2,090","1,927","5.01M","-6.14%"
"2024- 02- 22","2,085","2,100","2,105","2,030","1.42M","-0.95%"
"2024- 02- 21","2,105","2,180","2,180","2,040","2.55K","0.00%"
"2024- 02- 20","2,105","2,225","2,245","2,090","0.03K","-7.88%"
"2024- 02- 19","2,285","2,495","2,500","2,280","0.90K","-8.60%"
"2024- 02- 16","2,500","2,495","2,560","2,390","3.79M","0.00%"
"2024- 02- 15","2,500","2,405","2,775","2,285","2.59K","16.01%"
"2024- 02- 14","2,155","2,125","2,240","2,125","0.30K","-3.15%"
"2024- 02- 13","2,225","2,150","2,255","2,060","0.31K","-3.68%"
"2024- 02- 12","2,310","2,310","2,310","2,310","","0.00%"
"2024- 02- 08","2,310","2,350","2,390","2,245","2.65M","-1.49%"
"2024- 02- 07","2,345","2,450","2,490","2,320","0.24K","-2.49%"
"2024- 02- 06","2,405","2,490","2,695","2,370","7.94M","-10.09%"
"2024- 02- 05","2,675","3,045","3,045","2,635","27.24K","-6.47%"
"2024- 02- 04","2,860","2,860","2,860","2,860","","0.00%"
"2024- 02- 02","2,860","2,355","2,860","2,305","31.26M","30.00%"
"2024- 02- 01","2,200","1,993","2,420","1,856","0.00K","3.04%"
"2024- 01- 31","2,135","2,550","2,550","2,135","0.11K","-29.89%"
"2024- 01- 30","3,045","3,110","3,430","2,985","0.04K","-2.25%"
"2024- 01- 29","3,115","3,425","3,425","3,000","3.30K","-9.32%"
"2024- 01- 28","3,435","3,435","3,435","3,435","","0.00%"
"2024- 01- 26","3,435","3,350","3,530","3,275","3.76M","0.59%"
"2024- 01- 25","3,415","3,610","3,610","3,030","0.24K","-7.45%"
"2024- 01- 24","3,690","5,080","5,150","3,640","54.20M","-28.90%"
"2024- 01- 23","5,190","5,510","5,520","5,180","878.06K","-4.95%"
"2024- 01- 22","5,460","5,380","5,560","5,120","787.44K","-3.53%"
"2024- 01- 21","5,660","5,660","5,660","5,660","","0.00%"
"2024- 01- 19","5,660","5,710","5,780","5,550","662.62K","0.00%"
"2024- 01- 18","5,660","5,880","5,880","5,520","760.40K","-2.92%"
"2024- 01- 17","5,830","5,960","5,960","5,690","0.02K","-2.18%"
"2024- 01- 16","5,960","5,980","6,040","5,870","387.34K","-0.67%"
"2024- 01- 15","6,000","5,980","6,140","5,920","719.14K","0.33%"
"2024- 01- 14","5,980","5,980","5,980","5,980","","0.00%"
"2024- 01- 12","5,980","5,990","6,050","5,840","995.76K","-3.39%"
"2024- 01- 11","6,190","6,320","6,370","6,160","0.52K","-2.06%"
"2024- 01- 10","6,320","6,550","6,550","6,280","0.01K","-5.81%"
"2024- 01- 09","6,710","6,730","6,840","6,650","399.70K","0.60%"
"2024- 01- 08","6,670","7,030","7,030","6,640","665.68K","-6.06%"
"2024- 01- 07","7,100","7,100","7,100","7,100","","0.00%"
"2024- 01- 05","7,100","7,100","7,190","6,930","576.63K","-0.70%"
"2024- 01- 04","7,150","7,400","7,570","7,150","0.02K","-5.05%"
"2024- 01- 03","7,530","6,510","8,020","6,400","0.41K","16.20%"
"2024- 01- 02","6,480","6,160","6,570","6,150","860.76K","4.01%"
