"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,850","2,870","2,870","2,850","9.61K","-0.18%"
"2024- 05- 07","2,855","2,855","2,915","2,850","11.34K","0.00%"
"2024- 05- 03","2,855","2,880","2,920","2,855","3.08K","-0.87%"
"2024- 05- 02","2,880","2,885","2,885","2,850","4.61K","-0.52%"
"2024- 04- 30","2,895","2,815","2,920","2,815","8.42K","0.17%"
"2024- 04- 29","2,890","2,855","2,930","2,855","12.19K","1.23%"
"2024- 04- 26","2,855","2,900","2,930","2,850","5.94K","-1.55%"
"2024- 04- 25","2,900","2,960","2,960","2,840","4.70K","-0.51%"
"2024- 04- 24","2,915","2,920","2,920","2,895","1.32K","0.34%"
"2024- 04- 23","2,905","2,890","2,930","2,890","2.47K","1.22%"
"2024- 04- 22","2,870","2,850","2,890","2,850","3.90K","0.00%"
"2024- 04- 19","2,870","2,970","2,970","2,840","8.79K","1.77%"
"2024- 04- 18","2,820","2,800","2,825","2,800","7.77K","0.00%"
"2024- 04- 17","2,820","2,825","2,835","2,820","4.51K","-0.18%"
"2024- 04- 16","2,825","2,850","2,850","2,825","3.52K","-0.88%"
"2024- 04- 15","2,850","2,875","2,875","2,840","7.48K","-1.21%"
"2024- 04- 12","2,885","2,855","2,885","2,850","4.26K","0.52%"
"2024- 04- 11","2,870","2,880","2,900","2,850","11.78K","-0.35%"
"2024- 04- 09","2,880","2,885","2,940","2,880","11.46K","-2.54%"
"2024- 04- 08","2,955","2,900","2,955","2,880","14.00K","1.90%"
"2024- 04- 05","2,900","2,950","2,950","2,900","2.72K","-1.69%"
"2024- 04- 04","2,950","2,900","2,950","2,880","6.21K","1.72%"
"2024- 04- 03","2,900","2,895","2,900","2,860","5.63K","0.17%"
"2024- 04- 02","2,895","2,930","2,930","2,895","5.90K","-0.34%"
"2024- 04- 01","2,905","2,970","2,970","2,855","7.78K","0.00%"
"2024- 03- 29","2,905","2,910","2,945","2,900","6.88K","-1.19%"
"2024- 03- 28","2,940","2,955","2,970","2,935","5.03K","0.00%"
"2024- 03- 27","2,940","2,915","2,945","2,910","6.41K","0.86%"
"2024- 03- 26","2,915","2,930","2,940","2,915","3.33K","-0.51%"
"2024- 03- 25","2,930","2,905","2,940","2,900","5.89K","0.69%"
"2024- 03- 22","2,910","2,985","2,985","2,850","14.49K","0.34%"
"2024- 03- 21","2,900","2,890","2,950","2,890","4.60K","0.35%"
"2024- 03- 20","2,890","2,910","2,960","2,865","10.55K","-0.69%"
"2024- 03- 19","2,910","2,895","2,955","2,875","7.63K","1.39%"
"2024- 03- 18","2,870","2,940","2,945","2,850","38.20K","-2.38%"
"2024- 03- 15","2,940","2,925","2,995","2,850","15.56K","1.38%"
"2024- 03- 14","2,900","2,940","2,945","2,885","14.44K","-0.68%"
"2024- 03- 13","2,920","2,950","3,005","2,905","13.66K","-0.68%"
"2024- 03- 12","2,940","2,970","3,015","2,940","6.22K","-1.01%"
"2024- 03- 11","2,970","2,945","2,995","2,940","5.50K","0.85%"
"2024- 03- 08","2,945","2,935","2,950","2,920","5.06K","0.68%"
"2024- 03- 07","2,925","2,960","2,980","2,890","18.08K","-2.34%"
"2024- 03- 06","2,995","2,980","3,005","2,965","6.11K","-0.17%"
"2024- 03- 05","3,000","3,030","3,030","2,990","4.73K","-0.17%"
"2024- 03- 04","3,005","2,995","3,045","2,995","4.03K","0.33%"
"2024- 02- 29","2,995","3,000","3,010","2,990","7.37K","-0.83%"
"2024- 02- 28","3,020","2,995","3,025","2,995","4.85K","0.83%"
"2024- 02- 27","2,995","3,035","3,050","2,995","6.01K","-1.32%"
"2024- 02- 26","3,035","3,085","3,085","3,035","14.72K","-1.62%"
"2024- 02- 23","3,085","3,130","3,140","3,085","2.90K","-1.75%"
"2024- 02- 22","3,140","3,140","3,155","3,065","29.58K","0.64%"
"2024- 02- 21","3,120","3,110","3,150","3,080","13.93K","0.32%"
"2024- 02- 20","3,110","3,125","3,125","3,095","4.26K","-0.16%"
"2024- 02- 19","3,115","3,055","3,120","3,040","28.88K","1.96%"
"2024- 02- 16","3,055","3,005","3,110","2,995","28.21K","2.00%"
"2024- 02- 15","2,995","3,000","3,015","2,990","7.10K","-0.17%"
"2024- 02- 14","3,000","2,985","3,010","2,970","6.22K","0.50%"
"2024- 02- 13","2,985","3,040","3,050","2,985","12.50K","-1.81%"
"2024- 02- 08","3,040","2,985","3,080","2,985","2.00K","0.83%"
"2024- 02- 07","3,015","3,005","3,080","2,985","5.84K","0.33%"
"2024- 02- 06","3,005","2,995","3,050","2,995","6.94K","0.33%"
"2024- 02- 05","2,995","2,985","3,000","2,970","5.01K","0.34%"
"2024- 02- 02","2,985","3,000","3,000","2,980","12.94K","-0.50%"
"2024- 02- 01","3,000","2,985","3,000","2,950","9.21K","0.67%"
"2024- 01- 31","2,980","3,000","3,000","2,980","5.25K","-1.32%"
"2024- 01- 30","3,020","2,960","3,020","2,960","10.24K","1.00%"
"2024- 01- 29","2,990","3,020","3,040","2,945","13.62K","-0.17%"
"2024- 01- 26","2,995","3,040","3,065","2,990","8.80K","0.84%"
"2024- 01- 25","2,970","3,020","3,030","2,970","10.95K","-1.66%"
"2024- 01- 24","3,020","3,065","3,145","2,990","36.59K","-2.11%"
"2024- 01- 23","3,085","3,035","3,130","3,035","1.86K","1.65%"
"2024- 01- 22","3,035","3,165","3,165","3,035","7.42K","-2.10%"
"2024- 01- 19","3,100","3,100","3,125","3,090","4.73K","-0.16%"
"2024- 01- 18","3,105","3,130","3,170","3,100","11.21K","-1.90%"
"2024- 01- 17","3,165","3,085","3,170","3,065","10.64K","2.59%"
"2024- 01- 16","3,085","3,090","3,125","3,080","4.98K","-1.75%"
"2024- 01- 15","3,140","3,105","3,160","3,105","6.76K","1.13%"
"2024- 01- 12","3,105","3,090","3,125","3,085","11.08K","-0.96%"
"2024- 01- 11","3,135","3,060","3,200","3,060","9.46K","0.32%"
"2024- 01- 10","3,125","3,125","3,135","3,110","3.36K","0.00%"
"2024- 01- 09","3,125","3,100","3,160","3,080","14.47K","0.81%"
"2024- 01- 08","3,100","3,090","3,130","3,065","8.36K","1.14%"
"2024- 01- 05","3,065","3,090","3,095","3,060","9.17K","-0.81%"
"2024- 01- 04","3,090","3,055","3,100","3,040","9.63K","1.15%"
"2024- 01- 03","3,055","3,075","3,110","3,040","9.14K","-0.65%"
"2024- 01- 02","3,075","3,050","3,115","3,050","9.19K","-1.28%"
