"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","14,810.00","14,890.00","16,000.00","14,490.00","35.82K","0.34%"
"2024- 05- 07","14,760.00","14,620.00","14,900.00","14,340.00","29.66K","0.41%"
"2024- 05- 03","14,700.00","14,500.00","14,720.00","14,130.00","41.00K","0.48%"
"2024- 05- 02","14,630.00","12,900.00","16,260.00","12,900.00","505.91K","14.03%"
"2024- 04- 30","12,830.00","13,100.00","13,320.00","12,830.00","4.97K","-1.53%"
"2024- 04- 29","13,030.00","12,760.00","13,080.00","12,610.00","4.23K","2.68%"
"2024- 04- 26","12,690.00","12,850.00","13,000.00","12,490.00","3.69K","-0.86%"
"2024- 04- 25","12,800.00","13,130.00","13,130.00","12,600.00","7.67K","-2.96%"
"2024- 04- 24","13,190.00","12,970.00","13,230.00","12,720.00","5.54K","3.86%"
"2024- 04- 23","12,700.00","12,510.00","13,100.00","12,510.00","9.83K","1.60%"
"2024- 04- 22","12,500.00","12,080.00","13,030.00","12,020.00","17.21K","0.40%"
"2024- 04- 19","12,450.00","12,670.00","13,130.00","11,660.00","17.06K","-1.74%"
"2024- 04- 18","12,670.00","12,630.00","12,670.00","12,230.00","7.86K","3.01%"
"2024- 04- 17","12,300.00","12,500.00","12,800.00","12,250.00","5.37K","-0.08%"
"2024- 04- 16","12,310.00","13,020.00","13,020.00","12,100.00","20.79K","-5.89%"
"2024- 04- 15","13,080.00","13,370.00","13,400.00","13,040.00","12.10K","-4.32%"
"2024- 04- 12","13,670.00","13,610.00","13,910.00","13,530.00","5.94K","0.44%"
"2024- 04- 11","13,610.00","14,000.00","14,020.00","13,610.00","7.39K","-2.72%"
"2024- 04- 09","13,990.00","14,200.00","14,470.00","13,810.00","11.56K","-1.62%"
"2024- 04- 08","14,220.00","14,710.00","14,750.00","14,070.00","19.09K","-3.00%"
"2024- 04- 05","14,660.00","15,150.00","15,310.00","14,500.00","18.36K","-2.91%"
"2024- 04- 04","15,100.00","15,550.00","16,500.00","15,100.00","17.67K","-3.39%"
"2024- 04- 03","15,630.00","16,040.00","16,100.00","15,250.00","9.77K","-2.56%"
"2024- 04- 02","16,040.00","16,620.00","16,800.00","16,030.00","11.02K","-3.43%"
"2024- 04- 01","16,610.00","15,810.00","17,020.00","15,540.00","24.14K","5.19%"
"2024- 03- 29","15,790.00","16,060.00","16,060.00","14,800.00","21.70K","-1.68%"
"2024- 03- 28","16,060.00","16,500.00","16,500.00","16,060.00","12.52K","-1.71%"
"2024- 03- 27","16,340.00","15,980.00","16,700.00","15,900.00","25.78K","2.25%"
"2024- 03- 26","15,980.00","16,030.00","16,280.00","15,750.00","19.56K","-0.44%"
"2024- 03- 25","16,050.00","16,610.00","16,650.00","16,030.00","25.18K","-3.20%"
"2024- 03- 22","16,580.00","16,840.00","16,960.00","16,560.00","12.68K","-0.54%"
"2024- 03- 21","16,670.00","16,620.00","16,850.00","16,500.00","10.47K","1.34%"
"2024- 03- 20","16,450.00","17,150.00","17,360.00","16,450.00","16.20K","-2.95%"
"2024- 03- 19","16,950.00","17,460.00","17,510.00","16,900.00","16.03K","-3.20%"
"2024- 03- 18","17,510.00","17,760.00","17,810.00","17,320.00","10.44K","-1.41%"
"2024- 03- 17","17,760.00","17,760.00","17,760.00","17,760.00","","0.00%"
"2024- 03- 15","17,760.00","17,420.00","18,280.00","17,140.00","28.44K","1.83%"
