"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,530","7,530","7,580","7,470","4.68K","0.13%"
"2024- 05- 07","7,520","7,660","7,660","7,440","7.46K","-0.13%"
"2024- 05- 03","7,530","7,560","7,630","7,410","7.80K","-0.26%"
"2024- 05- 02","7,550","7,540","7,560","7,400","5.72K","-0.26%"
"2024- 04- 30","7,570","7,590","7,890","7,460","40.71K","2.16%"
"2024- 04- 29","7,410","7,490","7,540","7,340","14.84K","0.95%"
"2024- 04- 26","7,340","7,400","7,470","7,260","12.90K","-0.68%"
"2024- 04- 25","7,390","7,290","7,450","7,290","8.77K","0.68%"
"2024- 04- 24","7,340","7,280","7,550","7,200","16.77K","2.23%"
"2024- 04- 23","7,180","7,340","7,340","7,180","7.26K","0.28%"
"2024- 04- 22","7,160","7,250","7,310","7,150","13.55K","0.14%"
"2024- 04- 19","7,150","7,270","7,390","7,000","31.48K","-1.38%"
"2024- 04- 18","7,250","7,250","7,370","7,200","16.26K","0.28%"
"2024- 04- 17","7,230","7,270","7,340","7,170","9.83K","0.84%"
"2024- 04- 16","7,170","7,410","7,690","7,150","33.23K","-1.51%"
"2024- 04- 15","7,280","7,440","7,440","7,210","14.91K","-2.02%"
"2024- 04- 12","7,430","7,330","7,480","7,160","14.13K","2.06%"
"2024- 04- 11","7,280","7,340","7,340","7,160","9.14K","-0.68%"
"2024- 04- 09","7,330","7,160","7,400","7,160","12.07K","2.37%"
"2024- 04- 08","7,160","7,340","7,440","7,160","37.14K","-2.45%"
"2024- 04- 05","7,340","7,570","7,650","7,320","41.58K","-3.04%"
"2024- 04- 04","7,570","7,810","7,940","7,560","54.92K","-3.44%"
"2024- 04- 03","7,840","7,940","7,940","7,760","24.05K","-1.38%"
"2024- 04- 02","7,950","8,060","8,060","7,770","38.49K","-1.36%"
"2024- 04- 01","8,060","7,930","8,130","7,900","20.26K","1.64%"
"2024- 03- 29","7,930","8,070","8,070","7,930","13.16K","-0.38%"
"2024- 03- 28","7,960","8,050","8,060","7,930","16.85K","-1.24%"
"2024- 03- 27","8,060","8,090","8,090","7,750","17.25K","0.00%"
"2024- 03- 26","8,060","7,950","8,140","7,950","16.20K","0.50%"
"2024- 03- 25","8,020","8,230","8,230","7,990","21.19K","-1.96%"
"2024- 03- 22","8,180","8,040","8,220","8,010","40.25K","2.25%"
"2024- 03- 21","8,000","8,090","8,090","7,930","19.79K","0.13%"
"2024- 03- 20","7,990","8,100","8,100","7,970","7.41K","-0.37%"
"2024- 03- 19","8,020","8,170","8,250","7,940","19.40K","-0.50%"
"2024- 03- 18","8,060","8,110","8,200","8,000","14.39K","-0.74%"
"2024- 03- 15","8,120","8,210","8,240","8,090","20.23K","-1.46%"
"2024- 03- 14","8,240","8,100","8,260","7,900","24.82K","1.73%"
"2024- 03- 13","8,100","8,050","8,150","7,910","11.43K","0.12%"
"2024- 03- 12","8,090","8,140","8,150","7,920","14.25K","0.62%"
"2024- 03- 11","8,040","7,730","8,070","7,720","19.09K","3.21%"
"2024- 03- 08","7,790","7,930","7,930","7,730","54.59K","-1.77%"
"2024- 03- 07","7,930","8,190","8,190","7,900","10.59K","0.51%"
"2024- 03- 06","7,890","8,050","8,050","7,840","23.24K","-0.88%"
"2024- 03- 05","7,960","8,060","8,060","7,850","37.78K","-0.13%"
"2024- 03- 04","7,970","8,250","8,270","7,950","108.62K","-3.74%"
"2024- 02- 29","8,280","8,330","8,400","8,270","22.76K","-0.72%"
"2024- 02- 28","8,340","8,370","8,370","8,290","31.64K","0.60%"
"2024- 02- 27","8,290","8,440","8,440","8,290","23.82K","-1.66%"
"2024- 02- 26","8,430","8,350","8,440","8,270","18.01K","1.08%"
"2024- 02- 23","8,340","8,390","8,460","8,290","34.86K","-0.60%"
"2024- 02- 22","8,390","8,550","8,550","8,350","41.46K","0.12%"
"2024- 02- 21","8,380","8,510","8,540","8,340","47.85K","-1.53%"
"2024- 02- 20","8,510","8,530","8,620","8,440","24.49K","-0.23%"
"2024- 02- 19","8,530","8,580","8,610","8,410","20.27K","-0.23%"
"2024- 02- 16","8,550","8,420","8,700","8,350","42.83K","2.03%"
"2024- 02- 15","8,380","9,200","9,200","8,290","174.61K","-5.95%"
"2024- 02- 14","8,910","8,700","8,920","8,700","15.15K","0.79%"
"2024- 02- 13","8,840","8,680","8,890","8,630","19.81K","2.20%"
"2024- 02- 08","8,650","8,570","8,650","8,480","12.76K","1.65%"
"2024- 02- 07","8,510","8,510","8,550","8,380","10.25K","1.31%"
"2024- 02- 06","8,400","8,300","8,470","8,280","16.83K","-0.12%"
"2024- 02- 05","8,410","8,630","8,630","8,370","29.59K","-2.10%"
"2024- 02- 02","8,590","8,530","8,710","8,500","25.83K","-0.23%"
