"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,630","4,690","4,690","4,600","18.22K","0.11%"
"2024- 05- 07","4,625","4,640","4,730","4,610","14.57K","-0.32%"
"2024- 05- 03","4,640","4,545","4,650","4,545","30.01K","1.20%"
"2024- 05- 02","4,585","4,465","4,600","4,465","22.87K","2.23%"
"2024- 04- 30","4,485","4,520","4,555","4,470","15.61K","-0.44%"
"2024- 04- 29","4,505","4,465","4,510","4,435","22.56K","1.01%"
"2024- 04- 26","4,460","4,530","4,540","4,315","93.37K","-1.55%"
"2024- 04- 25","4,530","4,555","4,565","4,515","13.72K","-0.55%"
"2024- 04- 24","4,555","4,575","4,575","4,530","10.65K","0.11%"
"2024- 04- 23","4,550","4,580","4,590","4,520","11.02K","0.00%"
"2024- 04- 22","4,550","4,530","4,585","4,525","8.56K","0.44%"
"2024- 04- 19","4,530","4,630","4,660","4,480","35.70K","-2.16%"
"2024- 04- 18","4,630","4,580","4,650","4,565","8.55K","1.09%"
"2024- 04- 17","4,580","4,580","4,625","4,535","24.35K","0.00%"
"2024- 04- 16","4,580","4,655","4,840","4,565","57.52K","-3.68%"
"2024- 04- 15","4,755","4,815","4,815","4,695","21.61K","-0.11%"
"2024- 04- 12","4,760","4,690","4,790","4,690","13.25K","-0.10%"
"2024- 04- 11","4,765","4,605","4,770","4,605","26.31K","1.38%"
"2024- 04- 09","4,700","4,655","4,755","4,650","31.92K","0.00%"
"2024- 04- 08","4,700","4,825","4,825","4,700","36.43K","-2.19%"
"2024- 04- 05","4,805","4,800","4,915","4,800","20.33K","-0.83%"
"2024- 04- 04","4,845","4,800","5,110","4,800","147.16K","1.57%"
"2024- 04- 03","4,770","4,720","4,845","4,690","52.38K","-0.31%"
"2024- 04- 02","4,785","4,905","4,950","4,785","38.56K","-2.94%"
"2024- 04- 01","4,930","4,930","4,975","4,880","22.60K","0.00%"
"2024- 03- 29","4,930","5,000","5,050","4,930","28.81K","-1.30%"
"2024- 03- 28","4,995","5,000","5,050","4,965","14.83K","-0.10%"
"2024- 03- 27","5,000","5,030","5,080","4,990","20.99K","-0.40%"
"2024- 03- 26","5,020","4,995","5,080","4,995","31.20K","-0.40%"
"2024- 03- 25","5,040","5,060","5,080","4,985","32.94K","-0.98%"
"2024- 03- 22","5,090","5,000","5,140","4,945","74.80K","1.80%"
"2024- 03- 21","5,000","5,090","5,090","4,975","37.39K","-0.60%"
"2024- 03- 20","5,030","5,060","5,110","4,965","56.91K","-0.59%"
"2024- 03- 19","5,060","5,020","5,060","4,915","64.17K","1.20%"
"2024- 03- 18","5,000","5,070","5,090","4,970","68.25K","-1.38%"
"2024- 03- 15","5,070","5,070","5,180","5,000","10.36K","-1.36%"
"2024- 03- 14","5,140","5,380","5,380","5,100","0.12K","-4.46%"
