"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","8,280","8,100","8,380","8,110","188.76K","1.47%"
"2024- 05- 07","8,160","8,080","8,330","8,070","177.62K","1.75%"
"2024- 05- 03","8,020","8,130","8,140","7,940","108.93K","-0.74%"
"2024- 05- 02","8,080","7,770","8,380","7,660","417.73K","5.35%"
"2024- 04- 30","7,670","7,500","7,750","7,470","113.00K","2.27%"
"2024- 04- 29","7,500","7,310","7,580","7,290","126.75K","2.88%"
"2024- 04- 26","7,290","7,380","7,440","7,220","77.73K","-1.49%"
"2024- 04- 25","7,400","7,460","7,520","7,350","59.37K","-1.07%"
"2024- 04- 24","7,480","7,470","7,680","7,420","103.05K","0.67%"
"2024- 04- 23","7,430","7,510","7,640","7,390","92.66K","-1.59%"
"2024- 04- 22","7,550","7,260","7,950","7,220","256.20K","3.99%"
"2024- 04- 19","7,260","7,450","7,470","7,120","300.34K","-5.10%"
"2024- 04- 18","7,650","7,450","7,840","7,450","163.72K","2.14%"
"2024- 04- 17","7,490","7,330","7,590","7,300","122.14K","2.04%"
"2024- 04- 16","7,340","7,170","7,510","7,150","119.94K","-0.14%"
"2024- 04- 15","7,350","7,340","7,460","7,270","123.09K","-1.34%"
"2024- 04- 12","7,450","7,460","7,630","7,370","190.13K","-1.19%"
"2024- 04- 11","7,540","7,480","7,670","7,140","705.02K","-8.27%"
"2024- 04- 09","8,220","7,870","8,350","7,870","226.05K","4.31%"
"2024- 04- 08","7,880","8,170","8,310","7,880","210.99K","-5.17%"
"2024- 04- 05","8,310","8,520","8,610","8,300","114.27K","-2.69%"
"2024- 04- 04","8,540","8,700","8,890","8,410","163.84K","-1.84%"
"2024- 04- 03","8,700","8,270","8,830","8,240","231.90K","4.69%"
"2024- 04- 02","8,310","8,700","8,790","8,290","190.91K","-4.92%"
"2024- 04- 01","8,740","8,590","9,430","8,580","534.84K","1.75%"
"2024- 03- 29","8,590","8,320","8,630","8,220","198.57K","3.74%"
"2024- 03- 28","8,280","8,500","8,530","8,260","270.08K","-3.16%"
"2024- 03- 27","8,550","8,700","8,790","8,420","211.63K","-2.06%"
"2024- 03- 26","8,730","8,880","9,010","8,530","263.26K","-2.78%"
"2024- 03- 25","8,980","9,300","9,380","8,890","262.73K","-3.13%"
"2024- 03- 22","9,270","9,670","9,670","9,190","244.67K","-3.84%"
"2024- 03- 21","9,640","9,740","9,920","9,530","133.21K","-1.03%"
"2024- 03- 20","9,740","9,720","10,340","9,690","192.13K","0.41%"
"2024- 03- 19","9,700","9,800","9,810","9,500","143.61K","-0.72%"
"2024- 03- 18","9,770","10,220","10,270","9,720","241.73K","-4.50%"
"2024- 03- 15","10,230","10,070","10,690","10,020","152.42K","0.89%"
"2024- 03- 14","10,140","10,300","10,340","9,990","158.54K","-1.55%"
"2024- 03- 13","10,300","10,500","10,740","10,280","129.47K","-0.87%"
"2024- 03- 12","10,390","10,610","10,650","10,320","158.34K","-2.53%"
"2024- 03- 11","10,660","11,020","11,290","10,660","153.36K","-4.48%"
"2024- 03- 10","11,160","11,160","11,160","11,160","","0.00%"
"2024- 03- 08","11,160","11,100","11,270","10,930","137.09K","0.36%"
"2024- 03- 07","11,120","11,350","11,480","10,920","183.59K","-1.59%"
"2024- 03- 06","11,300","11,490","11,890","11,270","208.62K","-1.74%"
"2024- 03- 05","11,500","11,660","11,860","11,360","275.18K","-3.28%"
