"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,570","2,570","2,585","2,560","79.75K","0.00%"
"2024- 05- 07","2,570","2,525","2,570","2,525","125.31K","1.98%"
"2024- 05- 03","2,520","2,545","2,560","2,515","89.33K","-1.18%"
"2024- 05- 02","2,550","2,520","2,555","2,520","112.21K","0.20%"
"2024- 04- 30","2,545","2,510","2,555","2,510","161.16K","1.39%"
"2024- 04- 29","2,510","2,490","2,530","2,485","113.16K","0.60%"
"2024- 04- 26","2,495","2,475","2,515","2,450","105.97K","1.42%"
"2024- 04- 25","2,460","2,475","2,480","2,455","59.29K","-1.20%"
"2024- 04- 24","2,490","2,470","2,500","2,445","110.57K","2.05%"
"2024- 04- 23","2,440","2,460","2,485","2,435","90.53K","-0.61%"
"2024- 04- 22","2,455","2,435","2,465","2,435","47.28K","0.82%"
"2024- 04- 19","2,435","2,460","2,485","2,410","165.16K","-2.21%"
"2024- 04- 18","2,490","2,435","2,495","2,435","86.91K","2.26%"
"2024- 04- 17","2,435","2,435","2,475","2,415","100.06K","0.21%"
"2024- 04- 16","2,430","2,485","2,490","2,415","213.29K","-2.41%"
"2024- 04- 15","2,490","2,555","2,560","2,485","329.80K","-3.86%"
"2024- 04- 12","2,590","2,480","2,650","2,470","873.31K","5.07%"
"2024- 04- 11","2,465","2,505","2,595","2,460","360.51K","-0.20%"
"2024- 04- 09","2,470","2,490","2,525","2,465","173.02K","-1.40%"
"2024- 04- 08","2,505","2,555","2,570","2,485","183.46K","-2.34%"
"2024- 04- 05","2,565","2,635","2,635","2,565","217.85K","-2.47%"
"2024- 04- 04","2,630","2,655","2,685","2,620","460.46K","0.77%"
"2024- 04- 03","2,610","2,630","2,660","2,585","440.39K","0.19%"
"2024- 04- 02","2,605","2,635","2,645","2,580","664.78K","-2.43%"
"2024- 04- 01","2,670","2,575","2,730","2,555","2.60M","5.33%"
"2024- 03- 29","2,535","2,525","2,555","2,520","116.03K","0.40%"
"2024- 03- 28","2,525","2,540","2,555","2,520","147.27K","-0.39%"
