"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,430","1,383","1,430","1,374","1.20M","3.25%"
"2024- 05- 07","1,385","1,401","1,416","1,375","805.31K","-1.14%"
"2024- 05- 03","1,401","1,449","1,454","1,401","1.20M","-3.38%"
"2024- 05- 02","1,450","1,435","1,460","1,426","1.24M","-2.03%"
"2024- 04- 30","1,480","1,451","1,553","1,407","10.85M","0.89%"
"2024- 04- 29","1,467","1,519","1,519","1,430","5.30M","0.41%"
"2024- 04- 26","1,461","1,504","1,515","1,430","3.84M","-4.20%"
"2024- 04- 25","1,525","1,549","1,639","1,500","20.31M","-3.48%"
"2024- 04- 24","1,580","1,230","1,591","1,228","37.04M","29.08%"
"2024- 04- 23","1,224","1,212","1,239","1,210","381.76K","0.74%"
"2024- 04- 22","1,215","1,209","1,269","1,209","884.21K","0.50%"
"2024- 04- 19","1,209","1,238","1,283","1,189","955.45K","-1.31%"
"2024- 04- 18","1,225","1,159","1,261","1,155","1.41M","0.49%"
"2024- 04- 17","1,219","1,250","1,374","1,208","10.20M","5.54%"
"2024- 04- 16","1,155","1,180","1,195","1,148","289.82K","-2.70%"
"2024- 04- 15","1,187","1,185","1,211","1,167","208.85K","-3.73%"
"2024- 04- 12","1,233","1,195","1,245","1,195","417.96K","2.84%"
"2024- 04- 11","1,199","1,205","1,215","1,155","259.25K","-1.48%"
"2024- 04- 09","1,217","1,233","1,240","1,197","375.88K","-1.30%"
"2024- 04- 08","1,233","1,239","1,248","1,215","248.91K","-0.88%"
"2024- 04- 05","1,244","1,254","1,259","1,231","299.07K","-1.19%"
"2024- 04- 04","1,259","1,274","1,290","1,251","250.51K","-1.33%"
"2024- 04- 03","1,276","1,306","1,313","1,275","210.41K","-1.24%"
"2024- 04- 02","1,292","1,345","1,345","1,292","415.89K","-4.08%"
"2024- 04- 01","1,347","1,316","1,347","1,316","259.98K","2.20%"
"2024- 03- 29","1,318","1,326","1,337","1,305","280.10K","-1.05%"
"2024- 03- 28","1,332","1,324","1,341","1,321","315.67K","0.30%"
"2024- 03- 27","1,328","1,320","1,352","1,318","267.46K","-0.15%"
"2024- 03- 26","1,330","1,335","1,342","1,312","347.99K","-0.67%"
"2024- 03- 25","1,339","1,352","1,355","1,334","296.06K","-0.96%"
"2024- 03- 22","1,352","1,424","1,449","1,350","1.46M","0.07%"
"2024- 03- 21","1,351","1,346","1,365","1,336","561.34K","0.60%"
"2024- 03- 20","1,343","1,380","1,380","1,340","541.74K","-2.04%"
"2024- 03- 19","1,371","1,405","1,414","1,371","458.74K","-2.42%"
"2024- 03- 18","1,405","1,409","1,423","1,399","335.08K","-1.06%"
"2024- 03- 17","1,420","1,409","1,420","1,399","53.87K","0.71%"
"2024- 03- 15","1,410","1,400","1,423","1,366","689.06K","-0.07%"
"2024- 03- 14","1,411","1,421","1,430","1,398","743.18K","-0.91%"
"2024- 03- 13","1,424","1,480","1,480","1,398","1.55M","-3.91%"
"2024- 03- 12","1,482","1,500","1,594","1,468","2.34M","1.09%"
"2024- 03- 11","1,466","1,480","1,510","1,459","1.13M","-2.91%"
"2024- 03- 08","1,510","1,551","1,558","1,481","1.88M","-4.67%"
"2024- 03- 07","1,584","1,604","1,661","1,524","4.71M","-2.28%"
"2024- 03- 06","1,621","1,767","1,834","1,596","25.28M","2.27%"
"2024- 03- 05","1,585","1,388","1,636","1,336","19.70M","12.81%"
"2024- 03- 04","1,405","1,388","1,451","1,388","1.62M","2.18%"
"2024- 02- 29","1,375","1,418","1,427","1,352","1.24M","-3.85%"
"2024- 02- 28","1,430","1,484","1,619","1,429","5.69M","-3.31%"
"2024- 02- 27","1,479","1,540","1,570","1,459","4.31M","2.00%"
"2024- 02- 26","1,450","1,563","1,644","1,450","9.70M","-7.64%"
"2024- 02- 25","1,570","1,570","1,570","1,570","","0.00%"
"2024- 02- 23","1,570","1,494","1,570","1,453","4.52M","2.48%"
"2024- 02- 22","1,532","1,472","1,538","1,425","5.84M","4.22%"
"2024- 02- 21","1,470","1,415","1,475","1,406","2.40M","1.66%"
"2024- 02- 20","1,446","1,400","1,560","1,388","25.42M","7.91%"
"2024- 02- 19","1,340","1,350","1,358","1,293","558.53K","-0.52%"
"2024- 02- 16","1,347","1,362","1,362","1,331","471.40K","-1.10%"
"2024- 02- 15","1,362","1,365","1,370","1,331","555.61K","0.74%"
"2024- 02- 14","1,352","1,348","1,358","1,329","466.41K","-0.66%"
"2024- 02- 13","1,361","1,342","1,368","1,326","630.70K","1.49%"
"2024- 02- 08","1,341","1,377","1,377","1,340","810.36K","-3.25%"
"2024- 02- 07","1,386","1,341","1,495","1,341","6.41M","4.60%"
"2024- 02- 06","1,325","1,392","1,392","1,324","1.18M","-4.68%"
"2024- 02- 05","1,390","1,530","1,567","1,381","8.50M","-0.14%"
"2024- 02- 04","1,392","1,392","1,392","1,392","","0.00%"
"2024- 02- 02","1,392","1,407","1,468","1,321","10.93M","11.09%"
"2024- 02- 01","1,253","1,270","1,270","1,225","943.41K","-2.11%"
"2024- 01- 31","1,280","1,304","1,323","1,280","653.42K","-2.88%"
"2024- 01- 30","1,318","1,290","1,516","1,273","12.68M","1.54%"
"2024- 01- 29","1,298","1,356","1,374","1,298","948.65K","-3.99%"
"2024- 01- 28","1,352","1,352","1,352","1,352","","0.00%"
"2024- 01- 26","1,352","1,451","1,553","1,351","9.41M","2.42%"
"2024- 01- 25","1,320","1,330","1,340","1,295","485.53K","-1.49%"
"2024- 01- 24","1,340","1,358","1,359","1,312","228.69K","-1.33%"
"2024- 01- 23","1,358","1,347","1,388","1,305","658.06K","-0.15%"
"2024- 01- 22","1,360","1,380","1,388","1,331","492.30K","-0.22%"
"2024- 01- 19","1,363","1,360","1,409","1,350","544.54K","-0.66%"
"2024- 01- 18","1,372","1,369","1,413","1,335","599.09K","0.66%"
"2024- 01- 17","1,363","1,392","1,392","1,340","571.48K","-1.09%"
"2024- 01- 16","1,378","1,390","1,416","1,361","628.61K","-0.86%"
"2024- 01- 15","1,390","1,440","1,443","1,387","758.03K","-5.12%"
"2024- 01- 14","1,465","1,465","1,465","1,465","","0.00%"
"2024- 01- 12","1,465","1,502","1,517","1,428","863.87K","-2.92%"
"2024- 01- 11","1,509","1,524","1,549","1,503","872.92K","-1.05%"
"2024- 01- 10","1,525","1,560","1,579","1,500","1.12M","-2.43%"
"2024- 01- 09","1,563","1,519","1,573","1,500","1.71M","2.96%"
"2024- 01- 08","1,518","1,483","1,550","1,457","1.56M","1.54%"
"2024- 01- 07","1,495","1,495","1,495","1,495","","0.00%"
"2024- 01- 05","1,495","1,513","1,528","1,488","1.10M","-1.77%"
"2024- 01- 04","1,522","1,594","1,607","1,498","2.25M","-5.82%"
"2024- 01- 03","1,616","1,562","1,652","1,555","5.31M","1.44%"
"2024- 01- 02","1,593","1,576","1,603","1,560","2.06M","1.08%"
