"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,127","1,118","1,133","1,110","62.48K","0.81%"
"2024- 05- 07","1,118","1,124","1,131","1,118","48.52K","-0.62%"
"2024- 05- 03","1,125","1,128","1,140","1,123","56.67K","-0.27%"
"2024- 05- 02","1,128","1,115","1,132","1,119","29.62K","1.17%"
"2024- 04- 30","1,115","1,102","1,122","1,100","35.69K","1.64%"
"2024- 04- 29","1,097","1,095","1,102","1,095","16.69K","0.27%"
"2024- 04- 26","1,094","1,100","1,101","1,090","25.27K","-0.45%"
"2024- 04- 25","1,099","1,092","1,105","1,092","32.75K","0.64%"
"2024- 04- 24","1,092","1,090","1,094","1,086","12.27K","0.18%"
"2024- 04- 23","1,090","1,097","1,098","1,090","16.04K","-0.18%"
"2024- 04- 22","1,092","1,096","1,096","1,086","48.58K","-0.36%"
"2024- 04- 19","1,096","1,100","1,104","1,089","17.94K","-0.18%"
"2024- 04- 18","1,098","1,091","1,100","1,091","40.39K","0.37%"
"2024- 04- 17","1,094","1,085","1,095","1,085","23.28K","-0.09%"
"2024- 04- 16","1,095","1,106","1,115","1,083","100.96K","-0.99%"
"2024- 04- 15","1,106","1,136","1,136","1,105","88.39K","-2.12%"
"2024- 04- 12","1,130","1,132","1,135","1,126","19.15K","0.36%"
"2024- 04- 11","1,126","1,141","1,147","1,119","60.29K","-0.35%"
"2024- 04- 09","1,130","1,125","1,140","1,125","18.83K","0.44%"
"2024- 04- 08","1,125","1,135","1,143","1,120","60.89K","-0.88%"
"2024- 04- 05","1,135","1,157","1,159","1,135","55.86K","-1.65%"
"2024- 04- 04","1,154","1,143","1,167","1,142","31.09K","0.61%"
"2024- 04- 03","1,147","1,152","1,174","1,143","77.77K","-1.46%"
"2024- 04- 02","1,164","1,148","1,167","1,137","85.61K","1.39%"
"2024- 04- 01","1,148","1,140","1,152","1,134","67.84K","1.23%"
"2024- 03- 29","1,134","1,132","1,137","1,125","43.80K","0.18%"
"2024- 03- 28","1,132","1,137","1,148","1,129","44.00K","-1.39%"
"2024- 03- 27","1,148","1,134","1,149","1,133","36.51K","0.26%"
"2024- 03- 26","1,145","1,140","1,145","1,133","44.84K","0.44%"
"2024- 03- 25","1,140","1,130","1,142","1,130","39.90K","0.88%"
"2024- 03- 22","1,130","1,115","1,134","1,115","84.32K","0.36%"
"2024- 03- 21","1,126","1,124","1,138","1,121","57.61K","0.09%"
"2024- 03- 20","1,125","1,140","1,140","1,113","109.86K","-0.18%"
"2024- 03- 19","1,127","1,128","1,135","1,122","36.92K","-0.09%"
"2024- 03- 18","1,128","1,133","1,140","1,125","36.53K","-0.88%"
"2024- 03- 15","1,138","1,133","1,147","1,132","0.72K","-0.18%"
"2024- 03- 14","1,140","1,141","1,146","1,134","29.18K","-0.09%"
"2024- 03- 13","1,141","1,155","1,155","1,137","36.75K","0.00%"
"2024- 03- 12","1,141","1,141","1,157","1,138","28.22K","-0.35%"
"2024- 03- 11","1,145","1,146","1,147","1,138","21.19K","0.26%"
"2024- 03- 08","1,142","1,135","1,147","1,135","24.96K","0.00%"
"2024- 03- 07","1,142","1,143","1,146","1,138","27.48K","-0.70%"
"2024- 03- 06","1,150","1,132","1,161","1,132","21.66K","0.61%"
"2024- 03- 05","1,143","1,151","1,160","1,143","29.10K","-0.70%"
"2024- 03- 04","1,151","1,160","1,165","1,151","41.07K","-0.78%"
"2024- 02- 29","1,160","1,165","1,166","1,153","33.12K","-0.51%"
"2024- 02- 28","1,166","1,161","1,174","1,155","56.25K","0.17%"
"2024- 02- 27","1,164","1,151","1,172","1,150","50.65K","0.26%"
"2024- 02- 26","1,161","1,150","1,161","1,148","28.40K","0.00%"
"2024- 02- 23","1,161","1,155","1,170","1,150","37.64K","0.52%"
"2024- 02- 22","1,155","1,170","1,172","1,153","72.49K","-0.94%"
"2024- 02- 21","1,166","1,157","1,168","1,153","48.66K","0.95%"
"2024- 02- 20","1,155","1,177","1,177","1,155","0.23K","-0.77%"
"2024- 02- 19","1,164","1,153","1,167","1,149","87.98K","0.95%"
"2024- 02- 16","1,153","1,147","1,154","1,144","45.59K","0.52%"
"2024- 02- 15","1,147","1,135","1,155","1,135","42.11K","1.06%"
"2024- 02- 14","1,135","1,133","1,140","1,130","56.27K","0.18%"
"2024- 02- 13","1,133","1,136","1,140","1,129","75.23K","-0.26%"
"2024- 02- 08","1,136","1,135","1,150","1,134","85.09K","-0.70%"
"2024- 02- 07","1,144","1,145","1,148","1,137","129.52K","-0.09%"
"2024- 02- 06","1,145","1,155","1,158","1,142","128.20K","-0.95%"
"2024- 02- 05","1,156","1,177","1,180","1,141","145.52K","-1.28%"
"2024- 02- 02","1,171","1,162","1,191","1,162","50.33K","-0.26%"
"2024- 02- 01","1,174","1,161","1,187","1,161","0.33K","-0.51%"
"2024- 01- 31","1,180","1,191","1,199","1,177","0.35K","-0.92%"
"2024- 01- 30","1,191","1,184","1,199","1,162","59.77K","0.17%"
"2024- 01- 29","1,189","1,190","1,208","1,187","0.38K","-0.83%"
"2024- 01- 26","1,199","1,198","1,204","1,188","24.72K","0.33%"
"2024- 01- 25","1,195","1,219","1,219","1,189","73.47K","-1.16%"
"2024- 01- 24","1,209","1,208","1,215","1,205","41.92K","-0.58%"
"2024- 01- 23","1,216","1,217","1,222","1,208","71.03K","-0.08%"
"2024- 01- 22","1,217","1,240","1,240","1,210","106.86K","-1.85%"
"2024- 01- 21","1,240","1,240","1,240","1,240","","0.00%"
"2024- 01- 19","1,240","1,226","1,240","1,207","148.61K","2.82%"
"2024- 01- 18","1,206","1,194","1,241","1,194","207.46K","1.01%"
"2024- 01- 17","1,194","1,228","1,228","1,180","0.73K","-0.08%"
"2024- 01- 16","1,195","1,210","1,220","1,191","0.00K","-0.42%"
"2024- 01- 15","1,200","1,228","1,229","1,200","95.44K","-2.28%"
"2024- 01- 12","1,228","1,243","1,243","1,225","97.67K","-1.21%"
"2024- 01- 11","1,243","1,236","1,250","1,236","56.72K","0.24%"
"2024- 01- 10","1,240","1,259","1,259","1,237","90.43K","-1.04%"
"2024- 01- 09","1,253","1,239","1,253","1,224","0.02K","1.13%"
"2024- 01- 08","1,239","1,230","1,240","1,222","0.81K","1.23%"
"2024- 01- 05","1,224","1,226","1,234","1,222","72.89K","-0.08%"
"2024- 01- 04","1,225","1,235","1,236","1,221","72.79K","-0.81%"
"2024- 01- 03","1,235","1,239","1,248","1,233","82.08K","-0.80%"
"2024- 01- 02","1,245","1,225","1,246","1,216","99.28K","1.63%"
