"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,305","4,935","4,935","4,280","45.53K","0.23%"
"2024- 05- 07","4,295","4,360","4,500","4,210","33.73K","-2.16%"
"2024- 05- 03","4,390","4,430","4,490","4,260","8.90K","-0.90%"
"2024- 05- 02","4,430","4,510","4,510","4,235","35.22K","-1.99%"
"2024- 04- 30","4,520","4,590","4,700","4,370","47.99K","-1.63%"
"2024- 04- 29","4,595","4,670","4,700","4,555","30.55K","-1.61%"
"2024- 04- 26","4,670","4,600","4,700","4,590","30.22K","1.85%"
"2024- 04- 25","4,585","4,600","4,600","4,460","77.71K","-0.11%"
"2024- 04- 24","4,590","4,690","4,690","4,370","42.54K","3.15%"
"2024- 04- 23","4,450","4,490","4,800","4,300","22.63K","0.91%"
"2024- 04- 22","4,410","4,450","4,450","4,235","49.42K","-0.56%"
"2024- 04- 19","4,435","4,995","4,995","4,215","52.05K","1.03%"
"2024- 04- 18","4,390","4,200","4,450","4,050","71.24K","10.16%"
"2024- 04- 17","3,985","4,000","4,010","3,915","23.70K","-0.75%"
"2024- 04- 16","4,015","4,015","4,035","3,985","4.90K","0.00%"
"2024- 04- 15","4,015","4,200","4,200","3,985","16.67K","-0.62%"
"2024- 04- 12","4,040","4,120","4,120","3,980","16.95K","-1.10%"
"2024- 04- 11","4,085","4,280","4,280","4,000","39.07K","-0.73%"
"2024- 04- 09","4,115","4,020","4,430","4,020","20.64K","-1.44%"
"2024- 04- 08","4,175","4,200","4,200","3,995","30.67K","0.72%"
"2024- 04- 05","4,145","4,065","4,245","4,060","15.15K","1.97%"
"2024- 04- 04","4,065","4,300","4,300","4,050","44.02K","-5.02%"
"2024- 04- 03","4,280","4,050","4,500","4,005","39.71K","4.90%"
"2024- 04- 02","4,080","4,375","4,375","3,930","52.80K","-5.23%"
"2024- 04- 01","4,305","4,495","4,500","4,210","35.31K","-2.60%"
"2024- 03- 29","4,420","4,550","4,550","4,305","17.62K","-1.01%"
"2024- 03- 28","4,465","4,475","4,480","4,200","37.66K","-0.22%"
"2024- 03- 27","4,475","4,520","4,590","4,380","22.87K","-1.00%"
"2024- 03- 26","4,520","4,805","4,805","4,350","40.82K","-0.33%"
"2024- 03- 25","4,535","4,500","4,990","4,300","28.71K","1.00%"
"2024- 03- 22","4,490","4,845","4,845","4,100","35.26K","-0.11%"
"2024- 03- 21","4,495","4,600","4,600","4,110","30.99K","-1.21%"
"2024- 03- 20","4,550","4,595","4,595","4,300","37.53K","-0.87%"
"2024- 03- 19","4,590","4,950","4,950","4,400","11.37K","-0.86%"
"2024- 03- 18","4,630","4,980","4,980","4,500","18.41K","0.98%"
"2024- 03- 15","4,585","4,800","5,190","4,400","27.29K","-0.33%"
"2024- 03- 14","4,600","4,020","4,600","4,020","99.27K","15.00%"
"2024- 03- 13","4,000","4,040","4,040","3,480","129.22K","-2.20%"
"2024- 03- 12","4,090","4,605","4,605","3,930","98.92K","-11.47%"
"2024- 03- 11","4,620","4,920","4,920","4,575","53.44K","-5.71%"
"2024- 03- 08","4,900","4,995","4,995","4,750","41.28K","-1.90%"
"2024- 03- 07","4,995","5,000","5,000","4,605","25.10K","0.30%"
"2024- 03- 06","4,980","4,995","5,100","4,815","18.28K","-0.10%"
"2024- 03- 05","4,985","5,200","5,220","4,980","31.23K","-0.10%"
"2024- 03- 04","4,990","5,000","5,290","4,900","79.65K","2.46%"
"2024- 02- 29","4,870","4,500","4,870","4,500","64.23K","10.81%"
"2024- 02- 27","4,395","4,000","4,400","3,800","74.02K","9.88%"
"2024- 02- 26","4,000","3,855","4,000","3,530","66.12K","13.48%"
"2024- 02- 23","3,525","3,470","3,530","3,400","32.43K","1.59%"
"2024- 02- 22","3,470","3,440","3,480","3,420","18.45K","0.29%"
"2024- 02- 21","3,460","3,400","3,480","3,400","37.65K","1.91%"
"2024- 02- 20","3,395","3,220","3,440","3,220","37.99K","5.43%"
"2024- 02- 19","3,220","3,295","3,495","3,010","66.97K","1.58%"
"2024- 02- 16","3,170","3,390","3,390","3,100","55.75K","-2.01%"
"2024- 02- 15","3,235","3,395","3,395","3,190","40.75K","-0.46%"
"2024- 02- 14","3,250","3,400","3,400","3,200","40.68K","-0.15%"
"2024- 02- 13","3,255","3,510","3,510","3,200","47.93K","3.99%"
"2024- 02- 08","3,130","3,540","3,540","3,025","40.23K","-5.01%"
"2024- 02- 07","3,295","3,435","3,790","3,015","62.43K","-4.08%"
"2024- 02- 06","3,435","3,455","3,685","3,145","94.23K","-0.43%"
"2024- 02- 05","3,450","3,285","3,450","3,285","157.91K","15.00%"
"2024- 02- 02","3,000","2,830","3,000","2,745","211.85K","14.94%"
"2024- 02- 01","2,610","2,300","2,610","2,300","180.95K","14.73%"
"2024- 01- 31","2,275","2,000","2,275","1,950","103.03K","14.32%"
"2024- 01- 30","1,990","1,995","1,995","1,870","44.02K","5.29%"
"2024- 01- 29","1,890","1,948","1,948","1,850","46.51K","1.34%"
"2024- 01- 26","1,865","1,899","1,899","1,800","36.52K","0.87%"
"2024- 01- 25","1,849","1,849","1,849","1,798","19.88K","2.15%"
"2024- 01- 24","1,810","1,945","1,945","1,808","15.56K","-0.55%"
"2024- 01- 23","1,820","1,900","1,900","1,776","19.04K","-1.57%"
"2024- 01- 22","1,849","1,900","1,900","1,754","37.24K","2.72%"
