"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,401","1,384","1,420","1,380","114.96K","1.16%"
"2024- 05- 07","1,385","1,378","1,394","1,372","105.31K","0.51%"
"2024- 05- 03","1,378","1,373","1,396","1,370","61.27K","-0.14%"
"2024- 05- 02","1,380","1,385","1,386","1,369","72.15K","-0.36%"
"2024- 04- 30","1,385","1,389","1,416","1,377","156.32K","0.07%"
"2024- 04- 29","1,384","1,363","1,396","1,363","134.17K","1.17%"
"2024- 04- 26","1,368","1,366","1,374","1,347","180.19K","0.44%"
"2024- 04- 25","1,362","1,414","1,414","1,362","249.51K","-3.75%"
"2024- 04- 24","1,415","1,419","1,428","1,401","231.54K","-0.35%"
"2024- 04- 23","1,420","1,424","1,428","1,400","94.66K","-0.28%"
"2024- 04- 22","1,424","1,396","1,427","1,389","136.85K","1.21%"
"2024- 04- 19","1,407","1,412","1,412","1,363","102.87K","-0.42%"
"2024- 04- 18","1,413","1,400","1,415","1,387","74.01K","0.93%"
"2024- 04- 17","1,400","1,388","1,418","1,388","154.71K","0.94%"
"2024- 04- 16","1,387","1,430","1,430","1,385","268.41K","-3.21%"
"2024- 04- 15","1,433","1,447","1,457","1,431","157.19K","-1.85%"
"2024- 04- 12","1,460","1,477","1,490","1,442","195.70K","-1.08%"
"2024- 04- 11","1,476","1,453","1,486","1,437","166.17K","1.65%"
"2024- 04- 09","1,452","1,457","1,488","1,450","196.12K","-0.95%"
"2024- 04- 08","1,466","1,475","1,485","1,460","137.36K","-0.61%"
"2024- 04- 05","1,475","1,476","1,494","1,452","163.39K","-0.14%"
"2024- 04- 04","1,477","1,487","1,505","1,474","161.39K","-0.61%"
"2024- 04- 03","1,486","1,535","1,548","1,461","432.39K","-4.13%"
"2024- 04- 02","1,550","1,545","1,575","1,528","232.13K","-0.96%"
"2024- 04- 01","1,565","1,507","1,577","1,507","486.53K","3.78%"
"2024- 03- 29","1,508","1,485","1,512","1,479","126.40K","1.55%"
"2024- 03- 28","1,485","1,504","1,510","1,485","159.99K","-1.26%"
"2024- 03- 27","1,504","1,500","1,512","1,491","106.85K","0.13%"
"2024- 03- 26","1,502","1,502","1,521","1,490","107.12K","0.00%"
"2024- 03- 25","1,502","1,520","1,556","1,500","317.51K","-0.20%"
"2024- 03- 22","1,505","1,513","1,513","1,488","168.68K","0.00%"
"2024- 03- 21","1,505","1,477","1,546","1,477","370.18K","1.48%"
"2024- 03- 20","1,483","1,487","1,487","1,463","131.96K","0.88%"
"2024- 03- 19","1,470","1,489","1,509","1,468","289.10K","-0.88%"
"2024- 03- 18","1,483","1,450","1,502","1,445","244.76K","2.84%"
"2024- 03- 15","1,442","1,445","1,458","1,432","125.69K","-0.69%"
"2024- 03- 14","1,452","1,465","1,465","1,437","69.52K","-0.34%"
"2024- 03- 13","1,457","1,460","1,475","1,450","151.77K","0.48%"
"2024- 03- 12","1,450","1,456","1,457","1,437","94.91K","0.28%"
"2024- 03- 11","1,446","1,469","1,469","1,443","134.88K","-0.89%"
"2024- 03- 08","1,459","1,464","1,471","1,435","92.33K","-0.34%"
"2024- 03- 07","1,464","1,470","1,477","1,453","195.39K","-0.41%"
"2024- 03- 06","1,470","1,489","1,495","1,469","118.50K","-1.14%"
"2024- 03- 05","1,487","1,523","1,539","1,460","250.57K","-3.75%"
"2024- 03- 04","1,545","1,453","1,545","1,453","0.59K","6.92%"
"2024- 02- 29","1,445","1,465","1,471","1,445","167.83K","-1.37%"
"2024- 02- 28","1,465","1,480","1,498","1,461","194.56K","-1.01%"
"2024- 02- 27","1,480","1,491","1,497","1,473","131.77K","-0.74%"
"2024- 02- 26","1,491","1,501","1,513","1,491","110.17K","-0.93%"
"2024- 02- 23","1,505","1,523","1,529","1,496","133.14K","-1.18%"
"2024- 02- 22","1,523","1,530","1,559","1,518","82.30K","-0.46%"
"2024- 02- 21","1,530","1,575","1,575","1,467","208.82K","-2.55%"
"2024- 02- 20","1,570","1,580","1,590","1,561","97.02K","-0.76%"
"2024- 02- 19","1,582","1,577","1,588","1,574","216.48K","0.32%"
"2024- 02- 16","1,577","1,585","1,585","1,565","136.68K","0.06%"
"2024- 02- 15","1,576","1,571","1,588","1,558","167.37K","0.13%"
"2024- 02- 14","1,574","1,554","1,579","1,546","0.10K","0.38%"
"2024- 02- 13","1,568","1,577","1,579","1,551","191.88K","0.00%"
"2024- 02- 08","1,568","1,535","1,575","1,501","412.89K","4.26%"
"2024- 02- 07","1,504","1,463","1,504","1,447","127.96K","2.80%"
"2024- 02- 06","1,463","1,463","1,470","1,446","90.98K","0.00%"
"2024- 02- 05","1,463","1,500","1,500","1,460","204.47K","-1.61%"
"2024- 02- 02","1,487","1,464","1,525","1,464","278.48K","0.61%"
"2024- 02- 01","1,478","1,490","1,492","1,450","239.98K","-0.47%"
"2024- 01- 31","1,485","1,531","1,531","1,485","0.01K","-3.26%"
"2024- 01- 30","1,535","1,552","1,583","1,515","253.35K","-1.10%"
"2024- 01- 29","1,552","1,600","1,600","1,550","0.62K","-2.33%"
"2024- 01- 26","1,589","1,570","1,606","1,556","278.11K","1.21%"
"2024- 01- 25","1,570","1,600","1,609","1,565","237.88K","-1.88%"
"2024- 01- 24","1,600","1,610","1,610","1,576","200.18K","0.13%"
"2024- 01- 23","1,598","1,575","1,627","1,563","332.55K","1.52%"
"2024- 01- 22","1,574","1,585","1,619","1,567","223.96K","-0.06%"
"2024- 01- 19","1,575","1,595","1,602","1,550","235.47K","1.22%"
"2024- 01- 18","1,556","1,514","1,575","1,501","205.70K","2.77%"
"2024- 01- 17","1,514","1,592","1,592","1,499","0.15K","-4.18%"
"2024- 01- 16","1,580","1,627","1,634","1,570","208.19K","-2.41%"
"2024- 01- 15","1,619","1,621","1,662","1,600","373.43K","-0.25%"
"2024- 01- 12","1,623","1,648","1,655","1,597","574.97K","-1.04%"
"2024- 01- 11","1,640","1,610","1,647","1,610","0.00K","1.86%"
"2024- 01- 10","1,610","1,646","1,646","1,600","406.91K","-1.65%"
"2024- 01- 09","1,637","1,580","1,637","1,568","0.14K","3.61%"
"2024- 01- 08","1,580","1,543","1,586","1,533","386.12K","2.40%"
"2024- 01- 05","1,543","1,492","1,550","1,491","235.64K","2.87%"
"2024- 01- 04","1,500","1,510","1,535","1,488","151.75K","-1.51%"
"2024- 01- 03","1,523","1,520","1,540","1,512","115.48K","-1.04%"
"2024- 01- 02","1,539","1,494","1,590","1,477","550.79K","3.29%"
