"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","104,200","104,200","106,000","102,700","76.90K","-1.98%"
"2024- 05- 07","106,300","98,400","108,200","96,500","172.90K","8.69%"
"2024- 05- 03","97,800","98,700","99,100","96,500","43.87K","-1.11%"
"2024- 05- 02","98,900","96,500","100,000","95,400","68.34K","2.81%"
"2024- 04- 30","96,200","97,600","99,400","95,900","58.85K","-0.82%"
"2024- 04- 29","97,000","93,200","98,500","92,100","126.43K","5.43%"
"2024- 04- 26","92,000","93,700","94,600","90,600","93.61K","0.00%"
"2024- 04- 25","92,000","91,700","101,700","91,100","579.62K","4.66%"
"2024- 04- 24","87,900","82,400","89,500","81,700","115.01K","7.85%"
"2024- 04- 23","81,500","81,600","83,200","80,400","25.23K","0.12%"
"2024- 04- 22","81,400","82,100","83,200","80,400","19.03K","-0.49%"
"2024- 04- 19","81,800","83,200","83,500","80,800","28.04K","-1.45%"
"2024- 04- 18","83,000","84,000","84,400","82,200","25.42K","-0.12%"
"2024- 04- 17","83,100","84,900","85,200","82,400","35.25K","-2.12%"
"2024- 04- 16","84,900","87,000","87,600","84,800","28.23K","-2.75%"
"2024- 04- 15","87,300","87,200","88,500","85,500","33.78K","-0.23%"
"2024- 04- 12","87,500","86,300","88,800","85,700","40.75K","1.39%"
"2024- 04- 11","86,300","84,000","87,200","83,200","43.47K","1.17%"
"2024- 04- 09","85,300","87,100","87,600","84,100","42.16K","-1.50%"
"2024- 04- 08","86,600","87,100","88,800","86,000","52.56K","0.12%"
"2024- 04- 05","86,500","85,000","87,400","84,900","36.73K","0.00%"
"2024- 04- 04","86,500","85,400","88,400","84,900","74.33K","2.13%"
"2024- 04- 03","84,700","81,700","86,500","80,200","85.86K","3.29%"
"2024- 04- 02","82,000","82,700","83,700","81,500","39.41K","-0.61%"
"2024- 04- 01","82,500","81,400","83,100","81,100","48.34K","1.35%"
"2024- 03- 29","81,400","81,400","82,900","80,700","72.51K","0.00%"
"2024- 03- 28","81,400","78,100","82,200","76,700","123.61K","4.90%"
"2024- 03- 27","77,600","76,700","78,800","76,200","116.95K","4.16%"
"2024- 03- 26","74,500","71,300","75,500","71,300","56.20K","4.93%"
"2024- 03- 25","71,000","71,400","71,600","69,800","24.77K","0.14%"
"2024- 03- 22","70,900","70,800","71,500","69,200","42.45K","0.14%"
"2024- 03- 21","70,800","72,700","73,100","70,100","54.76K","-0.98%"
"2024- 03- 20","71,500","72,400","72,400","70,500","27.81K","-0.42%"
"2024- 03- 19","71,800","73,600","73,600","70,900","33.12K","-2.31%"
"2024- 03- 18","73,500","75,600","76,400","72,900","40.47K","-2.78%"
"2024- 03- 15","75,600","76,100","76,400","75,100","22.10K","-0.66%"
"2024- 03- 14","76,100","73,900","77,600","73,500","48.12K","2.98%"
"2024- 03- 13","73,900","73,800","74,800","73,500","29.79K","-0.67%"
"2024- 03- 12","74,400","74,300","74,700","73,500","31.42K","0.27%"
"2024- 03- 11","74,200","73,700","75,100","73,000","30.99K","0.00%"
"2024- 03- 08","74,200","79,200","79,200","73,600","99.25K","-5.72%"
"2024- 03- 07","78,700","82,000","82,100","78,100","37.74K","-3.91%"
"2024- 03- 06","81,900","82,000","83,600","81,000","49.30K","-0.12%"
"2024- 03- 05","82,000","78,100","82,800","77,500","0.02K","5.81%"
"2024- 03- 04","77,500","77,900","78,500","76,200","0.02K","-0.39%"
"2024- 02- 29","77,800","79,500","80,500","77,600","27.28K","-1.52%"
"2024- 02- 28","79,000","77,200","80,000","77,200","0.02K","2.46%"
"2024- 02- 27","77,100","79,000","79,300","77,100","20.59K","-1.78%"
"2024- 02- 26","78,500","78,500","80,400","76,700","32.52K","0.00%"
"2024- 02- 23","78,500","81,400","81,400","78,000","49.74K","-3.68%"
"2024- 02- 22","81,500","80,900","82,000","78,300","0.00K","1.62%"
"2024- 02- 21","80,200","80,200","84,000","79,700","125.00K","1.39%"
"2024- 02- 20","79,100","75,900","79,400","75,400","0.15K","4.77%"
"2024- 02- 19","75,500","74,200","76,000","74,100","33.31K","1.75%"
"2024- 02- 16","74,200","73,700","74,600","71,500","46.66K","0.13%"
"2024- 02- 15","74,100","75,400","76,400","73,200","38.15K","-1.59%"
"2024- 02- 14","75,300","73,500","76,500","73,500","27.68K","0.80%"
"2024- 02- 13","74,700","75,000","77,500","74,500","0.01K","-0.40%"
"2024- 02- 12","75,000","75,000","75,000","75,000","","0.00%"
"2024- 02- 08","75,000","74,700","76,000","73,600","35.05K","0.40%"
"2024- 02- 07","74,700","74,800","77,500","73,600","61.89K","-1.06%"
"2024- 02- 06","75,500","74,700","76,700","73,800","45.36K","0.13%"
"2024- 02- 05","75,400","75,400","77,100","73,600","45.42K","-1.57%"
"2024- 02- 04","76,600","76,600","76,600","76,600","","0.00%"
"2024- 02- 02","76,600","76,900","78,300","76,000","66.81K","0.13%"
"2024- 02- 01","76,500","74,500","77,000","73,500","60.42K","2.14%"
"2024- 01- 31","74,900","77,500","79,500","73,800","138.42K","-1.06%"
"2024- 01- 30","75,700","76,000","78,700","73,700","87.30K","-1.05%"
"2024- 01- 29","76,500","74,000","77,700","73,100","74.80K","3.38%"
"2024- 01- 26","74,000","74,800","74,800","71,500","46.10K","-1.20%"
"2024- 01- 25","74,900","68,200","76,000","68,200","0.00K","9.82%"
"2024- 01- 24","68,200","67,500","70,000","67,200","39.15K","0.59%"
"2024- 01- 23","67,800","67,300","68,900","66,500","25.08K","0.15%"
"2024- 01- 22","67,700","69,000","69,300","66,800","28.43K","-1.46%"
"2024- 01- 19","68,700","65,900","68,800","65,800","78.28K","5.69%"
"2024- 01- 18","65,000","61,500","65,400","61,500","45.48K","4.67%"
"2024- 01- 17","62,100","63,500","63,500","61,300","27.18K","-1.74%"
"2024- 01- 16","63,200","62,600","64,500","61,800","29.26K","-0.32%"
"2024- 01- 15","63,400","63,800","63,800","62,200","18.23K","-0.63%"
"2024- 01- 12","63,800","63,600","64,100","62,900","16.68K","0.31%"
"2024- 01- 11","63,600","65,700","65,700","63,400","23.10K","-3.05%"
"2024- 01- 10","65,600","65,100","65,600","64,100","18.27K","0.92%"
"2024- 01- 09","65,000","65,300","65,800","64,200","29.48K","-0.31%"
"2024- 01- 08","65,200","66,000","66,300","64,900","17.39K","-0.91%"
"2024- 01- 05","65,800","66,300","66,400","65,400","16.60K","-0.30%"
"2024- 01- 04","66,000","66,600","66,900","65,600","0.00K","-0.90%"
"2024- 01- 03","66,600","66,000","67,600","66,000","15.32K","0.60%"
"2024- 01- 02","66,200","67,600","68,100","66,000","30.52K","-2.36%"
