"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","798","798","798","753","0.01K","0.00%"
"2024- 05- 07","798","799","799","798","0.00K","-0.13%"
"2024- 05- 03","799","731","800","731","1.76K","2.04%"
"2024- 05- 02","783","788","788","774","0.10K","0.38%"
"2024- 04- 30","780","714","800","710","6.29K","-2.26%"
"2024- 04- 29","798","777","800","775","14.55K","-12.40%"
"2024- 04- 26","911","919","919","755","4.72K","13.88%"
"2024- 04- 25","800","713","800","713","0.01K","0.00%"
"2024- 04- 24","800","721","800","721","0.07K","0.00%"
"2024- 04- 23","800","919","919","731","0.44K","0.00%"
"2024- 04- 22","800","910","910","762","0.00K","0.00%"
"2024- 04- 19","800","857","857","726","0.00K","-5.66%"
"2024- 04- 18","848","798","920","751","0.50K","6.00%"
"2024- 04- 17","800","752","800","752","1.75K","0.00%"
"2024- 04- 16","800","800","800","736","1.28K","0.00%"
"2024- 04- 15","800","772","827","731","6.82K","-5.66%"
"2024- 04- 12","848","756","993","756","0.01K","-4.61%"
"2024- 04- 11","889","924","924","796","0.67K","-5.02%"
"2024- 04- 09","936","936","936","936","0.00K","14.57%"
"2024- 04- 08","817","752","819","752","0.03K","-6.84%"
"2024- 04- 05","877","703","900","703","0.31K","10.87%"
"2024- 04- 04","791","773","900","773","0.13K","-12.89%"
"2024- 04- 03","908","953","953","807","0.06K","-4.32%"
"2024- 04- 02","949","954","954","805","0.60K","0.53%"
"2024- 04- 01","944","954","954","800","0.29K","5.71%"
"2024- 03- 29","893","904","904","720","0.07K","12.90%"
"2024- 03- 28","791","673","898","673","0.12K","0.51%"
"2024- 03- 27","787","898","898","820","0.01K","-4.02%"
"2024- 03- 26","820","900","900","792","0.00K","3.54%"
"2024- 03- 25","792","916","916","791","0.43K","-0.88%"
"2024- 03- 22","799","809","889","809","0.01K","-13.99%"
"2024- 03- 21","929","953","953","828","0.33K","-4.62%"
"2024- 03- 20","974","974","974","974","0.00K","14.59%"
"2024- 03- 19","850","908","908","752","0.00K","4.17%"
"2024- 03- 18","816","928","928","799","0.02K","0.87%"
"2024- 03- 15","809","820","820","695","3.26K","-0.98%"
"2024- 03- 14","817","800","819","785","0.11K","-3.77%"
"2024- 03- 13","849","907","907","701","3.21K","7.33%"
"2024- 03- 12","791","791","820","791","0.09K","-3.65%"
"2024- 03- 11","821","925","925","800","1.51K","1.48%"
"2024- 03- 08","809","913","913","780","12.58K","1.25%"
"2024- 03- 07","799","949","949","799","66.87K","-14.91%"
"2024- 03- 06","939","952","952","814","0.01K","-1.37%"
"2024- 03- 05","952","952","952","952","0.00K","2.48%"
"2024- 03- 04","929","948","948","748","2.35K","5.69%"
"2024- 02- 29","879","760","879","760","0.01K","7.85%"
"2024- 02- 28","815","711","899","711","4.33K","0.00%"
"2024- 02- 27","815","713","819","713","14.00K","-0.12%"
"2024- 02- 26","816","899","899","701","0.03K","0.25%"
"2024- 02- 23","814","784","965","784","5.46K","-11.52%"
"2024- 02- 22","920","762","925","762","11.93K","12.88%"
"2024- 02- 21","815","801","899","739","1.08K","-1.69%"
"2024- 02- 20","829","744","943","744","5.79K","0.00%"
"2024- 02- 19","829","776","829","776","0.03K","-1.43%"
"2024- 02- 16","841","771","848","771","0.03K","-5.93%"
"2024- 02- 15","894","808","898","808","0.02K","-5.50%"
"2024- 02- 14","946","964","964","805","4.03K","2.05%"
"2024- 02- 13","927","802","929","802","0.05K","13.60%"
"2024- 02- 08","816","816","816","816","1.24K","-15.00%"
"2024- 02- 07","960","806","963","806","0.03K","1.59%"
"2024- 02- 06","945","801","950","801","0.02K","0.64%"
"2024- 02- 05","939","964","964","796","0.01K","0.86%"
"2024- 02- 02","931","963","963","803","0.03K","4.72%"
"2024- 02- 01","889","753","897","753","0.03K","5.96%"
"2024- 01- 31","839","752","848","752","0.02K","2.44%"
"2024- 01- 30","819","819","819","819","0.87K","-14.95%"
"2024- 01- 29","963","963","963","960","0.71K","8.32%"
"2024- 01- 26","889","752","963","752","0.58K","4.71%"
"2024- 01- 25","849","790","948","790","0.34K","0.12%"
"2024- 01- 24","848","850","850","711","0.31K","4.18%"
"2024- 01- 23","814","820","820","786","0.02K","4.23%"
"2024- 01- 22","781","917","917","781","2.50K","-3.58%"
"2024- 01- 19","810","899","899","793","0.01K","1.12%"
"2024- 01- 18","801","937","937","800","0.01K","-1.84%"
"2024- 01- 17","816","967","967","816","2.12K","-14.91%"
"2024- 01- 16","959","896","986","790","3.02K","7.15%"
"2024- 01- 15","895","899","899","792","3.46K","5.92%"
"2024- 01- 12","845","792","973","792","0.03K","-0.35%"
"2024- 01- 11","848","936","936","788","3.94K","4.05%"
"2024- 01- 10","815","815","815","796","15.98K","0.00%"
"2024- 01- 09","815","814","909","771","6.44K","0.00%"
"2024- 01- 08","815","899","899","770","1.67K","0.00%"
"2024- 01- 05","815","815","815","780","1.37K","0.00%"
"2024- 01- 04","815","815","815","715","4.58K","0.00%"
"2024- 01- 03","815","750","969","750","1.14K","-3.55%"
"2024- 01- 02","845","800","849","800","4.01K","-4.63%"
