"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","13,370","13,500","13,550","13,020","301.90K","-0.96%"
"2024- 05- 07","13,500","13,650","13,820","13,500","231.90K","-0.30%"
"2024- 05- 03","13,540","13,450","13,940","13,390","346.22K","1.12%"
"2024- 05- 02","13,390","13,470","13,670","13,290","237.12K","0.00%"
"2024- 04- 30","13,390","13,760","13,800","13,370","383.51K","-2.69%"
"2024- 04- 29","13,760","14,010","14,150","13,620","421.31K","-1.08%"
"2024- 04- 26","13,910","13,680","14,340","13,590","853.90K","0.58%"
"2024- 04- 25","13,830","13,500","13,970","13,070","675.37K","2.90%"
"2024- 04- 24","13,440","13,630","13,900","13,300","525.71K","-1.18%"
"2024- 04- 23","13,600","13,640","14,060","13,210","745.90K","0.37%"
"2024- 04- 22","13,550","13,410","14,500","13,040","5.17M","6.61%"
"2024- 04- 19","12,710","12,660","13,060","12,160","449.36K","0.39%"
"2024- 04- 18","12,660","12,530","12,940","12,410","311.27K","0.88%"
"2024- 04- 17","12,550","13,000","13,370","12,550","595.40K","-2.94%"
"2024- 04- 16","12,930","13,980","14,050","12,700","1.26M","-6.98%"
"2024- 04- 15","13,900","12,670","14,400","12,070","4.87M","15.16%"
"2024- 04- 12","12,070","11,960","12,420","11,950","183.13K","0.58%"
"2024- 04- 11","12,000","12,270","12,400","11,710","331.52K","-3.23%"
"2024- 04- 09","12,400","11,700","12,450","11,490","510.64K","3.51%"
"2024- 04- 08","11,980","12,120","14,500","11,700","1.98M","-1.16%"
"2024- 04- 05","12,120","12,000","12,140","11,810","154.40K","0.75%"
"2024- 04- 04","12,030","12,090","12,090","11,750","157.31K","0.50%"
"2024- 04- 03","11,970","11,960","12,120","11,850","128.19K","-1.07%"
"2024- 04- 02","12,100","12,190","12,200","11,780","267.47K","0.00%"
"2024- 04- 01","12,100","12,120","12,190","11,900","116.92K","-0.17%"
"2024- 03- 29","12,120","12,190","12,260","11,940","134.30K","-0.08%"
"2024- 03- 28","12,130","12,300","12,400","12,010","216.15K","-1.38%"
"2024- 03- 27","12,300","12,500","12,690","12,160","180.01K","-1.60%"
"2024- 03- 26","12,500","12,860","12,900","12,430","272.97K","-2.80%"
"2024- 03- 25","12,860","12,860","12,920","12,620","130.66K","0.70%"
"2024- 03- 22","12,770","12,740","13,010","12,550","211.72K","0.24%"
"2024- 03- 21","12,740","12,120","12,770","12,120","273.77K","5.03%"
"2024- 03- 20","12,130","12,150","12,310","11,840","214.54K","1.59%"
"2024- 03- 19","11,940","12,340","12,400","11,880","288.71K","-3.94%"
"2024- 03- 18","12,430","12,720","12,900","12,300","225.13K","-2.51%"
"2024- 03- 15","12,750","12,720","13,020","12,630","14.71K","-0.31%"
"2024- 03- 14","12,790","12,700","13,100","12,630","234.49K","0.71%"
"2024- 03- 13","12,700","12,850","12,850","12,510","217.83K","-0.31%"
"2024- 03- 12","12,740","12,770","12,960","12,530","259.47K","-0.16%"
"2024- 03- 11","12,760","13,300","13,430","12,750","0.28K","-2.97%"
"2024- 03- 08","13,150","12,620","13,170","12,420","389.17K","4.45%"
"2024- 03- 07","12,590","12,830","12,920","12,480","220.66K","-0.87%"
"2024- 03- 06","12,700","12,480","13,200","12,350","918.25K","2.01%"
"2024- 03- 05","12,450","12,100","12,590","11,750","0.02K","3.75%"
"2024- 03- 04","12,000","11,990","12,060","11,640","254.64K","0.08%"
"2024- 03- 03","11,990","11,990","11,990","11,990","","0.00%"
"2024- 02- 29","11,990","12,240","12,290","11,950","208.00K","-2.04%"
"2024- 02- 28","12,240","12,350","12,360","12,000","0.10K","0.66%"
"2024- 02- 27","12,160","12,360","12,440","12,050","203.97K","-1.62%"
"2024- 02- 26","12,360","12,230","12,700","12,100","449.58K","1.48%"
"2024- 02- 25","12,180","12,180","12,180","12,180","","0.00%"
"2024- 02- 23","12,180","11,800","12,440","11,480","677.41K","3.22%"
"2024- 02- 22","11,800","12,000","12,080","11,750","171.50K","-0.84%"
"2024- 02- 21","11,900","11,980","12,500","11,820","0.04K","0.25%"
"2024- 02- 20","11,870","12,070","12,130","11,740","0.13K","-1.66%"
"2024- 02- 19","12,070","12,360","12,440","11,960","0.06K","-2.27%"
"2024- 02- 16","12,350","12,230","12,880","11,600","1.02M","0.00%"
"2024- 02- 15","12,350","11,370","12,400","11,200","0.18K","10.07%"
"2024- 02- 14","11,220","11,040","11,230","11,010","0.00K","0.81%"
"2024- 02- 13","11,130","11,180","11,310","11,040","143.14K","0.18%"
"2024- 02- 12","11,110","11,110","11,110","11,110","","0.00%"
"2024- 02- 08","11,110","11,210","11,300","11,010","159.56K","-0.63%"
"2024- 02- 07","11,180","11,480","11,480","11,160","218.47K","-2.95%"
"2024- 02- 06","11,520","10,950","11,670","10,780","636.83K","4.63%"
"2024- 02- 05","11,010","10,920","11,520","10,860","0.05K","1.01%"
"2024- 02- 04","10,900","10,900","10,900","10,900","","0.00%"
"2024- 02- 02","10,900","10,400","10,920","10,400","216.95K","4.81%"
"2024- 02- 01","10,400","10,950","10,950","10,400","0.07K","-4.06%"
"2024- 01- 31","10,840","10,880","11,040","10,660","0.10K","-0.09%"
"2024- 01- 30","10,850","10,880","10,890","10,600","0.06K","-0.18%"
"2024- 01- 29","10,870","10,500","10,980","10,470","428.89K","4.22%"
"2024- 01- 26","10,430","10,290","10,460","10,190","149.72K","1.96%"
"2024- 01- 25","10,230","10,160","10,420","10,160","0.10K","0.29%"
