"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,535","3,515","3,550","3,500","24.75K","-0.28%"
"2024- 05- 07","3,545","3,535","3,560","3,505","33.91K","0.28%"
"2024- 05- 03","3,535","3,510","3,560","3,500","32.30K","1.14%"
"2024- 05- 02","3,495","3,500","3,570","3,430","30.10K","-0.14%"
"2024- 04- 30","3,500","3,490","3,530","3,490","42.92K","-0.14%"
"2024- 04- 29","3,505","3,495","3,530","3,460","39.01K","1.30%"
"2024- 04- 26","3,460","3,480","3,525","3,445","76.38K","0.73%"
"2024- 04- 25","3,435","3,385","3,510","3,385","52.29K","0.59%"
"2024- 04- 24","3,415","3,375","3,420","3,375","22.11K","0.44%"
"2024- 04- 23","3,400","3,400","3,420","3,375","32.82K","-0.15%"
"2024- 04- 22","3,405","3,350","3,430","3,350","29.64K","0.74%"
"2024- 04- 19","3,380","3,410","3,435","3,335","59.78K","-0.88%"
"2024- 04- 18","3,410","3,335","3,420","3,335","23.13K","2.25%"
"2024- 04- 17","3,335","3,435","3,680","3,335","396.44K","-2.91%"
"2024- 04- 16","3,435","3,500","3,500","3,350","79.13K","-0.15%"
"2024- 04- 15","3,440","3,410","3,470","3,360","34.77K","-0.43%"
"2024- 04- 12","3,455","3,400","3,465","3,390","26.93K","1.32%"
"2024- 04- 11","3,410","3,415","3,425","3,320","58.76K","-0.15%"
"2024- 04- 09","3,415","3,375","3,435","3,370","38.95K","0.59%"
"2024- 04- 08","3,395","3,405","3,405","3,310","47.98K","-0.29%"
"2024- 04- 05","3,405","3,440","3,465","3,395","69.51K","-1.73%"
"2024- 04- 04","3,465","3,455","3,545","3,450","58.06K","-0.29%"
"2024- 04- 03","3,475","3,515","3,520","3,445","77.19K","-1.14%"
"2024- 04- 02","3,515","3,550","3,595","3,510","71.25K","-1.40%"
"2024- 04- 01","3,565","3,550","3,595","3,525","37.32K","0.00%"
"2024- 03- 29","3,565","3,590","3,750","3,550","149.47K","-0.70%"
"2024- 03- 28","3,590","3,600","3,700","3,580","128.12K","-0.28%"
"2024- 03- 27","3,600","3,610","3,675","3,600","110.26K","-0.28%"
"2024- 03- 26","3,610","3,605","3,680","3,605","72.84K","0.14%"
"2024- 03- 25","3,605","3,660","3,660","3,605","58.59K","-0.55%"
"2024- 03- 22","3,625","3,650","3,725","3,620","96.36K","-0.14%"
"2024- 03- 21","3,630","3,705","3,745","3,610","136.72K","-1.76%"
"2024- 03- 20","3,695","3,645","3,755","3,605","211.92K","2.21%"
"2024- 03- 19","3,615","4,180","4,180","3,600","1.21M","-6.47%"
"2024- 03- 18","3,865","3,515","3,865","3,450","749.77K","9.03%"
"2024- 03- 15","3,545","3,525","3,620","3,490","46.05K","0.14%"
"2024- 03- 14","3,540","3,555","3,585","3,505","0.21K","-0.28%"
"2024- 03- 13","3,550","3,545","3,590","3,545","0.11K","0.14%"
"2024- 03- 12","3,545","3,525","3,590","3,510","56.05K","1.00%"
"2024- 03- 11","3,510","3,500","3,585","3,500","63.20K","0.29%"
"2024- 03- 10","3,500","3,500","3,500","3,500","","0.00%"
"2024- 03- 08","3,500","3,500","3,560","3,500","92.61K","0.00%"
"2024- 03- 07","3,500","3,615","3,625","3,470","0.23K","-2.64%"
"2024- 03- 06","3,595","3,560","3,655","3,560","175.90K","-0.96%"
"2024- 03- 05","3,630","3,790","4,215","3,610","4.29M","-3.97%"
"2024- 03- 04","3,780","3,815","3,870","3,780","0.02K","0.00%"
"2024- 02- 29","3,780","3,760","3,900","3,700","111.77K","-0.13%"
"2024- 02- 28","3,785","3,845","3,915","3,780","0.02K","-1.94%"
"2024- 02- 27","3,860","3,945","4,000","3,860","116.85K","-3.26%"
"2024- 02- 26","3,990","4,000","4,045","3,950","0.08K","-0.62%"
"2024- 02- 23","4,015","4,035","4,095","3,995","106.32K","-0.50%"
"2024- 02- 22","4,035","4,050","4,140","4,020","186.01K","1.00%"
"2024- 02- 21","3,995","4,150","4,150","3,985","189.57K","-2.80%"
"2024- 02- 20","4,110","4,130","4,130","4,030","0.02K","0.86%"
"2024- 02- 19","4,075","3,940","4,085","3,935","243.60K","3.43%"
"2024- 02- 16","3,940","3,940","3,960","3,870","95.32K","0.13%"
"2024- 02- 15","3,935","4,005","4,005","3,900","108.25K","-1.13%"
"2024- 02- 14","3,980","3,925","3,995","3,870","101.05K","0.25%"
"2024- 02- 13","3,970","3,915","3,980","3,845","116.33K","2.72%"
"2024- 02- 12","3,865","3,865","3,865","3,865","","0.00%"
"2024- 02- 08","3,865","3,840","3,905","3,835","116.97K","0.00%"
"2024- 02- 07","3,865","3,940","3,940","3,830","0.00K","-0.51%"
"2024- 02- 06","3,885","3,950","4,050","3,875","271.76K","-0.51%"
"2024- 02- 05","3,905","3,870","4,125","3,840","247.60K","0.90%"
"2024- 02- 02","3,870","3,875","3,990","3,870","102.17K","-0.51%"
"2024- 02- 01","3,890","3,815","3,890","3,805","0.04K","1.30%"
"2024- 01- 31","3,840","3,950","4,040","3,840","0.01K","-5.07%"
"2024- 01- 30","4,045","4,120","4,120","3,980","318.85K","-1.58%"
"2024- 01- 29","4,110","4,300","4,315","4,075","0.03K","-4.75%"
"2024- 01- 28","4,315","4,315","4,315","4,315","","0.00%"
"2024- 01- 26","4,315","3,990","4,530","3,960","3.92M","6.94%"
"2024- 01- 25","4,035","4,200","4,230","4,010","0.09K","-3.35%"
"2024- 01- 24","4,175","4,140","4,380","4,050","1.53M","1.83%"
"2024- 01- 23","4,100","4,210","4,210","4,020","3.68K","-1.80%"
"2024- 01- 22","4,175","4,145","4,200","4,085","0.72K","1.95%"
