"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,225","2,195","2,225","2,185","60.02K","1.37%"
"2024- 05- 07","2,195","2,190","2,230","2,190","58.14K","0.23%"
"2024- 05- 03","2,190","2,235","2,240","2,175","38.31K","-0.68%"
"2024- 05- 02","2,205","2,190","2,225","2,190","61.78K","-0.23%"
"2024- 04- 30","2,210","2,215","2,250","2,200","66.57K","0.00%"
"2024- 04- 29","2,210","2,195","2,245","2,195","100.57K","0.68%"
"2024- 04- 26","2,195","2,255","2,290","2,195","79.93K","-2.44%"
"2024- 04- 25","2,250","2,280","2,280","2,225","73.55K","0.00%"
"2024- 04- 24","2,250","2,235","2,285","2,225","73.34K","1.12%"
"2024- 04- 23","2,225","2,210","2,290","2,200","62.92K","0.45%"
"2024- 04- 22","2,215","2,185","2,255","2,175","79.41K","1.37%"
"2024- 04- 19","2,185","2,195","2,240","2,095","189.30K","-0.46%"
"2024- 04- 18","2,195","2,150","2,235","2,150","100.57K","1.39%"
"2024- 04- 17","2,165","2,215","2,260","2,150","200.57K","-3.35%"
"2024- 04- 16","2,240","2,215","2,690","2,180","2.13M","1.36%"
"2024- 04- 15","2,210","2,325","2,340","2,205","158.53K","-5.76%"
"2024- 04- 12","2,345","2,340","2,400","2,315","119.68K","-1.26%"
"2024- 04- 11","2,375","2,440","2,460","2,350","101.62K","-2.86%"
"2024- 04- 09","2,445","2,490","2,555","2,420","117.39K","-1.81%"
"2024- 04- 08","2,490","2,575","2,635","2,470","140.44K","-3.11%"
"2024- 04- 05","2,570","2,640","2,640","2,555","79.06K","-1.91%"
"2024- 04- 04","2,620","2,630","2,695","2,600","74.26K","-1.13%"
"2024- 04- 03","2,650","2,660","2,660","2,575","108.41K","-0.19%"
"2024- 04- 02","2,655","2,705","2,725","2,635","114.17K","-2.75%"
"2024- 04- 01","2,730","2,700","2,775","2,680","77.96K","1.11%"
"2024- 03- 29","2,700","2,800","2,810","2,690","106.89K","-1.64%"
"2024- 03- 28","2,745","2,770","2,800","2,725","135.83K","-0.72%"
"2024- 03- 27","2,765","2,810","2,840","2,665","105.39K","-1.60%"
"2024- 03- 26","2,810","2,930","2,930","2,795","157.18K","-2.94%"
"2024- 03- 25","2,895","2,745","2,900","2,740","278.58K","5.66%"
"2024- 03- 22","2,740","2,685","2,770","2,665","121.98K","1.48%"
"2024- 03- 21","2,700","2,725","2,760","2,645","142.21K","-0.55%"
"2024- 03- 20","2,715","2,740","2,790","2,660","124.50K","-0.73%"
"2024- 03- 19","2,735","2,765","2,865","2,730","134.15K","-0.73%"
"2024- 03- 18","2,755","2,770","2,875","2,740","140.60K","-0.54%"
"2024- 03- 17","2,770","2,770","2,770","2,770","","0.00%"
"2024- 03- 15","2,770","2,895","2,895","2,720","172.77K","-2.29%"
"2024- 03- 14","2,835","2,800","2,900","2,745","222.30K","1.07%"
"2024- 03- 13","2,805","2,660","3,170","2,635","1.58M","5.45%"
"2024- 03- 12","2,660","2,695","2,745","2,650","92.88K","-2.92%"
"2024- 03- 11","2,740","2,755","2,820","2,685","73.42K","-0.18%"
"2024- 03- 08","2,745","2,740","2,765","2,660","129.35K","0.18%"
"2024- 03- 07","2,740","2,700","2,850","2,690","327.90K","1.86%"
"2024- 03- 06","2,690","2,610","2,770","2,565","176.56K","3.07%"
"2024- 03- 05","2,610","2,620","2,635","2,550","106.40K","-0.38%"
"2024- 03- 04","2,620","2,725","2,740","2,560","157.41K","-3.85%"
"2024- 02- 29","2,725","2,730","2,770","2,685","127.78K","-0.18%"
"2024- 02- 28","2,730","2,800","2,835","2,720","67.66K","-0.91%"
"2024- 02- 27","2,755","2,795","2,850","2,715","90.30K","-1.43%"
"2024- 02- 26","2,795","2,750","2,885","2,730","152.50K","1.64%"
"2024- 02- 23","2,750","2,750","2,830","2,715","106.60K","1.10%"
"2024- 02- 22","2,720","2,680","2,735","2,660","69.27K","1.49%"
"2024- 02- 21","2,680","2,690","2,745","2,650","139.30K","0.94%"
"2024- 02- 20","2,655","2,855","2,895","2,590","356.71K","-7.01%"
"2024- 02- 19","2,855","2,785","2,900","2,765","72.47K","1.60%"
"2024- 02- 16","2,810","2,890","2,950","2,650","131.10K","-2.77%"
"2024- 02- 15","2,890","2,890","2,970","2,860","64.33K","0.35%"
"2024- 02- 14","2,880","2,855","2,925","2,845","54.45K","-1.71%"
"2024- 02- 13","2,930","2,830","2,970","2,825","117.15K","3.72%"
"2024- 02- 08","2,825","2,755","2,865","2,755","85.14K","1.25%"
"2024- 02- 07","2,790","2,880","2,905","2,790","83.38K","-1.41%"
"2024- 02- 06","2,830","2,830","2,890","2,770","100.21K","-0.70%"
"2024- 02- 05","2,850","2,795","2,890","2,740","155.08K","1.24%"
"2024- 02- 02","2,815","2,750","2,815","2,720","103.70K","3.49%"
"2024- 02- 01","2,720","2,735","2,735","2,650","91.21K","0.37%"
"2024- 01- 31","2,710","2,715","2,765","2,705","45.54K","-1.28%"
"2024- 01- 30","2,745","2,720","2,830","2,705","51.90K","1.48%"
"2024- 01- 29","2,705","2,770","2,855","2,655","116.37K","-2.35%"
"2024- 01- 26","2,770","2,730","2,835","2,710","40.80K","1.47%"
"2024- 01- 25","2,730","2,760","2,775","2,700","84.00K","-1.09%"
"2024- 01- 24","2,760","2,870","2,945","2,740","157.56K","-4.00%"
"2024- 01- 23","2,875","2,980","2,985","2,870","92.36K","-1.20%"
"2024- 01- 22","2,910","2,870","2,940","2,800","123.30K","1.39%"
