"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,240","5,210","5,270","5,210","29.92K","0.19%"
"2024- 05- 07","5,230","5,260","5,280","5,200","44.73K","-0.38%"
"2024- 05- 03","5,250","5,290","5,300","5,240","37.46K","-0.76%"
"2024- 05- 02","5,290","5,240","5,310","5,220","60.09K","1.15%"
"2024- 04- 30","5,230","5,200","5,250","5,190","45.97K","0.38%"
"2024- 04- 29","5,210","5,200","5,210","5,170","35.94K","0.39%"
"2024- 04- 26","5,190","5,160","5,200","5,150","44.11K","0.58%"
"2024- 04- 25","5,160","5,140","5,190","5,140","34.07K","0.00%"
"2024- 04- 24","5,160","5,150","5,200","5,150","29.64K","-0.19%"
"2024- 04- 23","5,170","5,150","5,290","5,150","89.34K","0.39%"
"2024- 04- 22","5,150","5,140","5,170","5,110","31.14K","0.19%"
"2024- 04- 19","5,140","5,170","5,170","5,080","59.27K","0.00%"
"2024- 04- 18","5,140","5,080","5,150","5,080","36.33K","0.98%"
"2024- 04- 17","5,090","5,120","5,150","5,090","35.63K","-0.59%"
"2024- 04- 16","5,120","5,120","5,170","5,080","63.47K","-0.97%"
"2024- 04- 15","5,170","5,120","5,170","5,090","63.49K","0.00%"
"2024- 04- 12","5,170","5,190","5,210","5,150","79.17K","-0.58%"
"2024- 04- 11","5,200","5,310","5,580","5,170","573.42K","0.00%"
"2024- 04- 09","5,200","5,220","5,250","5,200","33.04K","-0.76%"
"2024- 04- 08","5,240","5,210","5,270","5,200","42.09K","0.19%"
"2024- 04- 05","5,230","5,190","5,270","5,180","56.90K","0.38%"
"2024- 04- 04","5,210","5,210","5,260","5,200","47.35K","-0.57%"
"2024- 04- 03","5,240","5,240","5,250","5,200","36.26K","0.00%"
"2024- 04- 02","5,240","5,240","5,360","5,180","103.27K","0.19%"
"2024- 04- 01","5,230","5,210","5,260","5,210","36.52K","0.38%"
"2024- 03- 29","5,210","5,170","5,240","5,170","48.34K","0.58%"
"2024- 03- 28","5,180","5,220","5,230","5,180","37.20K","-0.58%"
"2024- 03- 27","5,210","5,230","5,230","5,200","30.07K","-0.38%"
"2024- 03- 26","5,230","5,210","5,250","5,200","28.73K","-0.19%"
"2024- 03- 25","5,240","5,200","5,250","5,180","59.95K","0.58%"
"2024- 03- 22","5,210","5,210","5,270","5,160","44.61K","0.19%"
"2024- 03- 21","5,200","5,160","5,200","5,150","34.65K","0.78%"
"2024- 03- 20","5,160","5,150","5,310","5,100","189.32K","1.18%"
"2024- 03- 19","5,100","5,100","5,140","5,060","45.17K","-0.39%"
"2024- 03- 18","5,120","5,130","5,140","5,090","23.31K","0.00%"
"2024- 03- 15","5,120","5,130","5,170","5,100","6.95K","-0.97%"
"2024- 03- 14","5,170","5,140","5,220","5,140","0.03K","1.37%"
"2024- 03- 13","5,100","5,110","5,140","5,080","29.45K","-0.58%"
"2024- 03- 12","5,130","5,150","5,180","5,100","24.65K","-0.39%"
"2024- 03- 11","5,150","5,200","5,200","5,130","38.32K","-0.96%"
"2024- 03- 10","5,200","5,200","5,200","5,200","","0.00%"
"2024- 03- 08","5,200","5,150","5,230","5,150","49.81K","0.97%"
"2024- 03- 07","5,150","5,130","5,200","5,110","35.78K","0.39%"
"2024- 03- 06","5,130","5,100","5,160","5,080","15.63K","0.20%"
"2024- 03- 05","5,120","5,100","5,130","5,040","35.35K","0.79%"
"2024- 03- 04","5,080","5,080","5,110","5,070","26.17K","0.00%"
"2024- 02- 29","5,080","5,120","5,130","5,070","39.14K","-0.78%"
"2024- 02- 28","5,120","5,120","5,160","5,100","37.14K","0.00%"
"2024- 02- 27","5,120","5,160","5,200","5,120","0.01K","-1.16%"
"2024- 02- 26","5,180","5,150","5,200","5,140","0.01K","0.00%"
"2024- 02- 25","5,180","5,180","5,180","5,180","","0.00%"
"2024- 02- 23","5,180","5,170","5,190","5,120","70.36K","-0.19%"
"2024- 02- 22","5,190","5,210","5,230","5,160","0.02K","-0.19%"
"2024- 02- 21","5,200","5,250","5,270","5,200","0.01K","-0.95%"
"2024- 02- 20","5,250","5,260","5,280","5,250","32.12K","-0.38%"
"2024- 02- 19","5,270","5,280","5,300","5,250","45.08K","-0.38%"
"2024- 02- 18","5,290","5,290","5,290","5,290","","0.00%"
"2024- 02- 16","5,290","5,260","5,300","5,240","37.52K","0.19%"
"2024- 02- 15","5,280","5,320","5,320","5,240","47.56K","0.00%"
"2024- 02- 14","5,280","5,260","5,310","5,240","62.72K","-0.38%"
"2024- 02- 13","5,300","5,270","5,300","5,220","0.00K","0.95%"
"2024- 02- 08","5,250","5,220","5,260","5,210","36.24K","0.19%"
"2024- 02- 07","5,240","5,230","5,240","5,190","51.43K","0.19%"
"2024- 02- 06","5,230","5,210","5,240","5,170","43.61K","0.38%"
"2024- 02- 05","5,210","5,180","5,210","5,160","0.10K","0.19%"
"2024- 02- 02","5,200","5,170","5,230","5,170","68.66K","0.39%"
"2024- 02- 01","5,180","5,130","5,220","5,120","94.38K","0.19%"
"2024- 01- 31","5,170","5,210","5,360","5,160","3.08K","-1.34%"
"2024- 01- 30","5,240","5,230","5,260","5,200","51.44K","0.19%"
"2024- 01- 29","5,230","5,240","5,310","5,220","118.31K","-0.76%"
"2024- 01- 28","5,270","5,270","5,270","5,270","","0.00%"
"2024- 01- 26","5,270","5,180","5,280","5,170","90.52K","0.96%"
"2024- 01- 25","5,220","5,230","5,280","5,170","0.26K","-0.95%"
"2024- 01- 24","5,270","5,340","5,360","5,240","253.17K","-1.86%"
"2024- 01- 23","5,370","5,350","5,500","5,350","0.01K","-1.10%"
"2024- 01- 22","5,430","5,650","5,660","5,430","777.53K","-8.89%"
"2024- 01- 21","5,960","5,960","5,960","5,960","","0.00%"
"2024- 01- 19","5,960","5,450","5,960","5,350","2.60M","12.45%"
"2024- 01- 18","5,300","5,220","5,330","5,210","180.59K","2.51%"
"2024- 01- 17","5,170","5,350","5,360","5,170","0.03K","-0.77%"
"2024- 01- 16","5,210","5,210","5,270","5,160","94.11K","-0.76%"
"2024- 01- 15","5,250","5,290","5,310","5,230","78.93K","-1.13%"
"2024- 01- 12","5,310","5,440","5,460","5,300","117.94K","-2.39%"
"2024- 01- 11","5,440","5,480","5,480","5,390","75.85K","0.55%"
"2024- 01- 10","5,410","5,490","5,500","5,400","91.39K","-0.73%"
"2024- 01- 09","5,450","5,370","5,450","5,360","93.73K","1.68%"
"2024- 01- 08","5,360","5,290","5,390","5,260","143.68K","1.32%"
"2024- 01- 07","5,290","5,290","5,290","5,290","","0.00%"
"2024- 01- 05","5,290","5,310","5,370","5,270","133.35K","-0.94%"
"2024- 01- 04","5,340","5,440","5,440","5,320","145.98K","-1.84%"
"2024- 01- 03","5,440","5,460","5,500","5,430","80.03K","-1.45%"
"2024- 01- 02","5,520","5,440","5,520","5,400","116.42K","0.36%"
