"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,450.00","7,490.00","7,490.00","7,410.00","13.31K","0.13%"
"2024- 05- 07","7,440.00","7,400.00","7,490.00","7,310.00","13.49K","0.54%"
"2024- 05- 03","7,400.00","7,400.00","7,490.00","7,280.00","12.56K","0.00%"
"2024- 05- 02","7,400.00","7,330.00","7,440.00","7,200.00","27.20K","2.35%"
"2024- 04- 30","7,230.00","7,150.00","7,320.00","7,150.00","12.69K","1.12%"
"2024- 04- 29","7,150.00","7,030.00","7,190.00","7,030.00","13.87K","0.56%"
"2024- 04- 26","7,110.00","7,170.00","7,170.00","6,920.00","29.05K","0.28%"
"2024- 04- 25","7,090.00","7,150.00","7,150.00","7,030.00","17.57K","-0.14%"
"2024- 04- 24","7,100.00","7,010.00","7,190.00","7,000.00","17.10K","1.28%"
"2024- 04- 23","7,010.00","7,020.00","7,140.00","7,010.00","20.38K","-0.71%"
"2024- 04- 22","7,060.00","7,020.00","7,180.00","7,020.00","18.41K","-0.56%"
"2024- 04- 19","7,100.00","7,240.00","7,340.00","7,000.00","44.98K","-2.34%"
"2024- 04- 18","7,270.00","7,090.00","7,730.00","7,050.00","170.41K","2.54%"
"2024- 04- 17","7,090.00","6,920.00","8,430.00","6,920.00","1.77M","1.87%"
"2024- 04- 16","6,960.00","7,010.00","7,150.00","6,910.00","14.96K","-0.71%"
"2024- 04- 15","7,010.00","7,020.00","7,020.00","6,860.00","15.70K","0.14%"
"2024- 04- 12","7,000.00","7,010.00","7,110.00","6,940.00","15.37K","-0.99%"
"2024- 04- 11","7,070.00","7,060.00","7,140.00","6,930.00","9.57K","0.14%"
"2024- 04- 09","7,060.00","7,070.00","7,230.00","6,980.00","20.87K","-1.26%"
"2024- 04- 08","7,150.00","7,290.00","7,300.00","7,050.00","34.34K","-1.92%"
"2024- 04- 05","7,290.00","7,430.00","7,450.00","7,160.00","30.72K","-2.93%"
"2024- 04- 04","7,510.00","7,440.00","7,590.00","7,430.00","16.57K","0.13%"
"2024- 04- 03","7,500.00","7,440.00","7,510.00","7,340.00","15.64K","0.13%"
"2024- 04- 02","7,490.00","7,660.00","7,710.00","7,430.00","46.73K","-2.73%"
"2024- 04- 01","7,700.00","7,760.00","7,870.00","7,590.00","42.77K","-1.28%"
"2024- 03- 29","7,800.00","7,960.00","8,020.00","7,680.00","96.32K","-2.01%"
"2024- 03- 28","7,960.00","7,880.00","8,660.00","7,670.00","496.53K","-1.00%"
"2024- 03- 27","8,040.00","7,060.00","8,820.00","7,030.00","3.17M","13.88%"
"2024- 03- 26","7,060.00","7,140.00","7,160.00","6,990.00","26.41K","-1.40%"
"2024- 03- 25","7,160.00","7,160.00","7,440.00","7,150.00","16.52K","0.00%"
"2024- 03- 22","7,160.00","7,200.00","7,320.00","7,080.00","20.00K","0.56%"
"2024- 03- 21","7,120.00","6,970.00","7,170.00","6,940.00","15.51K","2.59%"
