"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,450","6,330","6,470","6,270","105.01K","0.94%"
"2024- 05- 07","6,390","6,480","6,530","6,370","87.46K","-1.24%"
"2024- 05- 03","6,470","6,540","6,540","6,400","80.11K","-0.15%"
"2024- 05- 02","6,480","6,480","6,600","6,450","135.20K","0.00%"
"2024- 04- 30","6,480","6,300","6,480","6,240","145.70K","2.69%"
"2024- 04- 29","6,310","6,220","6,370","6,220","66.66K","1.45%"
"2024- 04- 26","6,220","6,300","6,340","6,190","90.27K","-1.27%"
"2024- 04- 25","6,300","6,450","6,450","6,250","114.62K","-2.33%"
"2024- 04- 24","6,450","6,450","6,480","6,370","94.38K","0.16%"
"2024- 04- 23","6,440","6,530","6,620","6,390","143.69K","-0.46%"
"2024- 04- 22","6,470","6,520","6,640","6,340","172.37K","1.57%"
"2024- 04- 19","6,370","6,500","6,520","6,250","213.19K","-1.70%"
"2024- 04- 18","6,480","6,380","6,700","6,340","562.38K","5.71%"
"2024- 04- 17","6,130","6,000","6,210","6,000","109.31K","2.17%"
"2024- 04- 16","6,000","5,960","6,110","5,960","79.24K","-1.96%"
"2024- 04- 15","6,120","6,110","6,200","6,020","142.10K","-1.29%"
"2024- 04- 12","6,200","6,140","6,340","6,140","87.17K","0.32%"
"2024- 04- 11","6,180","6,060","6,210","5,990","87.38K","1.15%"
"2024- 04- 09","6,110","6,150","6,210","6,060","101.84K","0.99%"
"2024- 04- 08","6,050","6,190","6,240","6,040","83.51K","-2.26%"
"2024- 04- 05","6,190","6,190","6,230","6,100","129.82K","-0.32%"
"2024- 04- 04","6,210","6,420","6,450","6,190","155.61K","-2.82%"
"2024- 04- 03","6,390","6,380","6,480","6,200","156.86K","1.27%"
"2024- 04- 02","6,310","6,470","6,480","6,300","147.34K","-2.47%"
"2024- 04- 01","6,470","6,270","6,540","6,200","259.41K","3.35%"
"2024- 03- 29","6,260","6,170","6,280","6,090","124.34K","1.46%"
"2024- 03- 28","6,170","6,240","6,330","6,110","135.68K","-1.12%"
"2024- 03- 27","6,240","6,330","6,360","6,200","73.95K","-1.42%"
"2024- 03- 26","6,330","6,320","6,410","6,220","127.97K","0.16%"
"2024- 03- 25","6,320","6,100","6,420","6,070","264.35K","3.61%"
"2024- 03- 22","6,100","6,110","6,110","5,920","117.32K","0.49%"
"2024- 03- 21","6,070","6,060","6,180","6,060","72.71K","0.33%"
"2024- 03- 20","6,050","6,190","6,190","6,020","90.20K","-2.10%"
"2024- 03- 19","6,180","6,190","6,210","6,100","87.03K","0.32%"
"2024- 03- 18","6,160","6,050","6,240","6,000","90.67K","0.98%"
"2024- 03- 15","6,100","6,220","6,220","6,050","109.09K","-1.61%"
"2024- 03- 14","6,200","6,240","6,350","6,200","150.00K","-0.32%"
"2024- 03- 13","6,220","6,140","6,310","6,050","260.64K","2.64%"
"2024- 03- 12","6,060","6,120","6,130","5,940","172.67K","1.17%"
"2024- 03- 11","5,990","5,860","6,090","5,810","139.98K","1.18%"
"2024- 03- 10","5,920","5,920","5,920","5,920","","0.00%"
"2024- 03- 08","5,920","5,890","6,030","5,800","143.94K","0.85%"
"2024- 03- 07","5,870","6,000","6,100","5,830","247.00K","-2.17%"
"2024- 03- 06","6,000","6,120","6,140","5,990","213.21K","-1.32%"
"2024- 03- 05","6,080","6,150","6,250","6,040","110.08K","-1.78%"
"2024- 03- 04","6,190","6,230","6,310","6,160","130.43K","-0.64%"
"2024- 02- 29","6,230","6,220","6,290","6,130","119.78K","0.32%"
"2024- 02- 28","6,210","6,320","6,380","6,210","190.68K","-2.36%"
"2024- 02- 27","6,360","6,580","6,700","6,270","233.78K","-3.20%"
"2024- 02- 26","6,570","6,620","6,710","6,560","97.31K","0.00%"
"2024- 02- 23","6,570","6,490","6,600","6,400","110.48K","1.23%"
"2024- 02- 22","6,490","6,550","6,600","6,480","75.37K","0.00%"
"2024- 02- 21","6,490","6,650","6,680","6,480","107.98K","-2.41%"
"2024- 02- 20","6,650","6,620","6,700","6,570","74.02K","0.15%"
"2024- 02- 19","6,640","6,880","6,880","6,600","143.68K","-3.63%"
"2024- 02- 16","6,890","6,800","6,950","6,700","197.35K","1.47%"
"2024- 02- 15","6,790","6,590","6,810","6,590","190.20K","3.03%"
"2024- 02- 14","6,590","6,430","6,590","6,370","83.18K","1.54%"
"2024- 02- 13","6,490","6,420","6,590","6,420","130.42K","0.93%"
"2024- 02- 08","6,430","6,240","6,430","6,240","113.24K","1.90%"
"2024- 02- 07","6,310","6,320","6,440","6,280","48.96K","-0.16%"
"2024- 02- 06","6,320","6,300","6,380","6,230","58.66K","0.00%"
"2024- 02- 05","6,320","6,330","6,440","6,290","71.22K","-0.94%"
"2024- 02- 02","6,380","6,300","6,460","6,300","85.74K","1.27%"
"2024- 02- 01","6,300","6,440","6,590","6,250","236.68K","-3.52%"
"2024- 01- 31","6,530","6,650","6,750","6,460","113.76K","-3.26%"
"2024- 01- 30","6,750","6,800","6,840","6,660","104.62K","-0.74%"
"2024- 01- 29","6,800","6,980","6,990","6,770","182.72K","-4.09%"
"2024- 01- 28","7,090","7,090","7,090","7,090","","0.00%"
"2024- 01- 26","7,090","6,500","7,190","6,460","403.99K","9.08%"
"2024- 01- 25","6,500","6,650","6,700","6,430","141.28K","-1.96%"
"2024- 01- 24","6,630","6,720","6,770","6,540","124.43K","-1.49%"
"2024- 01- 23","6,730","6,670","6,760","6,610","171.30K","1.51%"
"2024- 01- 22","6,630","6,850","6,860","6,500","272.81K","-2.93%"
"2024- 01- 19","6,830","6,850","7,110","6,720","194.86K","-0.15%"
"2024- 01- 18","6,840","6,740","7,070","6,700","199.94K","1.48%"
"2024- 01- 17","6,740","7,130","7,130","6,640","309.50K","-4.67%"
"2024- 01- 16","7,070","7,170","7,260","7,000","159.69K","-1.67%"
"2024- 01- 15","7,190","7,400","7,400","7,140","214.69K","-1.91%"
"2024- 01- 12","7,330","7,610","7,680","7,300","368.92K","-3.04%"
"2024- 01- 11","7,560","7,260","7,820","7,260","940.37K","4.13%"
"2024- 01- 10","7,260","7,160","7,420","7,100","341.86K","1.97%"
"2024- 01- 09","7,120","7,180","7,220","7,070","167.43K","0.85%"
"2024- 01- 08","7,060","7,010","7,120","6,940","124.55K","0.71%"
"2024- 01- 05","7,010","6,910","7,100","6,860","272.47K","2.79%"
"2024- 01- 04","6,820","6,790","6,850","6,710","113.44K","0.29%"
"2024- 01- 03","6,800","6,990","7,100","6,730","261.47K","-2.72%"
"2024- 01- 02","6,990","6,810","7,100","6,810","407.20K","2.64%"
