"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,764","1,756","1,764","1,737","48.54K","0.80%"
"2024- 05- 07","1,750","1,765","1,778","1,741","74.36K","-0.79%"
"2024- 05- 03","1,764","1,766","1,779","1,741","78.15K","-0.17%"
"2024- 05- 02","1,767","1,765","1,777","1,750","78.46K","0.11%"
"2024- 04- 30","1,765","1,735","1,765","1,732","124.37K","2.08%"
"2024- 04- 29","1,729","1,681","1,731","1,681","110.92K","2.86%"
"2024- 04- 26","1,681","1,704","1,707","1,677","68.15K","-1.35%"
"2024- 04- 25","1,704","1,720","1,720","1,698","52.91K","-0.35%"
"2024- 04- 24","1,710","1,680","1,724","1,680","59.63K","1.85%"
"2024- 04- 23","1,679","1,675","1,697","1,673","84.17K","-0.06%"
"2024- 04- 22","1,680","1,693","1,720","1,680","80.98K","-1.06%"
"2024- 04- 19","1,698","1,748","1,748","1,665","114.84K","-1.74%"
"2024- 04- 18","1,728","1,697","1,729","1,697","48.64K","1.59%"
"2024- 04- 17","1,701","1,697","1,729","1,697","52.70K","0.24%"
"2024- 04- 16","1,697","1,721","1,724","1,693","87.16K","-1.39%"
"2024- 04- 15","1,721","1,760","1,760","1,693","176.28K","-2.33%"
"2024- 04- 12","1,762","1,766","1,770","1,747","121.05K","0.51%"
"2024- 04- 11","1,753","1,764","1,788","1,731","179.46K","-2.18%"
"2024- 04- 09","1,792","1,789","1,800","1,778","72.30K","0.17%"
"2024- 04- 08","1,789","1,786","1,815","1,777","116.44K","-0.83%"
"2024- 04- 05","1,804","1,811","1,828","1,795","117.59K","-1.04%"
"2024- 04- 04","1,823","1,862","1,862","1,814","95.55K","-1.35%"
"2024- 04- 03","1,848","1,845","1,852","1,808","105.38K","0.16%"
"2024- 04- 02","1,845","1,850","1,863","1,838","167.34K","-0.27%"
"2024- 04- 01","1,850","1,822","1,854","1,801","293.77K","3.18%"
"2024- 03- 29","1,793","1,803","1,809","1,787","68.78K","0.00%"
"2024- 03- 28","1,793","1,806","1,819","1,790","155.43K","-0.72%"
"2024- 03- 27","1,806","1,810","1,820","1,800","47.56K","-0.22%"
"2024- 03- 26","1,810","1,824","1,824","1,801","74.35K","-0.39%"
"2024- 03- 25","1,817","1,836","1,836","1,809","56.70K","-0.38%"
"2024- 03- 22","1,824","1,798","1,827","1,790","116.74K","1.45%"
"2024- 03- 21","1,798","1,769","1,802","1,766","101.39K","1.93%"
"2024- 03- 20","1,764","1,763","1,774","1,763","38.50K","-0.23%"
"2024- 03- 19","1,768","1,795","1,795","1,756","182.84K","-1.50%"
"2024- 03- 18","1,795","1,805","1,810","1,794","90.34K","-0.33%"
"2024- 03- 15","1,801","1,805","1,810","1,787","11.12K","-0.44%"
"2024- 03- 14","1,809","1,815","1,845","1,796","81.88K","-0.28%"
"2024- 03- 13","1,814","1,810","1,814","1,784","127.91K","1.57%"
"2024- 03- 12","1,786","1,768","1,788","1,768","93.59K","0.06%"
"2024- 03- 11","1,785","1,785","1,799","1,782","62.51K","0.00%"
"2024- 03- 08","1,785","1,819","1,823","1,781","127.83K","-1.60%"
"2024- 03- 07","1,814","1,803","1,819","1,796","95.82K","0.11%"
"2024- 03- 06","1,812","1,790","1,818","1,790","120.92K","0.11%"
"2024- 03- 05","1,810","1,836","1,846","1,799","220.17K","-1.42%"
"2024- 03- 04","1,836","1,833","1,855","1,830","104.80K","0.16%"
"2024- 02- 29","1,833","1,880","1,880","1,822","174.10K","-2.19%"
"2024- 02- 28","1,874","1,870","1,886","1,869","66.24K","0.27%"
"2024- 02- 27","1,869","1,877","1,889","1,864","133.40K","-1.11%"
"2024- 02- 26","1,890","1,885","1,900","1,866","137.17K","0.27%"
"2024- 02- 23","1,885","1,930","1,930","1,880","178.39K","-2.58%"
"2024- 02- 22","1,935","1,941","1,945","1,911","113.84K","-0.31%"
"2024- 02- 21","1,941","1,967","1,972","1,934","121.40K","-1.32%"
"2024- 02- 20","1,967","1,977","1,988","1,958","131.49K","-0.51%"
"2024- 02- 19","1,977","1,980","1,987","1,966","189.98K","0.00%"
"2024- 02- 18","1,977","1,977","1,977","1,977","","0.00%"
"2024- 02- 16","1,977","1,984","2,000","1,954","171.23K","-0.20%"
"2024- 02- 15","1,981","1,975","1,996","1,949","202.35K","0.41%"
"2024- 02- 14","1,973","1,951","1,973","1,934","185.89K","1.13%"
"2024- 02- 13","1,951","1,953","1,980","1,932","275.06K","0.05%"
"2024- 02- 08","1,950","1,911","1,954","1,900","296.20K","2.25%"
"2024- 02- 07","1,907","1,910","1,920","1,897","116.09K","-0.42%"
"2024- 02- 06","1,915","1,894","1,915","1,877","257.38K","2.08%"
"2024- 02- 05","1,876","1,894","1,999","1,866","515.21K","-1.26%"
"2024- 02- 02","1,900","1,915","1,926","1,898","163.16K","-0.52%"
"2024- 02- 01","1,910","1,880","1,938","1,859","592.54K","2.52%"
"2024- 01- 31","1,863","1,880","1,916","1,862","0.05K","-1.11%"
"2024- 01- 30","1,884","1,852","1,900","1,845","190.73K","1.78%"
"2024- 01- 29","1,851","1,895","1,920","1,851","308.97K","-2.27%"
"2024- 01- 26","1,894","1,849","1,927","1,845","137.91K","2.43%"
"2024- 01- 25","1,849","1,893","1,895","1,830","199.26K","-2.32%"
"2024- 01- 24","1,893","1,919","1,924","1,877","146.47K","-1.30%"
"2024- 01- 23","1,918","1,908","1,935","1,870","179.46K","0.00%"
"2024- 01- 22","1,918","1,894","1,960","1,894","239.47K","1.54%"
"2024- 01- 19","1,889","1,874","1,930","1,805","201.90K","0.80%"
"2024- 01- 18","1,874","1,845","1,885","1,844","93.97K","0.97%"
"2024- 01- 17","1,856","1,883","1,902","1,854","159.92K","-2.16%"
"2024- 01- 16","1,897","1,919","1,950","1,886","168.58K","-1.04%"
"2024- 01- 15","1,917","1,878","1,942","1,870","209.29K","1.21%"
"2024- 01- 14","1,894","1,894","1,894","1,894","","0.00%"
"2024- 01- 12","1,894","1,950","1,964","1,875","347.36K","-2.52%"
"2024- 01- 11","1,943","1,930","2,050","1,925","1.24M","0.94%"
"2024- 01- 10","1,925","1,893","1,930","1,868","3.33K","1.69%"
"2024- 01- 09","1,893","1,870","1,905","1,870","131.81K","0.69%"
"2024- 01- 08","1,880","1,857","1,895","1,857","136.73K","1.29%"
"2024- 01- 05","1,856","1,817","1,858","1,817","83.74K","1.87%"
"2024- 01- 04","1,822","1,849","1,849","1,811","70.89K","-1.73%"
"2024- 01- 03","1,854","1,822","1,873","1,822","117.60K","0.65%"
"2024- 01- 02","1,842","1,815","1,845","1,806","109.00K","1.49%"
