"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","63,700","64,000","64,300","63,500","85.34K","-0.47%"
"2024- 04- 29","64,000","63,100","64,100","62,900","121.53K","1.43%"
"2024- 04- 26","63,100","63,200","63,300","62,500","60.22K","0.16%"
"2024- 04- 25","63,000","62,500","64,100","62,200","90.67K","0.00%"
"2024- 04- 24","63,000","63,300","63,300","62,300","76.71K","0.00%"
"2024- 04- 23","63,000","62,000","63,200","61,800","142.85K","2.44%"
"2024- 04- 22","61,500","61,100","62,000","61,000","96.32K","1.65%"
"2024- 04- 19","60,500","61,000","61,200","59,900","124.21K","-1.14%"
"2024- 04- 18","61,200","62,000","62,000","60,900","115.32K","-0.81%"
"2024- 04- 17","61,700","60,500","62,400","60,200","221.42K","2.49%"
"2024- 04- 16","60,200","60,100","60,400","59,500","175.83K","-0.50%"
"2024- 04- 15","60,500","60,600","61,200","60,400","198.02K","-0.66%"
"2024- 04- 12","60,900","63,200","63,000","60,900","306.28K","-4.84%"
"2024- 04- 11","64,000","62,700","64,000","62,100","176.79K","1.11%"
"2024- 04- 09","63,300","63,700","64,300","63,200","126.90K","-0.31%"
"2024- 04- 08","63,500","65,100","65,100","63,400","271.33K","-2.91%"
"2024- 04- 05","65,400","66,800","66,800","65,000","229.17K","-2.10%"
"2024- 04- 04","66,800","67,400","67,600","66,800","142.75K","-0.60%"
"2024- 04- 03","67,200","67,600","68,100","67,100","148.15K","-1.03%"
"2024- 04- 02","67,900","67,800","68,200","67,400","151.92K","-1.74%"
"2024- 04- 01","69,100","67,700","69,200","67,600","201.62K","2.07%"
"2024- 03- 29","67,700","68,300","68,800","67,700","166.73K","-0.88%"
"2024- 03- 28","68,300","68,600","68,900","68,300","132.80K","-0.15%"
"2024- 03- 27","68,400","68,500","68,900","68,400","116.13K","-0.44%"
"2024- 03- 26","68,700","68,600","68,900","68,300","141.72K","0.00%"
"2024- 03- 25","68,700","69,500","69,500","68,500","159.67K","-1.01%"
"2024- 03- 22","69,400","69,200","70,200","69,000","117.37K","0.00%"
"2024- 03- 21","69,400","69,300","69,800","69,100","111.28K","0.73%"
"2024- 03- 20","68,900","69,600","69,800","68,700","104.35K","-0.43%"
"2024- 03- 19","69,200","69,300","69,800","69,100","82.30K","-0.14%"
