"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,870","4,920","4,920","4,850","9.03K","-0.81%"
"2024- 05- 07","4,910","4,900","4,945","4,900","5.13K","0.20%"
"2024- 05- 03","4,900","4,895","4,900","4,885","2.85K","0.10%"
"2024- 05- 02","4,895","4,890","4,905","4,870","7.06K","0.10%"
"2024- 04- 30","4,890","4,885","4,895","4,870","1.59K","0.41%"
"2024- 04- 29","4,870","4,845","4,870","4,835","4.83K","0.52%"
"2024- 04- 26","4,845","4,835","4,850","4,835","1.72K","0.10%"
"2024- 04- 25","4,840","4,865","4,865","4,840","2.80K","-0.51%"
"2024- 04- 24","4,865","4,870","4,875","4,860","3.45K","-0.10%"
"2024- 04- 23","4,870","4,880","4,885","4,855","2.69K","-0.20%"
"2024- 04- 22","4,880","4,860","4,920","4,855","5.00K","-0.51%"
"2024- 04- 19","4,905","4,905","4,985","4,885","8.71K","0.00%"
"2024- 04- 18","4,905","4,885","4,910","4,875","2.32K","0.20%"
"2024- 04- 17","4,895","4,920","4,925","4,835","8.57K","-0.61%"
"2024- 04- 16","4,925","4,915","4,940","4,910","3.86K","-0.61%"
"2024- 04- 15","4,955","5,040","5,040","4,950","5.36K","-1.88%"
"2024- 04- 12","5,050","5,060","5,060","5,000","3.75K","-0.20%"
"2024- 04- 11","5,060","5,100","5,100","5,000","5.85K","-0.78%"
"2024- 04- 09","5,100","5,110","5,110","5,020","6.08K","-0.20%"
"2024- 04- 08","5,110","5,220","5,220","5,060","12.15K","-2.11%"
"2024- 04- 05","5,220","5,240","5,270","5,200","5.09K","-0.95%"
"2024- 04- 04","5,270","5,230","5,270","5,220","3.46K","0.00%"
"2024- 04- 03","5,270","5,240","5,270","5,150","6.90K","0.00%"
"2024- 04- 02","5,270","5,210","5,290","5,120","10.24K","0.96%"
"2024- 04- 01","5,220","5,160","5,220","5,120","7.38K","1.95%"
"2024- 03- 29","5,120","5,250","5,320","5,110","17.99K","-0.39%"
"2024- 03- 28","5,140","5,140","5,150","5,120","1.97K","0.00%"
"2024- 03- 27","5,140","5,150","5,170","5,100","3.79K","-0.19%"
"2024- 03- 26","5,150","5,110","5,160","5,080","3.86K","0.00%"
"2024- 03- 25","5,150","5,100","5,150","5,040","10.63K","0.78%"
"2024- 03- 22","5,110","4,935","5,120","4,935","9.66K","3.55%"
"2024- 03- 21","4,935","4,950","4,955","4,925","4.45K","-0.10%"
"2024- 03- 20","4,940","4,950","4,950","4,915","4.40K","-0.20%"
"2024- 03- 19","4,950","4,940","4,950","4,940","0.63K","0.00%"
"2024- 03- 18","4,950","5,020","5,110","4,950","2.30K","-0.90%"
"2024- 03- 15","4,995","5,020","5,190","4,925","0.33K","1.42%"
"2024- 03- 14","4,925","4,885","4,960","4,850","8.75K","0.82%"
"2024- 03- 13","4,885","4,920","4,920","4,860","5.95K","-0.81%"
"2024- 03- 12","4,925","4,965","4,965","4,900","3.02K","-0.81%"
"2024- 03- 11","4,965","5,050","5,050","4,950","0.01K","-1.68%"
"2024- 03- 08","5,050","5,000","5,100","4,950","5.99K","1.00%"
"2024- 03- 07","5,000","5,020","5,110","5,000","5.85K","-2.15%"
"2024- 03- 06","5,110","5,070","5,120","5,020","2.38K","0.79%"
"2024- 03- 05","5,070","5,180","5,190","5,050","4.08K","-2.12%"
"2024- 03- 04","5,180","5,210","5,250","5,180","8.05K","-1.15%"
"2024- 02- 29","5,240","5,210","5,250","5,170","5.60K","0.00%"
"2024- 02- 28","5,240","5,230","5,240","5,170","5.19K","0.00%"
"2024- 02- 27","5,240","5,230","5,290","5,220","2.45K","0.19%"
"2024- 02- 26","5,230","5,180","5,250","5,140","4.28K","0.97%"
"2024- 02- 23","5,180","5,280","5,290","5,180","2.18K","-2.08%"
"2024- 02- 22","5,290","5,290","5,310","5,260","1.69K","-0.38%"
"2024- 02- 21","5,310","5,250","5,320","5,250","2.74K","0.57%"
"2024- 02- 20","5,280","5,300","5,350","5,250","7.96K","-0.38%"
"2024- 02- 19","5,300","5,300","5,330","5,240","4.96K","-0.19%"
"2024- 02- 16","5,310","5,270","5,310","5,240","4.34K","0.76%"
"2024- 02- 15","5,270","5,230","5,320","5,230","4.38K","0.76%"
"2024- 02- 14","5,230","5,100","5,250","5,100","6.44K","2.55%"
"2024- 02- 13","5,100","5,120","5,180","5,050","0.02K","-0.39%"
"2024- 02- 08","5,120","5,080","5,160","5,080","9.12K","0.79%"
"2024- 02- 07","5,080","5,300","5,320","5,050","0.09K","-4.51%"
"2024- 02- 06","5,320","5,350","5,360","5,280","2.13K","-0.56%"
"2024- 02- 05","5,350","5,240","5,400","5,210","0.00K","0.94%"
"2024- 02- 02","5,300","5,220","5,350","5,150","8.20K","0.95%"
"2024- 02- 01","5,250","5,260","5,300","5,230","4.99K","-0.94%"
"2024- 01- 31","5,300","5,310","5,360","5,220","7.56K","-0.19%"
"2024- 01- 30","5,310","5,310","5,330","5,260","4.56K","0.19%"
