"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","5,410.00","5,780.00","5,780.00","5,390.00","279.50K","0.37%"
"2024- 05- 03","5,390.00","4,930.00","5,940.00","4,920.00","343.90K","9.44%"
"2024- 05- 02","4,925.00","4,925.00","4,925.00","4,800.00","60.67K","0.00%"
"2024- 04- 30","4,925.00","4,830.00","5,010.00","4,640.00","188.67K","2.60%"
"2024- 04- 29","4,800.00","4,600.00","5,050.00","4,575.00","615.11K","-80.41%"
"2024- 04- 12","24,500.00","23,250.00","24,600.00","23,200.00","84.04K","5.60%"
"2024- 04- 11","23,200.00","22,500.00","23,250.00","22,450.00","38.32K","3.34%"
"2024- 04- 09","22,450.00","21,900.00","22,800.00","21,500.00","27.04K","3.94%"
"2024- 04- 08","21,600.00","20,950.00","22,050.00","20,500.00","34.12K","2.86%"
"2024- 04- 05","21,000.00","20,650.00","21,400.00","20,300.00","25.39K","1.69%"
"2024- 04- 04","20,650.00","20,900.00","21,000.00","20,400.00","22.93K","-0.96%"
"2024- 04- 03","20,850.00","20,900.00","20,900.00","20,150.00","11.24K","0.24%"
"2024- 04- 02","20,800.00","20,800.00","21,050.00","20,400.00","27.20K","0.24%"
"2024- 04- 01","20,750.00","21,350.00","21,800.00","20,600.00","75.95K","-2.58%"
"2024- 03- 29","21,300.00","20,350.00","22,450.00","20,000.00","57.25K","4.41%"
"2024- 03- 28","20,400.00","20,350.00","20,600.00","19,520.00","54.47K","-0.49%"
"2024- 03- 27","20,500.00","21,300.00","21,300.00","20,100.00","28.79K","-3.76%"
"2024- 03- 26","21,300.00","21,900.00","21,950.00","20,300.00","180.45K","-3.84%"
"2024- 03- 25","22,150.00","21,800.00","23,000.00","21,750.00","30.43K","0.68%"
"2024- 03- 22","22,000.00","21,450.00","22,400.00","21,450.00","11.94K","-0.23%"
"2024- 03- 21","22,050.00","21,450.00","23,000.00","21,450.00","26.20K","1.85%"
"2024- 03- 20","21,650.00","21,450.00","22,500.00","21,450.00","7.79K","-0.69%"
"2024- 03- 19","21,800.00","22,300.00","22,300.00","21,250.00","15.46K","-2.02%"
"2024- 03- 18","22,250.00","24,000.00","24,000.00","21,650.00","30.76K","-1.33%"
"2024- 03- 15","22,550.00","22,850.00","23,250.00","22,000.00","9.36K","-1.31%"
"2024- 03- 14","22,850.00","23,600.00","24,150.00","22,700.00","47.41K","-2.56%"
"2024- 03- 13","23,450.00","23,300.00","23,900.00","22,800.00","33.09K","0.86%"
"2024- 03- 12","23,250.00","23,100.00","24,300.00","22,950.00","52.42K","0.65%"
"2024- 03- 11","23,100.00","23,000.00","23,500.00","22,100.00","57.43K","0.43%"
"2024- 03- 08","23,000.00","21,400.00","23,250.00","20,750.00","58.12K","7.23%"
"2024- 03- 07","21,450.00","19,940.00","21,600.00","19,940.00","56.61K","6.45%"
"2024- 03- 06","20,150.00","19,350.00","21,250.00","19,350.00","76.67K","3.07%"
"2024- 03- 05","19,550.00","18,950.00","19,840.00","18,950.00","27.05K","3.17%"
"2024- 03- 04","18,950.00","19,700.00","19,720.00","18,800.00","25.25K","-2.27%"
"2024- 02- 29","19,390.00","18,500.00","19,750.00","18,300.00","33.64K","4.81%"
"2024- 02- 28","18,500.00","19,060.00","19,240.00","18,000.00","25.53K","-2.94%"
"2024- 02- 27","19,060.00","19,650.00","19,760.00","18,870.00","28.82K","-3.00%"
"2024- 02- 26","19,650.00","19,960.00","20,150.00","19,550.00","23.94K","-1.06%"
"2024- 02- 23","19,860.00","19,990.00","20,350.00","19,400.00","61.11K","0.51%"
"2024- 02- 22","19,760.00","20,150.00","20,950.00","19,620.00","44.04K","-1.94%"
"2024- 02- 21","20,150.00","19,750.00","21,200.00","19,660.00","62.83K","2.18%"
"2024- 02- 20","19,720.00","19,980.00","20,300.00","19,710.00","24.38K","-1.30%"
"2024- 02- 19","19,980.00","20,000.00","20,150.00","19,530.00","31.44K","2.30%"
"2024- 02- 16","19,530.00","21,000.00","22,000.00","18,950.00","145.96K","1.72%"
"2024- 02- 15","19,200.00","19,070.00","19,500.00","18,720.00","30.54K","1.75%"
"2024- 02- 14","18,870.00","18,940.00","19,670.00","18,710.00","31.10K","-0.37%"
"2024- 02- 13","18,940.00","18,780.00","19,900.00","18,650.00","47.91K","0.85%"
"2024- 02- 08","18,780.00","18,980.00","19,200.00","18,590.00","27.15K","-0.11%"
"2024- 02- 07","18,800.00","18,800.00","19,000.00","18,590.00","16.40K","0.00%"
"2024- 02- 06","18,800.00","17,660.00","18,960.00","17,660.00","48.29K","3.92%"
"2024- 02- 05","18,090.00","18,320.00","18,450.00","17,750.00","21.21K","-2.06%"
"2024- 02- 02","18,470.00","19,300.00","19,300.00","18,160.00","18.37K","-1.07%"
"2024- 02- 01","18,670.00","18,220.00","18,880.00","18,220.00","52.76K","2.53%"
"2024- 01- 31","18,210.00","18,850.00","18,850.00","18,060.00","18.72K","-0.27%"
"2024- 01- 30","18,260.00","18,630.00","18,630.00","18,000.00","21.27K","-0.22%"
"2024- 01- 29","18,300.00","18,720.00","18,890.00","18,230.00","9.29K","-0.60%"
"2024- 01- 26","18,410.00","18,640.00","19,360.00","18,340.00","33.04K","-1.23%"
"2024- 01- 25","18,640.00","18,480.00","18,660.00","18,260.00","19.27K","0.87%"
