"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 05","24,900","27,500","28,750","23,300","1.30M","-15.74%"
"2024- 04- 04","29,550","28,200","29,650","27,850","118.46K","5.35%"
"2024- 04- 03","28,050","28,500","28,750","27,900","87.67K","-2.94%"
"2024- 04- 02","28,900","29,250","29,500","28,150","132.43K","-1.70%"
"2024- 04- 01","29,400","29,800","29,800","28,550","168.23K","-0.84%"
"2024- 03- 29","29,650","28,900","30,350","28,250","174.09K","2.07%"
"2024- 03- 28","29,050","29,350","29,600","28,400","235.05K","-1.86%"
"2024- 03- 27","29,600","30,100","30,250","28,800","185.50K","-2.63%"
"2024- 03- 26","30,400","30,950","31,150","30,000","108.84K","-1.94%"
"2024- 03- 25","31,000","30,650","31,300","30,050","209.90K","0.98%"
"2024- 03- 22","30,700","30,600","31,950","27,600","747.06K","-7.67%"
"2024- 03- 21","33,250","33,150","33,900","32,450","129.25K","0.30%"
"2024- 03- 20","33,150","34,000","34,200","32,550","105.03K","-2.50%"
"2024- 03- 19","34,000","32,500","34,550","32,500","219.92K","3.66%"
"2024- 03- 18","32,800","32,200","33,400","31,200","172.17K","2.98%"
"2024- 03- 15","31,850","32,200","33,350","31,800","4.61K","-4.50%"
"2024- 03- 14","33,350","32,300","33,750","32,200","234.99K","2.46%"
"2024- 03- 13","32,550","30,200","32,700","30,100","443.57K","12.05%"
"2024- 03- 12","29,050","28,300","29,500","28,100","72.03K","2.29%"
"2024- 03- 11","28,400","28,400","28,900","28,050","37.70K","0.18%"
"2024- 03- 08","28,350","29,350","29,350","28,000","89.34K","-2.41%"
"2024- 03- 07","29,050","29,850","30,350","28,850","69.20K","-3.33%"
"2024- 03- 06","30,050","29,550","30,150","29,100","159.55K","4.16%"
"2024- 03- 05","28,850","28,400","28,950","28,200","0.05K","1.58%"
"2024- 03- 04","28,400","28,900","28,900","28,050","0.00K","-0.70%"
"2024- 02- 29","28,600","28,450","28,800","28,350","23.96K","-0.17%"
"2024- 02- 28","28,650","28,750","28,950","28,300","49.49K","0.17%"
"2024- 02- 27","28,600","29,250","29,800","28,400","117.66K","-3.05%"
"2024- 02- 26","29,500","30,500","30,500","29,350","83.62K","-2.32%"
"2024- 02- 23","30,200","31,250","31,650","30,200","129.46K","-4.88%"
"2024- 02- 22","31,750","31,650","32,050","31,400","0.11K","0.95%"
"2024- 02- 21","31,450","32,300","32,350","31,250","76.08K","-2.63%"
"2024- 02- 20","32,300","31,950","32,450","31,500","121.05K","0.94%"
"2024- 02- 19","32,000","32,600","32,800","31,150","175.83K","-2.29%"
"2024- 02- 18","32,750","32,750","32,750","32,750","","0.00%"
"2024- 02- 16","32,750","32,050","33,500","31,750","157.16K","2.66%"
"2024- 02- 15","31,900","32,000","33,350","31,550","135.60K","-2.74%"
"2024- 02- 14","32,800","31,150","33,650","30,950","0.01K","3.47%"
"2024- 02- 13","31,700","31,900","32,000","30,750","148.52K","-0.78%"
"2024- 02- 08","31,950","30,700","32,300","30,400","238.11K","4.58%"
"2024- 02- 07","30,550","29,550","31,050","28,950","151.25K","3.74%"
"2024- 02- 06","29,450","29,100","29,750","28,800","92.12K","0.00%"
"2024- 02- 05","29,450","29,100","30,600","28,950","184.78K","1.38%"
"2024- 02- 02","29,050","29,200","29,850","28,600","109.76K","-0.51%"
"2024- 02- 01","29,200","29,600","29,950","28,750","179.22K","-0.68%"
"2024- 01- 31","29,400","27,500","30,200","27,200","337.19K","7.69%"
"2024- 01- 30","27,300","28,300","28,350","26,750","100.16K","-2.50%"
"2024- 01- 29","28,000","29,100","29,100","27,800","0.19K","-2.10%"
"2024- 01- 28","28,600","28,600","28,600","28,600","","0.00%"
"2024- 01- 26","28,600","28,250","28,950","27,800","29.45K","1.78%"
"2024- 01- 25","28,100","27,850","28,150","27,500","29.12K","1.44%"
"2024- 01- 24","27,700","27,850","28,150","27,450","37.11K","-1.07%"
"2024- 01- 23","28,000","27,750","28,250","27,350","43.33K","0.18%"
"2024- 01- 22","27,950","28,100","28,200","27,550","34.56K","0.54%"
"2024- 01- 19","27,800","28,200","28,350","27,350","82.44K","-0.89%"
"2024- 01- 18","28,050","28,150","28,700","27,850","42.53K","-1.06%"
"2024- 01- 17","28,350","28,750","28,800","28,250","38.09K","-1.39%"
"2024- 01- 16","28,750","28,750","29,200","28,350","23.45K","0.00%"
"2024- 01- 15","28,750","29,000","29,400","28,650","0.00K","-1.71%"
"2024- 01- 12","29,250","29,600","29,850","29,000","51.82K","-1.85%"
"2024- 01- 11","29,800","29,900","30,000","29,500","23.53K","-0.17%"
"2024- 01- 10","29,850","29,800","30,200","29,500","0.01K","-0.33%"
"2024- 01- 09","29,950","29,900","30,050","29,450","50.38K","1.01%"
"2024- 01- 08","29,650","29,500","29,950","29,100","40.41K","0.68%"
"2024- 01- 05","29,450","29,900","30,200","29,450","68.72K","-2.00%"
"2024- 01- 04","30,050","31,100","31,100","29,800","123.09K","-3.69%"
"2024- 01- 03","31,200","31,700","32,100","30,900","57.64K","-2.19%"
"2024- 01- 02","31,900","31,500","32,350","31,300","36.64K","0.95%"
