"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","21,600","21,300","21,700","21,300","4.02K","0.47%"
"2024- 05- 07","21,500","21,500","21,500","21,250","2.38K","0.94%"
"2024- 05- 03","21,300","21,550","21,550","21,000","9.00K","-0.70%"
"2024- 05- 02","21,450","21,300","21,600","21,100","8.71K","1.66%"
"2024- 04- 30","21,100","21,100","21,450","21,000","10.61K","-0.94%"
"2024- 04- 29","21,300","21,400","21,400","20,950","6.94K","0.00%"
"2024- 04- 26","21,300","21,400","21,650","21,000","9.45K","-0.70%"
"2024- 04- 25","21,450","21,400","21,650","21,250","4.79K","0.23%"
"2024- 04- 24","21,400","21,500","21,550","21,400","4.76K","-0.47%"
"2024- 04- 23","21,500","21,550","21,600","21,350","5.03K","-0.23%"
"2024- 04- 22","21,550","21,800","21,800","21,300","7.02K","-1.15%"
"2024- 04- 19","21,800","21,950","21,950","21,550","3.62K","-0.68%"
"2024- 04- 18","21,950","21,850","21,950","21,650","13.26K","0.69%"
"2024- 04- 17","21,800","21,500","21,850","21,350","4.67K","1.63%"
"2024- 04- 16","21,450","21,800","21,800","21,150","10.62K","-1.83%"
"2024- 04- 15","21,850","22,050","22,100","21,650","3.26K","-0.91%"
"2024- 04- 12","22,050","22,050","22,100","21,900","3.17K","0.23%"
"2024- 04- 11","22,000","21,800","22,100","21,650","4.46K","0.92%"
"2024- 04- 09","21,800","22,100","22,100","21,750","7.06K","0.00%"
"2024- 04- 08","21,800","22,200","22,200","21,750","11.22K","-1.80%"
"2024- 04- 05","22,200","22,000","22,250","21,950","3.90K","-0.22%"
"2024- 04- 04","22,250","22,200","22,250","22,000","2.62K","0.23%"
"2024- 04- 03","22,200","22,150","22,250","21,850","10.34K","-0.22%"
"2024- 04- 02","22,250","22,300","22,400","22,150","5.63K","-0.67%"
"2024- 04- 01","22,400","22,400","22,700","22,100","12.83K","0.00%"
"2024- 03- 29","22,400","22,500","22,500","22,200","12.76K","-0.88%"
"2024- 03- 28","22,600","22,500","22,700","22,300","3.12K","0.44%"
"2024- 03- 27","22,500","22,300","22,550","22,150","4.83K","0.45%"
"2024- 03- 26","22,400","22,300","22,450","22,000","5.84K","0.45%"
"2024- 03- 25","22,300","22,700","22,700","22,250","5.02K","-0.89%"
"2024- 03- 22","22,500","22,450","22,600","22,200","7.73K","0.22%"
"2024- 03- 21","22,450","22,400","22,700","22,100","10.59K","0.67%"
"2024- 03- 20","22,300","22,100","22,350","22,050","5.25K","0.00%"
"2024- 03- 19","22,300","22,300","22,300","21,900","3.99K","0.00%"
"2024- 03- 18","22,300","22,350","22,400","22,000","5.37K","0.45%"
"2024- 03- 15","22,200","22,350","22,700","22,100","0.25K","-0.45%"
"2024- 03- 14","22,300","22,300","22,500","22,200","5.57K","-0.89%"
"2024- 03- 13","22,500","22,150","22,650","22,150","5.45K","0.45%"
"2024- 03- 12","22,400","22,600","22,600","22,300","1.97K","-0.44%"
"2024- 03- 11","22,500","22,450","22,600","22,100","22.07K","0.67%"
"2024- 03- 08","22,350","22,100","22,500","21,900","16.27K","0.90%"
"2024- 03- 07","22,150","22,200","22,200","21,850","2.32K","-0.23%"
"2024- 03- 06","22,200","22,200","22,200","21,900","1.84K","-0.22%"
"2024- 03- 05","22,250","22,250","22,250","21,900","5.78K","0.00%"
"2024- 03- 04","22,250","22,200","22,250","22,050","3.09K","0.00%"
"2024- 02- 29","22,250","22,200","22,250","21,900","3.29K","0.23%"
"2024- 02- 28","22,200","22,000","22,200","21,800","6.46K","0.91%"
"2024- 02- 27","22,000","22,500","22,700","21,600","14.96K","-0.68%"
"2024- 02- 26","22,150","22,050","22,150","21,650","9.11K","0.00%"
"2024- 02- 23","22,150","22,300","22,300","21,850","3.79K","-0.67%"
"2024- 02- 22","22,300","22,150","22,400","21,900","6.82K","0.45%"
"2024- 02- 21","22,200","22,400","22,400","22,100","5.29K","0.00%"
"2024- 02- 20","22,200","22,400","22,500","22,100","12.65K","-0.89%"
"2024- 02- 19","22,400","22,200","22,500","22,200","6.93K","0.67%"
