"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","9,830","9,700","9,960","9,650","72.70K","0.92%"
"2024- 05- 07","9,740","9,690","9,930","9,630","90.11K","1.14%"
"2024- 05- 03","9,630","9,720","9,850","9,610","74.34K","-1.53%"
"2024- 05- 02","9,780","9,720","9,890","9,610","104.88K","-1.21%"
"2024- 04- 30","9,900","9,940","11,300","9,840","3.11M","4.21%"
"2024- 04- 29","9,500","9,490","9,500","9,300","41.58K","4.05%"
"2024- 04- 26","9,130","9,270","9,360","9,100","18.93K","-0.98%"
"2024- 04- 25","9,220","9,220","9,280","9,190","18.38K","-1.18%"
"2024- 04- 24","9,330","9,250","9,690","9,200","51.40K","2.41%"
"2024- 04- 23","9,110","9,200","9,230","9,080","24.33K","-0.65%"
"2024- 04- 22","9,170","9,030","9,170","9,030","20.62K","0.77%"
"2024- 04- 19","9,100","9,250","9,320","9,010","25.58K","-1.94%"
"2024- 04- 18","9,280","9,310","9,450","9,270","19.92K","0.11%"
"2024- 04- 17","9,270","9,250","9,450","9,250","23.02K","-0.11%"
"2024- 04- 16","9,280","9,760","10,500","9,230","265.80K","-0.43%"
"2024- 04- 15","9,320","9,470","9,480","9,220","32.50K","-2.71%"
"2024- 04- 12","9,580","9,570","9,700","9,520","10.80K","0.10%"
"2024- 04- 11","9,570","9,540","9,700","9,500","13.37K","-0.93%"
"2024- 04- 09","9,660","9,780","9,840","9,600","18.79K","-0.92%"
"2024- 04- 08","9,750","9,930","10,480","9,630","79.43K","1.46%"
"2024- 04- 05","9,610","9,600","9,660","9,530","18.09K","0.10%"
"2024- 04- 04","9,600","9,580","9,770","9,580","19.10K","-0.41%"
"2024- 04- 03","9,640","9,890","9,900","9,630","55.41K","-2.63%"
"2024- 04- 02","9,900","9,960","10,010","9,900","27.22K","-1.10%"
"2024- 04- 01","10,010","9,990","10,080","9,980","17.38K","0.20%"
"2024- 03- 29","9,990","10,070","10,200","9,980","23.28K","-1.09%"
"2024- 03- 28","10,100","10,070","10,280","10,070","14.96K","-0.20%"
"2024- 03- 27","10,120","10,150","10,290","10,050","17.99K","0.00%"
"2024- 03- 26","10,120","10,130","10,190","10,010","17.27K","0.00%"
"2024- 03- 25","10,120","10,230","10,240","10,080","20.86K","-1.08%"
"2024- 03- 22","10,230","10,200","10,280","10,060","30.20K","0.29%"
"2024- 03- 21","10,200","10,140","10,240","10,050","51.17K","0.29%"
"2024- 03- 20","10,170","10,180","11,190","10,030","169.86K","2.31%"
"2024- 03- 19","9,940","9,970","9,970","9,790","26.32K","0.20%"
"2024- 03- 18","9,920","9,720","10,070","9,710","28.24K","1.43%"
"2024- 03- 15","9,780","9,900","9,940","9,780","29.11K","-1.21%"
"2024- 03- 14","9,900","9,950","10,030","9,800","74.46K","-0.90%"
"2024- 03- 13","9,990","10,100","10,150","9,950","51.28K","-0.79%"
"2024- 03- 12","10,070","10,150","10,210","10,010","43.18K","-0.79%"
"2024- 03- 11","10,150","10,360","10,520","10,150","41.09K","-2.87%"
"2024- 03- 10","10,450","10,450","10,450","10,450","","0.00%"
"2024- 03- 08","10,450","10,310","10,830","10,260","36.89K","1.36%"
"2024- 03- 07","10,310","10,420","10,450","10,300","38.83K","-1.15%"
"2024- 03- 06","10,430","10,400","10,690","10,400","25.88K","-0.86%"
"2024- 03- 05","10,520","10,700","10,780","10,510","32.79K","-2.50%"
"2024- 03- 04","10,790","10,790","11,050","10,690","28.82K","0.47%"
"2024- 02- 29","10,740","10,930","10,930","10,680","38.06K","-1.47%"
"2024- 02- 28","10,900","10,910","11,080","10,900","28.54K","-0.64%"
"2024- 02- 27","10,970","11,310","11,380","10,960","67.87K","-4.11%"
"2024- 02- 26","11,440","11,420","11,550","11,300","34.68K","0.18%"
"2024- 02- 23","11,420","11,600","11,630","11,330","51.78K","-1.38%"
"2024- 02- 22","11,580","11,690","11,930","11,560","95.21K","-1.61%"
"2024- 02- 21","11,770","11,800","11,930","11,530","143.95K","0.94%"
"2024- 02- 20","11,660","11,400","12,530","11,200","829.70K","4.39%"
"2024- 02- 19","11,170","11,100","11,180","10,950","32.56K","1.18%"
"2024- 02- 18","11,040","11,040","11,040","11,040","","0.00%"
"2024- 02- 16","11,040","11,180","11,180","10,910","22.21K","0.00%"
"2024- 02- 15","11,040","11,080","11,140","10,920","29.45K","-0.27%"
"2024- 02- 14","11,070","10,900","11,120","10,820","37.60K","0.64%"
"2024- 02- 13","11,000","10,850","11,150","10,850","31.59K","0.73%"
"2024- 02- 08","10,920","10,790","10,960","10,730","24.09K","1.30%"
"2024- 02- 07","10,780","10,700","10,980","10,610","29.59K","0.09%"
"2024- 02- 06","10,770","10,850","10,980","10,660","25.04K","-0.74%"
"2024- 02- 05","10,850","11,250","11,250","10,720","40.39K","-2.95%"
"2024- 02- 02","11,180","11,030","11,390","10,970","24.61K","2.38%"
"2024- 02- 01","10,920","11,200","11,440","10,900","50.89K","-3.36%"
"2024- 01- 31","11,300","11,600","11,830","11,270","45.37K","-4.48%"
"2024- 01- 30","11,830","11,990","12,170","11,680","54.22K","-1.33%"
"2024- 01- 29","11,990","12,030","12,230","11,680","66.24K","-0.50%"
"2024- 01- 26","12,050","11,540","12,200","11,520","77.32K","4.33%"
"2024- 01- 25","11,550","11,800","11,890","11,400","53.99K","-1.87%"
"2024- 01- 24","11,770","11,980","12,000","11,600","44.00K","-2.57%"
"2024- 01- 23","12,080","12,060","12,160","11,790","41.10K","0.00%"
"2024- 01- 22","12,080","12,200","12,250","11,870","60.59K","1.34%"
"2024- 01- 19","11,920","11,600","12,160","11,600","97.79K","2.76%"
"2024- 01- 18","11,600","11,260","11,670","11,170","42.66K","2.56%"
"2024- 01- 17","11,310","11,930","11,950","11,310","65.76K","-5.20%"
"2024- 01- 16","11,930","11,880","12,120","11,730","48.31K","-0.50%"
"2024- 01- 15","11,990","11,980","12,280","11,750","65.39K","-0.17%"
"2024- 01- 12","12,010","12,280","12,280","11,940","82.32K","-2.20%"
"2024- 01- 11","12,280","12,100","13,120","12,000","298.80K","1.40%"
"2024- 01- 10","12,110","12,360","12,430","11,970","91.34K","-1.94%"
"2024- 01- 09","12,350","12,420","12,430","12,110","122.79K","1.15%"
"2024- 01- 08","12,210","12,210","12,430","11,970","223.87K","1.92%"
"2024- 01- 05","11,980","11,330","12,200","11,050","257.24K","4.72%"
"2024- 01- 04","11,440","11,620","11,620","11,230","41.00K","-1.55%"
"2024- 01- 03","11,620","11,470","11,640","11,410","34.80K","-0.43%"
"2024- 01- 02","11,670","11,540","11,780","11,410","55.19K","1.13%"
