"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","15,640","15,450","15,640","15,360","49.08K","1.30%"
"2024- 05- 07","15,440","15,440","15,590","15,300","43.06K","0.06%"
"2024- 05- 03","15,430","15,600","15,670","15,420","29.25K","-0.84%"
"2024- 05- 02","15,560","15,530","15,750","15,350","71.04K","0.19%"
"2024- 04- 30","15,530","15,430","15,560","15,330","64.12K","0.65%"
"2024- 04- 29","15,430","15,280","15,440","15,240","73.42K","0.98%"
"2024- 04- 26","15,280","15,200","15,350","15,100","68.90K","1.33%"
"2024- 04- 25","15,080","15,090","15,500","15,070","104.95K","1.41%"
"2024- 04- 24","14,870","14,900","15,090","14,720","47.84K","0.61%"
"2024- 04- 23","14,780","14,800","14,990","14,770","36.06K","-0.34%"
"2024- 04- 22","14,830","15,030","15,150","14,820","58.59K","-1.26%"
"2024- 04- 19","15,020","15,010","15,500","14,850","129.15K","1.42%"
"2024- 04- 18","14,810","14,480","14,840","14,380","53.74K","2.85%"
"2024- 04- 17","14,400","14,510","14,560","14,380","47.14K","-0.76%"
"2024- 04- 16","14,510","14,900","14,900","14,390","95.61K","-2.62%"
"2024- 04- 15","14,900","15,040","15,110","14,790","83.33K","-1.52%"
"2024- 04- 12","15,130","15,200","15,250","15,120","52.78K","-0.46%"
"2024- 04- 11","15,200","15,250","15,390","15,110","48.59K","-0.46%"
"2024- 04- 09","15,270","15,300","15,410","15,200","55.69K","-0.07%"
"2024- 04- 08","15,280","15,440","15,450","15,250","47.09K","-0.13%"
"2024- 04- 05","15,300","15,360","15,500","15,220","64.25K","-1.54%"
"2024- 04- 04","15,540","15,670","15,750","15,490","74.00K","-0.83%"
"2024- 04- 03","15,670","15,630","15,790","15,560","88.07K","0.45%"
"2024- 04- 02","15,600","15,850","15,880","15,480","154.08K","-1.83%"
"2024- 04- 01","15,890","15,760","15,930","15,650","82.26K","0.89%"
"2024- 03- 29","15,750","16,030","16,030","15,500","170.46K","-1.87%"
"2024- 03- 28","16,050","16,300","16,390","15,880","141.47K","-1.53%"
"2024- 03- 27","16,300","16,540","16,600","16,090","133.84K","-1.45%"
"2024- 03- 26","16,540","16,840","16,950","16,380","156.98K","-1.90%"
"2024- 03- 25","16,860","17,050","17,100","16,630","241.99K","-0.06%"
"2024- 03- 22","16,870","16,060","17,200","16,020","521.35K","5.31%"
"2024- 03- 21","16,020","16,020","16,120","15,920","82.63K","0.06%"
"2024- 03- 20","16,010","15,740","16,220","15,560","133.58K","1.78%"
"2024- 03- 19","15,730","15,860","15,870","15,630","65.83K","-0.88%"
"2024- 03- 18","15,870","15,880","16,010","15,800","60.43K","-0.13%"
"2024- 03- 17","15,890","15,890","15,890","15,890","","0.00%"
"2024- 03- 15","15,890","15,880","15,900","15,650","61.86K","0.06%"
"2024- 03- 14","15,880","15,830","16,040","15,710","86.08K","0.32%"
"2024- 03- 13","15,830","15,810","15,850","15,720","53.38K","0.19%"
"2024- 03- 12","15,800","15,600","16,080","15,530","132.68K","1.41%"
"2024- 03- 11","15,580","15,550","15,680","15,470","0.20K","0.19%"
"2024- 03- 10","15,550","15,550","15,550","15,550","","0.00%"
"2024- 03- 08","15,550","15,830","15,830","15,510","55.05K","0.19%"
"2024- 03- 07","15,520","15,950","15,950","15,510","121.86K","-2.70%"
"2024- 03- 06","15,950","16,200","16,200","15,880","97.75K","-0.37%"
"2024- 03- 05","16,010","15,620","16,300","15,600","198.78K","2.50%"
"2024- 03- 04","15,620","15,710","15,890","15,600","76.29K","-0.51%"
"2024- 02- 29","15,700","15,860","16,050","15,700","72.33K","-1.01%"
"2024- 02- 28","15,860","15,920","16,030","15,700","66.20K","0.32%"
"2024- 02- 27","15,810","16,030","16,030","15,710","62.54K","-0.69%"
"2024- 02- 26","15,920","15,950","16,100","15,830","72.53K","-0.19%"
"2024- 02- 25","15,950","15,950","15,950","15,950","","0.00%"
"2024- 02- 23","15,950","15,880","15,990","15,700","92.43K","0.44%"
"2024- 02- 22","15,880","16,080","16,080","15,850","78.37K","-0.94%"
"2024- 02- 21","16,030","16,070","16,220","16,000","79.68K","-0.25%"
"2024- 02- 20","16,070","16,300","16,320","16,030","80.03K","-1.41%"
"2024- 02- 19","16,300","16,240","16,520","16,180","63.80K","0.37%"
"2024- 02- 18","16,240","16,240","16,240","16,240","","0.00%"
"2024- 02- 16","16,240","16,320","16,560","16,200","72.10K","-0.49%"
"2024- 02- 15","16,320","16,590","16,650","16,310","0.01K","-1.57%"
"2024- 02- 14","16,580","16,260","16,920","16,110","0.00K","2.79%"
"2024- 02- 13","16,130","15,900","16,220","15,900","0.03K","1.57%"
"2024- 02- 12","15,880","15,880","15,880","15,880","","0.00%"
"2024- 02- 08","15,880","16,030","16,040","15,880","60.38K","-1.12%"
"2024- 02- 07","16,060","16,120","16,190","15,900","82.58K","0.19%"
"2024- 02- 06","16,030","15,980","16,080","15,780","101.22K","1.14%"
"2024- 02- 05","15,850","15,620","16,000","15,540","71.37K","1.28%"
"2024- 02- 04","15,650","15,650","15,650","15,650","","0.00%"
"2024- 02- 02","15,650","15,580","15,720","15,500","48.26K","0.45%"
"2024- 02- 01","15,580","15,390","15,590","15,140","0.03K","1.10%"
"2024- 01- 31","15,410","15,540","15,550","15,340","91.52K","-1.34%"
"2024- 01- 30","15,620","16,000","16,090","15,540","98.31K","-1.33%"
"2024- 01- 29","15,830","15,780","16,040","15,560","102.98K","0.13%"
"2024- 01- 26","15,810","15,650","15,850","15,400","78.29K","1.02%"
"2024- 01- 25","15,650","15,700","15,700","15,370","92.45K","-0.32%"
"2024- 01- 24","15,700","15,760","15,800","15,590","82.00K","-0.44%"
"2024- 01- 23","15,770","15,960","15,960","15,610","85.36K","-0.13%"
"2024- 01- 22","15,790","16,000","16,020","15,700","0.00K","-1.31%"
"2024- 01- 19","16,000","16,100","16,170","15,860","88.96K","-0.81%"
"2024- 01- 18","16,130","15,670","16,130","15,620","0.00K","2.94%"
"2024- 01- 17","15,670","15,910","15,920","15,510","0.20K","-1.76%"
"2024- 01- 16","15,950","16,180","16,210","15,870","153.49K","-1.42%"
"2024- 01- 15","16,180","16,420","16,420","16,080","111.56K","-1.40%"
"2024- 01- 14","16,410","16,410","16,410","16,410","","0.00%"
"2024- 01- 12","16,410","16,550","16,610","16,200","132.45K","-2.03%"
"2024- 01- 11","16,750","16,500","16,780","16,330","133.55K","1.70%"
"2024- 01- 10","16,470","17,000","17,000","16,360","0.01K","-3.40%"
"2024- 01- 09","17,050","17,000","17,170","16,870","0.00K","0.29%"
"2024- 01- 08","17,000","17,400","17,400","17,000","0.08K","-2.41%"
"2024- 01- 05","17,420","17,800","17,850","17,300","142.53K","-2.63%"
"2024- 01- 04","17,890","18,130","18,130","17,450","0.62K","-1.16%"
"2024- 01- 03","18,100","17,990","18,140","17,670","0.01K","0.72%"
"2024- 01- 02","17,970","18,160","18,570","17,710","322.15K","-1.05%"
