"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","8,950","8,890","8,950","8,760","13.81K","1.24%"
"2024- 05- 07","8,840","8,770","8,890","8,770","8.90K","0.57%"
"2024- 05- 03","8,790","8,800","8,900","8,700","14.05K","-0.11%"
"2024- 05- 02","8,800","8,730","8,860","8,690","13.53K","0.92%"
"2024- 04- 30","8,720","8,910","8,910","8,700","15.06K","-1.02%"
"2024- 04- 29","8,810","8,730","8,920","8,710","19.34K","1.26%"
"2024- 04- 26","8,700","8,670","8,790","8,650","6.75K","0.12%"
"2024- 04- 25","8,690","8,720","8,800","8,600","9.02K","-0.11%"
"2024- 04- 24","8,700","8,790","8,800","8,450","7.60K","0.12%"
"2024- 04- 23","8,690","8,780","8,780","8,630","5.23K","0.70%"
"2024- 04- 22","8,630","8,560","9,000","8,460","8.10K","0.23%"
"2024- 04- 19","8,610","8,440","9,050","8,440","19.51K","2.01%"
"2024- 04- 18","8,440","8,450","8,520","8,300","12.28K","0.96%"
"2024- 04- 17","8,360","8,350","8,550","8,270","11.20K","0.12%"
"2024- 04- 16","8,350","8,550","8,570","8,350","22.29K","-3.02%"
"2024- 04- 15","8,610","8,510","8,700","8,510","10.95K","-0.92%"
"2024- 04- 12","8,690","8,690","8,690","8,520","13.23K","1.40%"
"2024- 04- 11","8,570","8,640","8,810","8,560","25.41K","-2.72%"
"2024- 04- 09","8,810","8,970","8,970","8,770","15.81K","-0.56%"
"2024- 04- 08","8,860","9,090","9,090","8,860","26.47K","-1.77%"
"2024- 04- 05","9,020","8,990","9,090","8,460","21.52K","-0.77%"
"2024- 04- 04","9,090","9,050","9,170","9,010","15.95K","-0.87%"
"2024- 04- 03","9,170","9,180","9,190","8,710","26.31K","-0.11%"
"2024- 04- 02","9,180","9,250","9,260","9,130","14.01K","-0.76%"
"2024- 04- 01","9,250","9,180","9,350","9,160","11.90K","0.11%"
"2024- 03- 29","9,240","9,220","9,240","9,160","20.05K","0.22%"
"2024- 03- 28","9,220","9,290","9,350","9,170","19.87K","-1.28%"
"2024- 03- 27","9,340","9,440","9,470","9,260","16.90K","-1.06%"
"2024- 03- 26","9,440","9,680","9,680","9,360","22.02K","-1.05%"
"2024- 03- 25","9,540","9,530","9,650","9,390","27.02K","0.21%"
"2024- 03- 22","9,520","9,260","9,800","9,250","77.75K","2.92%"
"2024- 03- 21","9,250","9,280","9,380","9,220","9.27K","-0.11%"
"2024- 03- 20","9,260","9,140","9,620","9,090","52.52K","1.54%"
"2024- 03- 19","9,120","9,220","9,220","9,070","13.83K","-0.98%"
"2024- 03- 18","9,210","9,140","9,210","9,100","9.92K","0.55%"
"2024- 03- 15","9,160","9,170","9,200","9,060","15.53K","-0.22%"
"2024- 03- 14","9,180","9,280","9,280","9,090","14.24K","-0.33%"
"2024- 03- 13","9,210","9,280","9,390","9,130","27.00K","-0.75%"
"2024- 03- 12","9,280","9,220","9,400","9,200","22.36K","0.22%"
"2024- 03- 11","9,260","9,260","9,350","9,150","22.93K","0.00%"
"2024- 03- 08","9,260","9,270","9,270","9,170","16.01K","0.87%"
"2024- 03- 07","9,180","9,450","9,450","9,170","31.57K","-2.86%"
"2024- 03- 06","9,450","9,400","9,600","9,370","47.05K","0.53%"
"2024- 03- 05","9,400","9,260","9,900","9,230","51.16K","1.51%"
"2024- 03- 04","9,260","9,350","9,350","9,200","17.11K","0.00%"
"2024- 02- 29","9,260","9,380","9,380","9,200","12.47K","-0.64%"
"2024- 02- 28","9,320","9,340","9,380","9,260","14.64K","-0.21%"
"2024- 02- 27","9,340","9,500","9,500","9,320","13.53K","-1.58%"
"2024- 02- 26","9,490","9,500","9,620","9,380","20.28K","0.74%"
"2024- 02- 23","9,420","9,420","9,490","9,410","13.68K","0.11%"
"2024- 02- 22","9,410","9,430","9,520","9,350","16.02K","-0.21%"
"2024- 02- 21","9,430","9,500","9,600","9,430","24.56K","-1.67%"
"2024- 02- 20","9,590","9,580","9,670","9,500","12.61K","-0.10%"
"2024- 02- 19","9,600","9,540","9,970","9,450","28.29K","0.63%"
"2024- 02- 16","9,540","9,620","9,700","9,480","14.38K","0.42%"
"2024- 02- 15","9,500","9,540","9,650","9,480","14.70K","-0.52%"
"2024- 02- 14","9,550","9,540","9,820","9,420","30.83K","0.10%"
"2024- 02- 13","9,540","9,420","9,640","9,390","0.08K","1.27%"
"2024- 02- 08","9,420","9,600","9,700","9,420","17.61K","-1.57%"
"2024- 02- 07","9,570","9,700","9,700","9,530","14.10K","-0.83%"
"2024- 02- 06","9,650","9,660","9,880","9,570","21.91K","-0.10%"
"2024- 02- 05","9,660","9,470","10,360","9,290","89.45K","3.32%"
"2024- 02- 02","9,350","9,310","9,420","9,300","10.03K","0.97%"
"2024- 02- 01","9,260","9,300","9,360","9,110","21.59K","-0.43%"
"2024- 01- 31","9,300","9,400","9,460","9,300","19.06K","-2.00%"
"2024- 01- 30","9,490","9,550","9,550","9,370","0.00K","0.42%"
"2024- 01- 29","9,450","9,490","9,800","9,380","22.61K","-0.53%"
"2024- 01- 26","9,500","9,470","9,560","9,340","11.24K","0.32%"
"2024- 01- 25","9,470","9,620","9,620","9,390","16.29K","-0.84%"
"2024- 01- 24","9,550","9,790","9,790","9,500","18.41K","-1.14%"
"2024- 01- 23","9,660","9,810","9,810","9,550","21.37K","-0.31%"
"2024- 01- 22","9,690","9,710","9,800","9,400","26.32K","-0.21%"
"2024- 01- 19","9,710","9,730","9,830","9,710","21.87K","-0.21%"
"2024- 01- 18","9,730","9,700","10,070","9,670","23.56K","0.31%"
"2024- 01- 17","9,700","9,910","9,930","9,400","40.80K","-1.82%"
"2024- 01- 16","9,880","10,010","10,050","9,880","35.55K","-1.30%"
"2024- 01- 15","10,010","10,030","10,100","9,950","24.12K","-0.20%"
"2024- 01- 12","10,030","10,070","10,110","9,980","39.91K","-0.59%"
"2024- 01- 11","10,090","10,090","10,180","10,050","20.33K","0.10%"
"2024- 01- 10","10,080","10,260","10,260","10,070","37.48K","-1.27%"
"2024- 01- 09","10,210","10,090","10,250","10,070","22.10K","1.29%"
"2024- 01- 08","10,080","10,060","10,190","10,050","35.52K","-0.49%"
"2024- 01- 05","10,130","10,200","10,360","10,100","37.36K","-1.07%"
"2024- 01- 04","10,240","10,490","10,610","10,160","81.13K","-3.49%"
"2024- 01- 03","10,610","10,330","10,620","10,210","65.14K","1.63%"
