"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","13,940","13,950","13,970","13,880","12.83K","0.29%"
"2024- 05- 07","13,900","13,820","13,940","13,830","15.73K","0.87%"
"2024- 05- 03","13,780","13,790","13,900","13,770","10.08K","-0.07%"
"2024- 05- 02","13,790","13,860","13,970","13,760","19.68K","-0.51%"
"2024- 04- 30","13,860","13,800","13,960","13,780","23.19K","0.43%"
"2024- 04- 29","13,800","13,710","13,820","13,690","16.61K","0.66%"
"2024- 04- 26","13,710","13,800","13,800","13,640","15.97K","0.22%"
"2024- 04- 25","13,680","13,870","13,870","13,680","37.79K","-1.37%"
"2024- 04- 24","13,870","14,000","14,050","13,840","49.85K","-0.29%"
"2024- 04- 23","13,910","13,860","13,940","13,860","9.20K","0.36%"
"2024- 04- 22","13,860","13,800","14,000","13,800","17.83K","0.07%"
"2024- 04- 19","13,850","13,850","13,890","13,730","16.38K","0.00%"
"2024- 04- 18","13,850","13,800","14,020","13,800","19.20K","0.22%"
"2024- 04- 17","13,820","13,830","13,980","13,800","17.26K","-0.07%"
"2024- 04- 16","13,830","14,140","14,230","13,800","42.31K","-0.86%"
"2024- 04- 15","13,950","13,940","14,010","13,880","19.21K","-0.85%"
"2024- 04- 12","14,070","14,040","14,200","14,010","18.29K","-0.07%"
"2024- 04- 11","14,080","14,080","14,130","13,880","16.51K","-0.07%"
"2024- 04- 09","14,090","13,970","14,260","13,970","16.68K","0.14%"
"2024- 04- 08","14,070","14,020","14,070","14,010","18.32K","0.07%"
"2024- 04- 05","14,060","14,200","14,200","14,030","16.61K","-0.78%"
"2024- 04- 04","14,170","14,210","14,270","14,110","16.93K","-0.35%"
"2024- 04- 03","14,220","14,400","14,440","14,180","21.64K","-0.91%"
"2024- 04- 02","14,350","14,700","14,720","14,330","29.58K","-2.51%"
"2024- 04- 01","14,720","14,310","14,850","14,210","50.51K","2.72%"
"2024- 03- 29","14,330","14,420","14,420","14,220","32.57K","-0.28%"
"2024- 03- 28","14,370","14,580","14,660","14,350","24.39K","-1.37%"
"2024- 03- 27","14,570","14,900","14,900","14,530","22.62K","-1.22%"
"2024- 03- 26","14,750","14,940","14,940","14,610","41.23K","-1.27%"
"2024- 03- 25","14,940","14,710","14,970","14,540","84.72K","2.40%"
"2024- 03- 22","14,590","14,340","14,680","14,270","49.89K","2.10%"
"2024- 03- 21","14,290","14,280","14,330","14,200","18.60K","0.35%"
"2024- 03- 20","14,240","14,150","14,350","14,050","34.42K","1.28%"
"2024- 03- 19","14,060","13,970","14,190","13,970","23.71K","0.00%"
"2024- 03- 18","14,060","13,910","14,110","13,900","23.78K","1.08%"
"2024- 03- 15","13,910","14,250","14,300","13,910","48.29K","-2.39%"
"2024- 03- 14","14,250","14,350","14,400","14,140","0.05K","-0.77%"
"2024- 03- 13","14,360","14,300","14,430","14,210","14.36K","0.42%"
"2024- 03- 12","14,300","14,350","14,440","14,260","19.00K","-0.69%"
