"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,238","1,244","1,245","1,233","22.97K","0.08%"
"2024- 05- 07","1,237","1,243","1,246","1,230","72.74K","0.16%"
"2024- 05- 03","1,235","1,244","1,244","1,234","16.07K","-0.16%"
"2024- 05- 02","1,237","1,232","1,249","1,232","81.19K","-0.16%"
"2024- 04- 30","1,239","1,240","1,245","1,231","27.87K","0.81%"
"2024- 04- 29","1,229","1,232","1,249","1,228","20.60K","0.16%"
"2024- 04- 26","1,227","1,228","1,231","1,227","8.19K","-0.08%"
"2024- 04- 25","1,228","1,230","1,235","1,227","28.08K","0.08%"
"2024- 04- 24","1,227","1,230","1,242","1,220","24.43K","-0.24%"
"2024- 04- 23","1,230","1,270","1,271","1,230","36.29K","-3.15%"
"2024- 04- 22","1,270","1,291","1,291","1,245","39.92K","-1.78%"
"2024- 04- 19","1,293","1,288","1,293","1,269","17.10K","0.39%"
"2024- 04- 18","1,288","1,279","1,291","1,273","14.57K","0.63%"
"2024- 04- 17","1,280","1,263","1,293","1,262","16.05K","-1.16%"
"2024- 04- 16","1,295","1,300","1,300","1,280","28.58K","-0.38%"
"2024- 04- 15","1,300","1,300","1,305","1,278","23.68K","0.15%"
"2024- 04- 12","1,298","1,268","1,304","1,268","16.61K","2.37%"
"2024- 04- 11","1,268","1,289","1,289","1,265","20.50K","-1.93%"
"2024- 04- 09","1,293","1,305","1,310","1,293","35.51K","-0.08%"
"2024- 04- 08","1,294","1,300","1,309","1,289","13.52K","0.39%"
"2024- 04- 05","1,289","1,284","1,289","1,268","42.59K","0.39%"
"2024- 04- 04","1,284","1,276","1,301","1,269","24.07K","0.16%"
"2024- 04- 03","1,282","1,330","1,344","1,261","79.32K","0.31%"
"2024- 04- 02","1,278","1,283","1,283","1,255","67.65K","1.83%"
"2024- 04- 01","1,255","1,250","1,272","1,237","48.75K","0.88%"
"2024- 03- 29","1,244","1,250","1,260","1,230","15.28K","-0.48%"
"2024- 03- 28","1,250","1,265","1,283","1,250","19.79K","-0.87%"
"2024- 03- 27","1,261","1,260","1,261","1,253","15.27K","0.32%"
"2024- 03- 26","1,257","1,253","1,270","1,253","14.21K","-0.95%"
"2024- 03- 25","1,269","1,277","1,281","1,261","9.62K","-0.63%"
"2024- 03- 22","1,277","1,280","1,292","1,267","15.89K","0.79%"
"2024- 03- 21","1,267","1,350","1,350","1,262","118.24K","-1.78%"
"2024- 03- 20","1,290","1,276","1,298","1,242","62.10K","1.02%"
"2024- 03- 19","1,277","1,276","1,287","1,266","16.82K","-0.55%"
"2024- 03- 18","1,284","1,275","1,289","1,275","7.72K","0.00%"
"2024- 03- 15","1,284","1,275","1,286","1,265","1.52K","-0.16%"
"2024- 03- 14","1,286","1,286","1,286","1,235","15.27K","0.00%"
"2024- 03- 13","1,286","1,276","1,290","1,256","8.25K","0.78%"
"2024- 03- 12","1,276","1,275","1,290","1,265","20.70K","-0.39%"
"2024- 03- 11","1,281","1,255","1,283","1,255","27.85K","1.67%"
"2024- 03- 08","1,260","1,241","1,265","1,240","21.21K","1.12%"
"2024- 03- 07","1,246","1,220","1,250","1,220","0.00K","2.13%"
"2024- 03- 06","1,220","1,186","1,225","1,186","53.83K","2.95%"
"2024- 03- 05","1,185","1,175","1,242","1,175","45.06K","1.89%"
"2024- 03- 04","1,163","1,216","1,225","1,163","14.46K","-4.36%"
"2024- 03- 03","1,216","1,216","1,216","1,216","","0.00%"
"2024- 02- 29","1,216","1,189","1,216","1,185","14.84K","1.93%"
"2024- 02- 28","1,193","1,167","1,194","1,167","23.18K","-0.75%"
"2024- 02- 27","1,202","1,219","1,220","1,161","32.65K","-1.39%"
"2024- 02- 26","1,219","1,219","1,229","1,205","21.43K","0.00%"
"2024- 02- 23","1,219","1,220","1,231","1,213","4.05K","0.08%"
"2024- 02- 22","1,218","1,230","1,230","1,207","0.03K","-0.33%"
"2024- 02- 21","1,222","1,237","1,248","1,210","22.13K","-1.69%"
