"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","7,430","7,000","7,440","7,000","176.31K","-3.88%"
"2024- 05- 07","7,730","7,810","7,890","7,400","108.06K","0.65%"
"2024- 05- 03","7,680","7,750","7,740","7,600","60.92K","-0.13%"
"2024- 05- 02","7,690","7,510","7,690","7,470","88.90K","2.40%"
"2024- 04- 30","7,510","7,430","7,520","7,390","65.04K","1.21%"
"2024- 04- 29","7,420","7,380","7,490","7,320","66.65K","1.92%"
"2024- 04- 26","7,280","7,460","7,460","7,230","51.85K","-0.95%"
"2024- 04- 25","7,350","7,300","7,490","7,250","74.76K","-0.41%"
"2024- 04- 24","7,380","7,340","7,460","7,290","65.88K","1.51%"
"2024- 04- 23","7,270","7,190","7,390","7,190","55.84K","0.14%"
"2024- 04- 22","7,260","7,130","7,310","7,110","91.68K","3.13%"
"2024- 04- 19","7,040","7,060","7,080","6,900","98.86K","-1.54%"
"2024- 04- 18","7,150","6,980","7,200","6,980","65.52K","1.56%"
"2024- 04- 17","7,040","6,860","7,040","6,860","94.41K","1.73%"
"2024- 04- 16","6,920","7,040","7,080","6,840","160.71K","-2.54%"
"2024- 04- 15","7,100","7,300","7,350","7,080","181.76K","-3.53%"
"2024- 04- 12","7,360","7,440","7,590","7,340","121.00K","-1.21%"
"2024- 04- 11","7,450","7,790","7,800","7,430","192.27K","-4.12%"
"2024- 04- 09","7,770","7,940","7,990","7,770","126.84K","-2.14%"
"2024- 04- 08","7,940","8,020","8,020","7,770","150.05K","-1.12%"
"2024- 04- 05","8,030","8,010","8,110","7,960","101.21K","0.25%"
"2024- 04- 04","8,010","8,280","8,340","7,960","149.03K","-2.32%"
"2024- 04- 03","8,200","8,350","8,420","8,200","158.20K","-2.73%"
"2024- 04- 02","8,430","8,760","8,760","8,390","217.49K","-3.99%"
"2024- 04- 01","8,780","8,760","8,920","8,600","144.88K","0.92%"
"2024- 03- 29","8,700","8,980","9,040","8,700","249.70K","-3.76%"
"2024- 03- 28","9,040","9,290","9,300","9,030","138.58K","-2.48%"
"2024- 03- 27","9,270","9,080","9,360","8,950","262.86K","2.21%"
"2024- 03- 26","9,070","9,230","9,230","8,990","215.65K","-1.63%"
"2024- 03- 25","9,220","9,000","9,380","8,930","327.94K","1.21%"
"2024- 03- 22","9,110","9,070","9,440","8,890","397.24K","-0.65%"
"2024- 03- 21","9,170","9,360","9,510","8,950","333.91K","-2.03%"
"2024- 03- 20","9,360","9,240","9,600","9,160","740.09K","1.30%"
"2024- 03- 19","9,240","9,070","9,580","8,810","1.04M","0.65%"
"2024- 03- 18","9,180","8,790","9,760","8,570","2.28M","0.77%"
"2024- 03- 17","9,110","8,790","9,180","8,290","418.23K","9.89%"
"2024- 03- 15","8,290","8,530","8,530","8,170","200.45K","-3.72%"
"2024- 03- 14","8,610","8,160","8,870","8,160","0.08K","5.64%"
"2024- 03- 13","8,150","8,380","8,380","8,080","143.71K","-2.40%"
"2024- 03- 12","8,350","8,260","8,400","8,190","120.13K","0.36%"
"2024- 03- 11","8,320","8,230","8,420","8,210","167.07K","1.09%"
"2024- 03- 08","8,230","7,900","8,300","7,900","323.59K","5.92%"
"2024- 03- 07","7,770","7,900","8,030","7,750","156.95K","-1.77%"
"2024- 03- 06","7,910","7,860","8,100","7,800","143.52K","0.13%"
"2024- 03- 05","7,900","7,900","8,000","7,820","142.52K","-0.75%"
"2024- 03- 04","7,960","7,970","8,180","7,890","161.02K","0.13%"
"2024- 03- 03","7,950","7,950","7,950","7,950","","0.00%"
"2024- 02- 29","7,950","8,040","8,090","7,940","148.07K","-1.73%"
"2024- 02- 28","8,090","8,120","8,190","8,040","92.76K","-0.37%"
"2024- 02- 27","8,120","8,180","8,240","8,070","128.50K","-0.73%"
"2024- 02- 26","8,180","8,200","8,290","8,110","104.41K","-0.49%"
"2024- 02- 23","8,220","8,380","8,500","8,210","131.12K","-0.84%"
"2024- 02- 22","8,290","8,510","8,530","8,260","202.76K","-2.24%"
"2024- 02- 21","8,480","8,570","8,660","8,470","154.92K","-2.08%"
"2024- 02- 20","8,660","8,610","8,810","8,510","161.62K","0.46%"
"2024- 02- 19","8,620","8,500","8,740","8,500","110.54K","0.70%"
"2024- 02- 16","8,560","8,550","8,610","8,460","108.47K","0.23%"
"2024- 02- 15","8,540","8,740","8,750","8,540","0.01K","-0.70%"
"2024- 02- 14","8,600","8,650","8,800","8,500","151.22K","-1.38%"
"2024- 02- 13","8,720","8,750","8,820","8,670","0.00K","0.23%"
"2024- 02- 08","8,700","8,790","8,870","8,690","96.34K","-1.02%"
"2024- 02- 07","8,790","8,900","8,950","8,700","0.07K","-1.24%"
"2024- 02- 06","8,900","8,850","9,040","8,850","99.75K","-0.34%"
"2024- 02- 05","8,930","8,930","9,070","8,830","90.66K","-0.78%"
"2024- 02- 02","9,000","8,860","9,080","8,820","152.31K","2.51%"
"2024- 02- 01","8,780","8,700","8,910","8,520","201.45K","2.93%"
"2024- 01- 31","8,530","8,730","8,790","8,460","0.00K","-3.07%"
"2024- 01- 30","8,800","8,830","8,970","8,730","0.00K","-0.11%"
"2024- 01- 29","8,810","9,000","9,060","8,780","0.01K","-1.56%"
"2024- 01- 26","8,950","8,900","9,130","8,810","229.22K","2.17%"
"2024- 01- 25","8,760","8,830","8,830","8,710","0.01K","-1.24%"
"2024- 01- 24","8,870","9,070","9,080","8,800","156.95K","-1.11%"
"2024- 01- 23","8,970","9,050","9,150","8,870","134.28K","0.79%"
"2024- 01- 22","8,900","8,950","9,130","8,840","172.85K","0.34%"
"2024- 01- 21","8,870","8,870","8,870","8,870","","0.00%"
"2024- 01- 19","8,870","8,970","9,230","8,870","152.10K","-0.22%"
"2024- 01- 18","8,890","9,270","9,280","8,840","199.28K","-2.74%"
"2024- 01- 17","9,140","9,600","9,600","9,070","0.00K","-3.59%"
"2024- 01- 16","9,480","9,450","9,680","9,360","0.10K","-0.21%"
"2024- 01- 15","9,500","9,790","9,800","9,430","183.99K","-2.76%"
"2024- 01- 14","9,770","9,770","9,770","9,770","","0.00%"
"2024- 01- 12","9,770","10,040","10,040","9,600","251.84K","-2.69%"
"2024- 01- 11","10,040","9,850","10,120","9,810","0.01K","1.72%"
"2024- 01- 10","9,870","10,020","10,100","9,820","187.05K","-1.50%"
"2024- 01- 09","10,020","9,680","10,210","9,680","423.32K","3.51%"
"2024- 01- 08","9,680","9,840","9,840","9,580","139.69K","-0.82%"
"2024- 01- 05","9,760","9,850","9,900","9,690","157.56K","-0.10%"
"2024- 01- 04","9,770","10,020","10,090","9,720","303.83K","-3.27%"
"2024- 01- 03","10,100","10,190","10,290","10,040","0.11K","-2.23%"
"2024- 01- 02","10,330","10,000","10,400","9,790","522.41K","4.34%"
