"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,260","4,220","4,285","4,170","32.61K","0.95%"
"2024- 05- 07","4,220","4,205","4,335","4,120","68.62K","0.36%"
"2024- 05- 03","4,205","4,165","4,240","4,070","63.54K","0.96%"
"2024- 05- 02","4,165","4,155","4,245","4,090","54.90K","-1.30%"
"2024- 04- 30","4,220","4,240","4,250","4,150","48.74K","0.60%"
"2024- 04- 29","4,195","4,065","4,205","4,045","54.46K","3.20%"
"2024- 04- 26","4,065","4,025","4,135","3,990","51.02K","0.99%"
"2024- 04- 25","4,025","4,140","4,215","4,000","74.80K","-4.51%"
"2024- 04- 24","4,215","4,000","4,240","3,975","191.97K","5.51%"
"2024- 04- 23","3,995","4,085","4,195","3,955","431.04K","-3.50%"
"2024- 04- 22","4,140","4,120","5,270","4,030","2.28M","0.00%"
"2024- 04- 19","4,140","3,835","4,165","3,835","371.54K","7.95%"
"2024- 04- 18","3,835","3,720","3,935","3,720","49.08K","0.92%"
"2024- 04- 17","3,800","3,700","3,830","3,640","52.38K","4.11%"
"2024- 04- 16","3,650","3,860","3,860","3,590","92.26K","-5.44%"
"2024- 04- 15","3,860","3,785","3,905","3,760","27.47K","-1.03%"
"2024- 04- 12","3,900","3,850","3,950","3,800","44.60K","0.00%"
"2024- 04- 11","3,900","3,850","3,910","3,800","24.01K","0.00%"
"2024- 04- 09","3,900","3,975","4,050","3,880","37.24K","-1.89%"
"2024- 04- 08","3,975","3,885","4,085","3,880","78.97K","2.19%"
"2024- 04- 05","3,890","3,980","4,020","3,810","29.06K","-2.38%"
"2024- 04- 04","3,985","3,910","4,065","3,880","64.36K","1.92%"
"2024- 04- 03","3,910","3,830","3,920","3,795","37.59K","0.51%"
"2024- 04- 02","3,890","4,000","4,015","3,800","72.97K","-3.11%"
"2024- 04- 01","4,015","4,040","4,040","3,970","22.36K","-0.62%"
"2024- 03- 29","4,040","3,940","4,115","3,925","112.16K","2.41%"
"2024- 03- 28","3,945","4,170","4,260","3,900","140.67K","-6.18%"
"2024- 03- 27","4,205","4,315","4,345","4,130","85.49K","-2.21%"
"2024- 03- 26","4,300","4,420","4,465","4,280","154.37K","-2.27%"
"2024- 03- 25","4,400","4,395","4,690","4,280","555.48K","2.80%"
"2024- 03- 22","4,280","4,200","4,300","4,110","95.35K","1.90%"
"2024- 03- 21","4,200","4,210","4,295","4,180","59.44K","-2.10%"
"2024- 03- 20","4,290","4,230","4,340","4,170","60.32K","1.42%"
"2024- 03- 19","4,230","4,250","4,280","4,100","61.81K","-0.47%"
"2024- 03- 18","4,250","4,115","4,250","4,090","60.80K","3.16%"
"2024- 03- 15","4,120","4,115","4,200","4,000","7.96K","0.86%"
"2024- 03- 14","4,085","4,090","4,120","3,990","37.39K","-0.12%"
"2024- 03- 13","4,090","4,085","4,125","3,970","117.79K","0.12%"
"2024- 03- 12","4,085","4,010","4,130","3,975","110.21K","0.86%"
"2024- 03- 11","4,050","4,125","4,125","3,935","102.22K","0.50%"
"2024- 03- 08","4,030","4,100","4,110","3,985","96.48K","0.88%"
"2024- 03- 07","3,995","3,940","4,280","3,845","543.77K","1.14%"
"2024- 03- 06","3,950","3,955","4,035","3,910","49.44K","0.00%"
"2024- 03- 05","3,950","3,870","4,035","3,870","76.60K","0.25%"
"2024- 03- 04","3,940","3,825","3,965","3,805","63.99K","3.01%"
