"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,250","4,205","4,255","4,205","31.17K","0.71%"
"2024- 05- 07","4,220","4,160","4,240","4,160","63.81K","1.56%"
"2024- 05- 03","4,155","4,210","4,250","4,155","66.94K","-1.31%"
"2024- 05- 02","4,210","4,170","4,255","4,165","82.70K","0.60%"
"2024- 04- 30","4,185","4,130","4,315","4,130","138.28K","0.36%"
"2024- 04- 29","4,170","4,095","4,170","4,095","73.28K","2.33%"
"2024- 04- 26","4,075","4,100","4,125","4,065","61.39K","-0.61%"
"2024- 04- 25","4,100","4,085","4,140","4,085","27.41K","-0.49%"
"2024- 04- 24","4,120","4,045","4,140","4,040","81.45K","2.23%"
"2024- 04- 23","4,030","4,055","4,100","4,025","79.48K","-0.74%"
"2024- 04- 22","4,060","4,140","4,140","4,055","101.84K","-2.99%"
"2024- 04- 19","4,185","4,155","4,330","4,030","407.42K","1.33%"
"2024- 04- 18","4,130","4,000","4,170","3,980","128.86K","2.74%"
"2024- 04- 17","4,020","4,025","4,080","4,015","97.52K","0.12%"
"2024- 04- 16","4,015","4,105","4,150","4,005","180.55K","-3.37%"
"2024- 04- 15","4,155","4,135","4,595","4,085","980.03K","2.09%"
"2024- 04- 12","4,070","4,030","4,120","4,015","58.17K","0.99%"
"2024- 04- 11","4,030","4,040","4,085","4,000","69.89K","-1.47%"
"2024- 04- 09","4,090","4,070","4,150","4,070","27.33K","0.12%"
"2024- 04- 08","4,085","4,105","4,160","4,040","66.76K","-0.37%"
"2024- 04- 05","4,100","4,180","4,180","4,060","62.47K","-0.85%"
"2024- 04- 04","4,135","4,215","4,270","4,125","69.70K","-1.66%"
"2024- 04- 03","4,205","4,225","4,275","4,200","60.41K","-0.47%"
"2024- 04- 02","4,225","4,410","4,410","4,225","112.54K","-3.65%"
"2024- 04- 01","4,385","4,375","4,410","4,340","64.18K","0.23%"
"2024- 03- 29","4,375","4,445","4,460","4,375","71.40K","-0.68%"
"2024- 03- 28","4,405","4,390","4,460","4,370","86.21K","0.00%"
"2024- 03- 27","4,405","4,420","4,495","4,400","84.28K","-0.56%"
"2024- 03- 26","4,430","4,440","4,480","4,420","53.29K","-0.23%"
"2024- 03- 25","4,440","4,405","4,470","4,390","78.63K","0.68%"
"2024- 03- 22","4,410","4,405","4,415","4,360","58.19K","0.34%"
"2024- 03- 21","4,395","4,330","4,420","4,325","76.80K","1.85%"
"2024- 03- 20","4,315","4,335","4,375","4,310","70.76K","-0.46%"
"2024- 03- 19","4,335","4,410","4,415","4,325","103.89K","-1.70%"
"2024- 03- 18","4,410","4,410","4,450","4,400","109.08K","-0.34%"
"2024- 03- 15","4,425","4,410","4,560","4,410","7.73K","-2.85%"
"2024- 03- 14","4,555","4,650","4,675","4,540","151.19K","-2.04%"
"2024- 03- 13","4,650","4,565","4,660","4,550","122.38K","2.42%"
"2024- 03- 12","4,540","4,580","4,595","4,530","131.00K","0.11%"
"2024- 03- 11","4,535","4,625","4,625","4,525","141.27K","-0.98%"
"2024- 03- 10","4,580","4,580","4,580","4,580","","0.00%"
"2024- 03- 08","4,580","4,650","4,750","4,580","161.68K","-0.97%"
"2024- 03- 07","4,625","4,755","4,785","4,620","182.82K","-2.63%"
"2024- 03- 06","4,750","4,870","4,875","4,715","323.01K","-3.36%"
"2024- 03- 05","4,915","4,895","5,110","4,895","615.75K","0.41%"
"2024- 03- 04","4,895","5,000","5,040","4,890","4.61K","3.05%"
"2024- 02- 29","4,750","4,780","4,940","4,745","336.34K","1.71%"
"2024- 02- 28","4,670","4,650","4,775","4,650","118.55K","0.21%"
"2024- 02- 27","4,660","4,745","4,760","4,635","0.05K","-1.58%"
"2024- 02- 26","4,735","4,835","4,885","4,735","205.82K","-1.97%"
"2024- 02- 25","4,830","4,830","4,830","4,830","","0.00%"
"2024- 02- 23","4,830","4,980","5,320","4,810","2.98M","-0.21%"
"2024- 02- 22","4,840","4,900","4,965","4,810","205.83K","2.11%"
"2024- 02- 21","4,740","4,810","4,845","4,730","116.69K","-2.47%"
"2024- 02- 20","4,860","4,880","4,940","4,840","114.07K","-0.31%"
"2024- 02- 19","4,875","4,865","4,925","4,850","138.61K","0.31%"
"2024- 02- 18","4,860","4,860","4,860","4,860","","0.00%"
"2024- 02- 16","4,860","4,880","4,905","4,830","95.71K","0.00%"
