"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","20,250","20,700","21,400","19,890","2.92M","-4.03%"
"2024- 04- 29","21,100","21,050","22,050","20,050","8.03M","5.24%"
"2024- 04- 26","20,050","19,220","20,450","18,970","5.06M","5.19%"
"2024- 04- 25","19,060","19,590","19,950","19,020","3.13M","0.16%"
"2024- 04- 24","19,030","19,470","20,150","18,900","3.47M","-3.65%"
"2024- 04- 23","19,750","20,200","20,500","19,450","3.02M","-1.99%"
"2024- 04- 22","20,150","21,950","22,200","19,900","5.07M","-5.40%"
"2024- 04- 19","21,300","22,300","22,550","20,750","4.71M","-5.75%"
"2024- 04- 18","22,600","20,350","23,350","20,100","12.43M","8.13%"
"2024- 04- 17","20,900","21,200","22,850","20,600","14.57M","4.81%"
"2024- 04- 16","19,940","20,500","21,150","19,530","4.60M","-6.16%"
"2024- 04- 15","21,250","20,200","22,150","19,890","14.50M","9.20%"
"2024- 04- 12","19,460","19,250","20,550","19,020","6.05M","0.05%"
"2024- 04- 11","19,450","18,610","19,740","17,810","9.17M","6.23%"
"2024- 04- 09","18,310","20,950","21,550","18,050","13.39M","-17.52%"
"2024- 04- 08","22,200","19,500","22,200","19,500","19.91M","29.82%"
"2024- 04- 05","17,100","14,800","17,850","14,730","10.82M","16.01%"
"2024- 04- 04","14,740","14,210","15,050","14,020","911.85K","3.95%"
"2024- 04- 03","14,180","14,210","14,590","13,510","591.18K","-0.14%"
"2024- 04- 02","14,200","15,800","15,850","13,400","1.74M","-4.25%"
"2024- 04- 01","14,830","14,480","15,130","14,380","897.77K","3.06%"
"2024- 03- 29","14,390","13,500","14,710","13,000","1.22M","9.85%"
"2024- 03- 28","13,100","13,350","13,490","13,000","358.25K","-1.87%"
"2024- 03- 27","13,350","12,730","13,450","12,400","676.76K","5.53%"
"2024- 03- 26","12,650","12,600","13,010","12,440","450.48K","0.88%"
"2024- 03- 25","12,540","12,010","13,050","12,000","915.18K","7.73%"
"2024- 03- 22","11,640","12,370","12,370","11,100","1.60M","-5.90%"
"2024- 03- 21","12,370","13,410","13,570","12,270","1.07M","-8.23%"
"2024- 03- 20","13,480","13,600","13,870","13,370","237.35K","-1.96%"
"2024- 03- 19","13,750","14,100","14,110","13,740","215.05K","-2.41%"
"2024- 03- 18","14,090","14,170","14,470","13,750","578.39K","0.21%"
"2024- 03- 17","14,060","14,060","14,060","14,060","","0.00%"
"2024- 03- 15","14,060","13,900","14,140","13,490","0.30K","-0.28%"
"2024- 03- 14","14,100","13,600","14,280","12,890","0.06K","5.46%"
"2024- 03- 13","13,370","13,510","13,790","13,210","0.10K","-1.11%"
"2024- 03- 12","13,520","13,810","13,810","13,100","432.13K","-2.38%"
"2024- 03- 11","13,850","13,980","14,510","13,630","0.10K","-1.91%"
"2024- 03- 10","14,120","14,120","14,120","14,120","","0.00%"
"2024- 03- 08","14,120","13,820","14,460","13,700","540.07K","3.67%"
"2024- 03- 07","13,620","14,420","14,460","13,450","1.48K","-6.71%"
"2024- 03- 06","14,600","12,300","14,730","12,300","0.22K","19.67%"
"2024- 03- 05","12,200","12,050","12,330","11,850","210.01K","-0.41%"
"2024- 03- 04","12,250","12,480","12,570","12,010","375.18K","-2.55%"
"2024- 02- 29","12,570","12,650","12,650","12,270","148.69K","-0.63%"
"2024- 02- 28","12,650","13,290","13,290","12,400","353.21K","-2.32%"
"2024- 02- 27","12,950","12,600","13,110","12,420","382.95K","3.19%"
"2024- 02- 26","12,550","12,300","12,740","12,200","0.01K","2.45%"
"2024- 02- 23","12,250","12,860","12,860","12,100","387.46K","-3.69%"
"2024- 02- 22","12,720","13,430","13,480","12,590","0.45K","-2.15%"
"2024- 02- 21","13,000","12,630","13,110","12,480","467.48K","1.88%"
"2024- 02- 20","12,760","11,870","12,770","11,870","0.06K","7.05%"
"2024- 02- 19","11,920","12,000","12,220","11,700","179.16K","0.00%"
"2024- 02- 16","11,920","12,200","12,200","11,840","166.68K","-2.30%"
"2024- 02- 15","12,200","12,250","12,350","12,000","214.32K","-1.21%"
"2024- 02- 14","12,350","11,630","12,380","11,440","0.05K","6.19%"
"2024- 02- 13","11,630","11,700","11,850","11,420","217.58K","-0.60%"
"2024- 02- 08","11,700","11,150","11,760","11,150","313.27K","5.12%"
