"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","19,400","19,290","19,400","19,170","193.81K","0.73%"
"2024- 05- 07","19,260","19,400","19,440","19,190","254.37K","-0.21%"
"2024- 05- 03","19,300","19,090","19,480","19,000","298.46K","1.74%"
"2024- 05- 02","18,970","18,890","19,080","18,880","158.16K","0.26%"
"2024- 04- 30","18,920","19,010","19,050","18,870","199.62K","-0.68%"
"2024- 04- 29","19,050","18,830","19,130","18,800","250.34K","1.60%"
"2024- 04- 26","18,750","18,790","18,790","18,650","98.56K","0.16%"
"2024- 04- 25","18,720","18,540","18,790","18,530","129.19K","0.27%"
"2024- 04- 24","18,670","18,870","18,870","18,660","94.62K","-0.43%"
"2024- 04- 23","18,750","18,870","18,870","18,610","103.09K","-0.16%"
"2024- 04- 22","18,780","18,780","18,960","18,620","109.14K","0.97%"
"2024- 04- 19","18,600","18,740","18,740","18,460","192.45K","-2.05%"
"2024- 04- 18","18,990","18,970","18,990","18,730","149.02K","0.64%"
"2024- 04- 17","18,870","18,730","18,910","18,510","140.02K","1.51%"
"2024- 04- 16","18,590","18,600","18,720","18,460","176.22K","-1.01%"
"2024- 04- 15","18,780","18,510","18,780","18,450","137.64K","1.08%"
"2024- 04- 12","18,580","18,820","18,970","18,580","198.65K","-2.06%"
"2024- 04- 11","18,970","18,810","19,100","18,670","356.84K","-0.16%"
"2024- 04- 09","19,000","19,050","19,050","18,820","139.72K","0.53%"
"2024- 04- 08","18,900","19,060","19,160","18,900","152.76K","-1.46%"
"2024- 04- 05","19,180","18,960","19,270","18,950","144.09K","0.16%"
"2024- 04- 04","19,150","19,250","19,250","19,070","139.57K","-0.21%"
"2024- 04- 03","19,190","19,120","19,210","18,850","358.93K","0.10%"
"2024- 04- 02","19,170","19,170","19,340","19,100","213.19K","-0.57%"
"2024- 04- 01","19,280","18,900","19,290","18,810","398.03K","2.66%"
"2024- 03- 29","18,780","18,670","18,890","18,670","216.37K","0.59%"
"2024- 03- 28","18,670","18,620","18,930","18,590","251.50K","0.00%"
"2024- 03- 27","18,670","18,400","18,700","18,380","237.04K","1.19%"
"2024- 03- 26","18,450","18,540","18,590","18,450","179.46K","0.11%"
"2024- 03- 25","18,430","18,410","18,550","18,350","190.33K","0.11%"
"2024- 03- 22","18,410","18,760","18,760","18,360","231.90K","-0.43%"
"2024- 03- 21","18,490","18,310","18,490","18,310","231.10K","1.54%"
"2024- 03- 20","18,210","18,290","18,340","18,150","212.18K","0.22%"
"2024- 03- 19","18,170","18,150","18,380","18,080","316.96K","-0.55%"
"2024- 03- 18","18,270","18,200","18,290","18,090","168.36K","0.38%"
"2024- 03- 17","18,200","18,200","18,200","18,200","","0.00%"
