"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","15,540","15,620","15,700","15,450","21.18K","-0.58%"
"2024- 05- 07","15,630","15,770","15,900","15,580","23.72K","-0.76%"
"2024- 05- 03","15,750","15,600","15,920","15,500","30.55K","0.90%"
"2024- 05- 02","15,610","15,520","15,900","15,490","18.60K","-0.19%"
"2024- 04- 30","15,640","15,670","15,780","15,520","24.74K","-0.19%"
"2024- 04- 29","15,670","15,730","15,970","15,590","47.14K","-0.13%"
"2024- 04- 26","15,690","15,100","15,690","14,900","65.24K","4.60%"
"2024- 04- 25","15,000","15,110","15,350","14,900","25.17K","0.13%"
"2024- 04- 24","14,980","15,050","15,200","14,740","20.88K","-0.40%"
"2024- 04- 23","15,040","15,460","15,460","14,910","32.65K","-2.15%"
"2024- 04- 22","15,370","14,660","15,450","14,630","47.68K","4.56%"
"2024- 04- 19","14,700","14,500","14,790","14,310","42.25K","1.31%"
"2024- 04- 18","14,510","14,480","14,840","14,350","56.73K","0.21%"
"2024- 04- 17","14,480","14,270","14,530","14,150","20.03K","2.12%"
"2024- 04- 16","14,180","14,140","14,320","14,080","17.69K","-0.91%"
"2024- 04- 15","14,310","14,630","14,630","14,180","11.76K","-2.32%"
"2024- 04- 12","14,650","14,630","15,040","14,100","36.76K","1.24%"
"2024- 04- 11","14,470","13,970","14,700","13,900","39.73K","3.58%"
"2024- 04- 09","13,970","14,020","14,200","13,960","22.84K","-0.50%"
"2024- 04- 08","14,040","14,380","14,380","14,020","22.53K","-1.82%"
"2024- 04- 05","14,300","14,200","14,380","14,100","30.48K","0.70%"
"2024- 04- 04","14,200","14,360","14,420","14,150","28.00K","-0.56%"
"2024- 04- 03","14,280","13,970","14,290","13,710","35.04K","2.22%"
"2024- 04- 02","13,970","14,400","14,400","13,950","32.47K","-2.03%"
"2024- 04- 01","14,260","13,900","14,420","13,850","40.28K","2.81%"
"2024- 03- 29","13,870","13,900","14,120","13,800","27.05K","0.14%"
"2024- 03- 28","13,850","13,820","14,320","13,790","37.71K","0.58%"
"2024- 03- 27","13,770","14,200","14,380","13,600","83.78K","-3.37%"
"2024- 03- 26","14,250","14,560","14,750","14,210","38.78K","-2.40%"
"2024- 03- 25","14,600","14,290","14,630","14,150","50.58K","2.17%"
"2024- 03- 22","14,290","14,130","14,640","14,010","25.05K","0.42%"
"2024- 03- 21","14,230","14,780","14,950","14,120","54.45K","0.14%"
"2024- 03- 20","14,210","14,210","14,300","14,100","19.84K","-0.63%"
"2024- 03- 19","14,300","14,450","14,450","14,140","18.42K","-0.42%"
"2024- 03- 18","14,360","14,130","14,360","14,060","20.53K","1.63%"
"2024- 03- 15","14,130","14,200","14,200","13,800","16.41K","-0.49%"
"2024- 03- 14","14,200","14,160","14,400","14,120","21.04K","-0.21%"
"2024- 03- 13","14,230","14,050","14,500","14,050","0.00K","0.85%"
"2024- 03- 12","14,110","14,330","14,330","14,050","44.10K","-1.54%"
"2024- 03- 11","14,330","14,460","14,910","14,280","16.53K","-0.97%"
"2024- 03- 08","14,470","14,290","14,570","14,080","58.43K","1.33%"
"2024- 03- 07","14,280","14,730","14,900","14,120","78.20K","-3.05%"
"2024- 03- 06","14,730","14,730","14,920","14,600","57.18K","-1.34%"
"2024- 03- 05","14,930","15,110","15,360","14,570","93.66K","-2.16%"
"2024- 03- 04","15,260","15,520","15,590","15,130","36.20K","-1.68%"
"2024- 02- 29","15,520","15,500","15,740","15,350","27.34K","-0.51%"
"2024- 02- 28","15,600","15,410","15,790","15,410","0.00K","0.00%"
"2024- 02- 27","15,600","16,200","16,200","15,490","30.16K","-3.05%"
"2024- 02- 26","16,090","15,980","16,350","15,000","36.89K","-0.25%"
"2024- 02- 23","16,130","16,170","16,490","16,000","31.30K","-0.19%"
"2024- 02- 22","16,160","16,450","16,680","16,050","47.13K","-0.43%"
"2024- 02- 21","16,230","16,450","16,500","16,140","39.98K","-1.34%"
"2024- 02- 20","16,450","16,860","16,930","16,220","45.83K","-2.43%"
"2024- 02- 19","16,860","16,480","17,150","16,300","137.68K","2.24%"
"2024- 02- 16","16,490","15,630","16,630","15,380","100.16K","5.50%"
"2024- 02- 15","15,630","14,950","15,790","14,830","57.41K","4.55%"
"2024- 02- 14","14,950","14,380","14,950","14,360","33.52K","2.54%"
"2024- 02- 13","14,580","14,660","14,840","14,550","13.56K","-0.55%"
"2024- 02- 12","14,660","14,660","14,660","14,660","","0.00%"
"2024- 02- 08","14,660","14,890","14,890","14,550","10.86K","0.48%"
"2024- 02- 07","14,590","14,500","14,690","14,370","8.95K","0.48%"
"2024- 02- 06","14,520","14,640","14,670","14,200","18.48K","-0.82%"
"2024- 02- 05","14,640","14,710","15,000","14,350","31.32K","-0.75%"
"2024- 02- 02","14,750","14,300","14,810","14,220","31.46K","3.07%"
"2024- 02- 01","14,310","14,250","14,470","14,120","16.26K","-0.14%"
"2024- 01- 31","14,330","14,360","14,400","14,100","16.14K","-0.21%"
"2024- 01- 30","14,360","14,410","14,490","14,150","24.91K","-0.55%"
"2024- 01- 29","14,440","14,500","14,680","14,220","32.06K","0.28%"
"2024- 01- 26","14,400","14,320","14,540","14,240","18.04K","0.56%"
"2024- 01- 25","14,320","14,100","14,420","13,960","0.00K","1.70%"
"2024- 01- 24","14,080","14,630","14,630","14,080","50.68K","-3.36%"
"2024- 01- 23","14,570","14,630","15,140","14,440","55.14K","-1.15%"
"2024- 01- 22","14,740","14,930","15,090","14,660","34.15K","-1.07%"
"2024- 01- 19","14,900","15,290","15,330","14,900","35.86K","-1.32%"
