"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","3,255","3,145","3,275","3,120","101.74K","4.33%"
"2024- 05- 07","3,120","3,130","3,155","3,095","42.26K","0.16%"
"2024- 05- 03","3,115","3,130","3,170","3,090","31.49K","-0.48%"
"2024- 05- 02","3,130","3,140","3,170","3,105","33.27K","-0.63%"
"2024- 04- 30","3,150","3,100","3,180","3,060","48.50K","1.78%"
"2024- 04- 29","3,095","2,995","3,100","2,995","52.61K","3.00%"
"2024- 04- 26","3,005","3,010","3,050","2,950","67.93K","-0.17%"
"2024- 04- 25","3,010","3,030","3,090","2,995","62.64K","-0.66%"
"2024- 04- 24","3,030","2,920","3,085","2,910","90.39K","3.95%"
"2024- 04- 23","2,915","2,945","3,040","2,915","44.04K","-1.69%"
"2024- 04- 22","2,965","2,960","3,095","2,820","60.21K","0.17%"
"2024- 04- 19","2,960","3,115","3,115","2,935","89.20K","-3.90%"
"2024- 04- 18","3,080","3,040","3,110","3,030","63.10K","1.48%"
"2024- 04- 17","3,035","2,985","3,130","2,985","45.64K","-0.33%"
"2024- 04- 16","3,045","3,135","3,140","3,000","55.49K","-3.03%"
"2024- 04- 15","3,140","3,090","3,250","2,935","87.86K","1.29%"
"2024- 04- 12","3,100","3,200","3,210","3,070","62.23K","-2.21%"
"2024- 04- 11","3,170","3,170","3,200","3,015","127.54K","-0.78%"
"2024- 04- 09","3,195","3,240","3,280","3,160","101.89K","-0.16%"
"2024- 04- 08","3,200","3,325","3,355","3,190","89.07K","-2.29%"
"2024- 04- 05","3,275","3,330","3,335","3,240","138.46K","-2.53%"
"2024- 04- 04","3,360","3,365","3,460","3,270","222.81K","0.90%"
"2024- 04- 03","3,330","3,530","4,010","3,225","2.39M","-2.35%"
"2024- 04- 02","3,410","3,670","3,670","3,365","263.82K","-3.40%"
"2024- 04- 01","3,530","3,455","3,570","3,450","73.73K","2.17%"
"2024- 03- 29","3,455","3,525","3,635","3,450","135.87K","-1.43%"
"2024- 03- 28","3,505","3,585","3,585","3,475","125.93K","-2.37%"
"2024- 03- 27","3,590","3,620","3,665","3,525","116.60K","-0.83%"
"2024- 03- 26","3,620","3,780","3,805","3,600","146.93K","-4.11%"
"2024- 03- 25","3,775","3,700","3,840","3,700","86.41K","0.27%"
"2024- 03- 22","3,765","3,755","3,785","3,665","205.78K","-0.79%"
"2024- 03- 21","3,795","3,740","4,090","3,740","360.99K","1.61%"
"2024- 03- 20","3,735","3,740","3,910","3,650","143.01K","-0.13%"
"2024- 03- 19","3,740","3,825","3,840","3,680","224.51K","-2.09%"
"2024- 03- 18","3,820","3,975","4,065","3,820","303.62K","-5.21%"
"2024- 03- 15","4,030","3,975","4,200","3,970","22.97K","-2.54%"
"2024- 03- 14","4,135","4,275","4,275","4,085","0.03K","-3.27%"
"2024- 03- 13","4,275","4,120","4,590","4,055","1.01M","3.76%"
"2024- 03- 12","4,120","4,220","4,220","4,060","55.81K","-1.55%"
"2024- 03- 11","4,185","4,105","4,250","4,065","106.81K","1.33%"
"2024- 03- 08","4,130","3,985","4,130","3,970","129.74K","3.51%"
"2024- 03- 07","3,990","4,055","4,195","3,960","0.20K","-1.36%"
"2024- 03- 06","4,045","4,120","4,245","4,005","203.71K","-2.06%"
"2024- 03- 05","4,130","4,150","4,245","4,125","0.00K","-1.55%"
"2024- 03- 04","4,195","4,300","4,385","4,180","108.69K","-2.44%"
"2024- 03- 03","4,300","4,300","4,300","4,300","","0.00%"
"2024- 02- 29","4,300","4,460","4,545","4,300","140.26K","-3.59%"
"2024- 02- 28","4,460","4,570","4,570","4,455","86.77K","-0.67%"
"2024- 02- 27","4,490","4,735","4,750","4,485","107.29K","-5.17%"
"2024- 02- 26","4,735","4,620","4,750","4,550","104.90K","3.27%"
"2024- 02- 23","4,585","4,740","4,750","4,585","111.21K","-4.48%"
"2024- 02- 22","4,800","4,720","4,820","4,665","96.99K","1.80%"
"2024- 02- 21","4,715","4,840","4,840","4,655","203.45K","-2.28%"
"2024- 02- 20","4,825","4,455","4,860","4,410","354.48K","8.31%"
"2024- 02- 19","4,455","4,450","4,580","4,400","94.69K","0.68%"
"2024- 02- 16","4,425","4,540","4,540","4,370","167.63K","-2.53%"
"2024- 02- 15","4,540","4,645","4,645","4,495","115.90K","-1.73%"
"2024- 02- 14","4,620","4,705","4,705","4,530","0.00K","0.76%"
"2024- 02- 13","4,585","4,500","4,640","4,450","96.63K","1.89%"
"2024- 02- 08","4,500","4,480","4,600","4,480","103.84K","-0.55%"
"2024- 02- 07","4,525","4,610","4,760","4,515","93.72K","-1.63%"
"2024- 02- 06","4,600","4,645","4,840","4,530","137.51K","-0.97%"
"2024- 02- 05","4,645","4,830","4,900","4,500","132.55K","-3.63%"
"2024- 02- 02","4,820","4,805","4,920","4,765","67.13K","1.47%"
"2024- 02- 01","4,750","4,860","4,920","4,675","159.02K","-2.36%"
"2024- 01- 31","4,865","5,000","5,000","4,850","115.94K","-2.60%"
"2024- 01- 30","4,995","5,200","5,220","4,975","140.28K","-4.13%"
"2024- 01- 29","5,210","5,320","5,450","5,080","170.06K","-1.88%"
"2024- 01- 26","5,310","5,380","5,450","5,260","168.09K","1.92%"
"2024- 01- 25","5,210","5,300","5,380","5,150","123.30K","-1.88%"
"2024- 01- 24","5,310","4,930","5,340","4,875","216.18K","7.82%"
"2024- 01- 23","4,925","5,000","5,130","4,860","163.93K","1.65%"
"2024- 01- 22","4,845","5,060","5,130","4,805","279.29K","-4.25%"
"2024- 01- 21","5,060","5,060","5,060","5,060","","0.00%"
"2024- 01- 19","5,060","5,300","5,370","5,050","319.38K","-3.80%"
"2024- 01- 18","5,260","6,200","6,200","4,840","0.13K","-13.77%"
"2024- 01- 17","6,100","5,770","6,340","5,710","1.24M","5.54%"
"2024- 01- 16","5,780","6,030","6,030","5,670","0.00K","-1.70%"
"2024- 01- 15","5,880","5,690","5,910","5,660","131.74K","1.38%"
"2024- 01- 12","5,800","6,030","6,050","5,790","182.07K","-3.97%"
"2024- 01- 11","6,040","6,020","6,190","6,000","130.07K","-0.17%"
"2024- 01- 10","6,050","6,210","6,210","6,000","162.04K","-2.58%"
"2024- 01- 09","6,210","6,070","6,230","6,060","317.01K","2.64%"
"2024- 01- 08","6,050","5,980","6,170","5,920","211.79K","2.72%"
"2024- 01- 05","5,890","6,040","6,120","5,850","190.43K","-1.01%"
"2024- 01- 04","5,950","6,070","6,070","5,890","0.01K","-1.98%"
"2024- 01- 03","6,070","6,230","6,230","5,920","0.07K","-3.19%"
"2024- 01- 02","6,270","6,200","6,290","6,100","257.20K","0.80%"
