"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,630","1,621","1,631","1,621","25.19K","0.56%"
"2024- 05- 07","1,621","1,635","1,635","1,619","24.53K","0.25%"
"2024- 05- 03","1,617","1,635","1,635","1,615","10.33K","-0.06%"
"2024- 05- 02","1,618","1,625","1,630","1,615","34.58K","0.19%"
"2024- 04- 30","1,615","1,614","1,615","1,601","32.55K","0.00%"
"2024- 04- 29","1,615","1,607","1,620","1,594","42.98K","0.62%"
"2024- 04- 26","1,605","1,609","1,627","1,605","27.74K","-0.43%"
"2024- 04- 25","1,612","1,622","1,622","1,600","54.80K","-0.80%"
"2024- 04- 24","1,625","1,609","1,638","1,602","39.88K","0.06%"
"2024- 04- 23","1,624","1,623","1,631","1,609","24.42K","0.06%"
"2024- 04- 22","1,623","1,624","1,699","1,601","37.58K","1.50%"
"2024- 04- 19","1,599","1,601","1,623","1,590","42.64K","-0.25%"
"2024- 04- 18","1,603","1,595","1,626","1,595","61.81K","0.56%"
"2024- 04- 17","1,594","1,618","1,618","1,594","14.94K","-0.19%"
"2024- 04- 16","1,597","1,606","1,629","1,585","65.58K","-0.56%"
"2024- 04- 15","1,606","1,592","1,628","1,570","75.76K","1.45%"
"2024- 04- 12","1,583","1,712","1,712","1,583","143.64K","-6.33%"
"2024- 04- 11","1,690","1,717","1,726","1,685","57.81K","-0.76%"
"2024- 04- 09","1,703","1,712","1,730","1,703","47.91K","-0.87%"
"2024- 04- 08","1,718","1,763","1,763","1,718","58.59K","-1.77%"
"2024- 04- 05","1,749","1,805","1,805","1,730","87.79K","-1.96%"
"2024- 04- 04","1,784","1,803","1,826","1,775","37.11K","-1.05%"
"2024- 04- 03","1,803","1,817","1,833","1,784","38.91K","-0.77%"
"2024- 04- 02","1,817","1,837","1,861","1,813","40.59K","-2.10%"
"2024- 04- 01","1,856","1,839","1,864","1,816","59.02K","2.20%"
"2024- 03- 29","1,816","1,843","1,843","1,796","83.40K","-1.47%"
"2024- 03- 28","1,843","1,826","1,897","1,813","63.64K","0.00%"
"2024- 03- 27","1,843","1,886","1,913","1,840","71.97K","-2.64%"
"2024- 03- 26","1,893","1,975","1,980","1,826","141.52K","-2.32%"
"2024- 03- 25","1,938","1,925","1,966","1,885","334.45K","3.47%"
"2024- 03- 22","1,873","1,824","1,911","1,824","105.17K","2.69%"
"2024- 03- 21","1,824","1,919","1,958","1,824","316.09K","-2.36%"
"2024- 03- 20","1,868","1,878","1,930","1,830","225.69K","0.70%"
"2024- 03- 19","1,855","1,873","1,927","1,805","337.32K","-0.70%"
"2024- 03- 18","1,868","1,715","1,872","1,715","261.22K","7.67%"
"2024- 03- 15","1,735","1,715","1,800","1,698","3.45K","1.58%"
"2024- 03- 14","1,708","1,709","1,720","1,686","90.50K","-0.06%"
"2024- 03- 13","1,709","1,718","1,724","1,698","78.26K","-0.52%"
"2024- 03- 12","1,718","1,735","1,736","1,715","40.34K","-0.92%"
"2024- 03- 11","1,734","1,724","1,749","1,719","33.64K","0.06%"
"2024- 03- 08","1,733","1,740","1,758","1,725","51.63K","-0.40%"
"2024- 03- 07","1,740","1,770","1,770","1,702","101.29K","-1.69%"
"2024- 03- 06","1,770","1,773","1,773","1,743","76.20K","-0.11%"
"2024- 03- 05","1,772","1,793","1,809","1,747","103.23K","-1.06%"
"2024- 03- 04","1,791","1,835","1,835","1,791","81.80K","-1.81%"
"2024- 02- 29","1,824","1,840","1,840","1,814","44.51K","0.22%"
"2024- 02- 28","1,820","1,849","1,862","1,810","38.31K","-2.10%"
"2024- 02- 27","1,859","1,862","1,900","1,835","39.62K","-0.16%"
"2024- 02- 26","1,862","1,885","1,886","1,847","48.05K","-1.22%"
"2024- 02- 23","1,885","1,884","1,894","1,858","38.69K","0.48%"
"2024- 02- 22","1,876","1,867","1,882","1,859","37.72K","-0.27%"
"2024- 02- 21","1,881","1,876","1,898","1,861","48.87K","0.27%"
