"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,515","2,510","2,565","2,495","252.32K","-0.59%"
"2024- 05- 07","2,530","2,520","2,530","2,475","151.64K","1.40%"
"2024- 05- 03","2,495","2,520","2,535","2,485","141.72K","-0.20%"
"2024- 05- 02","2,500","2,470","2,535","2,440","241.28K","0.81%"
"2024- 04- 30","2,480","2,460","2,490","2,435","150.37K","0.40%"
"2024- 04- 29","2,470","2,445","2,495","2,445","111.64K","1.02%"
"2024- 04- 26","2,445","2,485","2,485","2,430","104.59K","-1.41%"
"2024- 04- 25","2,480","2,480","2,485","2,440","80.60K","-0.80%"
"2024- 04- 24","2,500","2,475","2,510","2,460","130.03K","2.46%"
"2024- 04- 23","2,440","2,440","2,490","2,425","144.73K","0.21%"
"2024- 04- 22","2,435","2,425","2,465","2,410","192.45K","1.04%"
"2024- 04- 19","2,410","2,500","2,505","2,375","386.50K","-3.41%"
"2024- 04- 18","2,495","2,420","2,500","2,420","121.94K","2.89%"
"2024- 04- 17","2,425","2,435","2,500","2,410","204.00K","0.00%"
"2024- 04- 16","2,425","2,480","2,480","2,390","532.86K","-3.00%"
"2024- 04- 15","2,500","2,500","2,545","2,460","250.00K","-1.77%"
"2024- 04- 12","2,545","2,570","2,615","2,510","191.70K","-1.36%"
"2024- 04- 11","2,580","2,575","2,590","2,515","121.02K","0.98%"
"2024- 04- 09","2,555","2,560","2,610","2,550","127.28K","-0.39%"
"2024- 04- 08","2,565","2,615","2,645","2,560","145.73K","-1.91%"
"2024- 04- 05","2,615","2,630","2,655","2,590","220.21K","-0.57%"
"2024- 04- 04","2,630","2,695","2,725","2,620","352.18K","-1.68%"
"2024- 04- 03","2,675","2,740","2,740","2,665","224.60K","-1.83%"
"2024- 04- 02","2,725","2,870","2,895","2,700","685.76K","-5.05%"
"2024- 04- 01","2,870","2,765","2,880","2,745","623.55K","4.55%"
"2024- 03- 29","2,745","2,880","2,915","2,680","827.23K","-4.02%"
"2024- 03- 28","2,860","2,945","2,950","2,825","612.13K","-2.89%"
"2024- 03- 27","2,945","2,900","3,020","2,875","913.73K","1.55%"
"2024- 03- 26","2,900","2,810","2,900","2,775","434.28K","3.20%"
"2024- 03- 25","2,810","2,755","2,820","2,725","304.44K","2.74%"
"2024- 03- 22","2,735","2,795","2,795","2,730","207.86K","-1.62%"
"2024- 03- 21","2,780","2,780","2,845","2,770","306.81K","0.18%"
"2024- 03- 20","2,775","2,805","2,865","2,740","287.92K","-1.07%"
"2024- 03- 19","2,805","2,820","2,825","2,780","205.47K","0.90%"
