"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","172,000","172,000","172,000","172,000","0.03K","0.06%"
"2024- 05- 03","171,900","171,800","171,900","171,800","0.01K","0.70%"
"2024- 05- 02","170,700","170,700","170,700","170,700","0.01K","0.00%"
"2024- 04- 30","170,700","171,100","171,800","170,600","0.02K","-1.39%"
"2024- 04- 29","173,100","172,300","173,100","171,500","0.05K","0.41%"
"2024- 04- 26","172,400","171,100","172,400","171,100","0.04K","0.70%"
"2024- 04- 25","171,200","171,100","173,000","171,100","0.09K","-0.17%"
"2024- 04- 24","171,500","170,100","171,500","170,000","0.13K","0.82%"
"2024- 04- 23","170,100","169,900","171,400","169,900","0.13K","-0.70%"
"2024- 04- 22","171,300","176,900","176,900","171,300","0.13K","-1.95%"
"2024- 04- 19","174,700","172,000","174,700","171,500","0.11K","0.00%"
"2024- 04- 18","174,700","173,900","174,800","174,700","0.01K","-0.11%"
"2024- 04- 17","174,900","175,700","175,700","171,000","0.03K","0.17%"
"2024- 04- 16","174,600","174,400","175,700","174,000","0.17K","0.46%"
"2024- 04- 15","173,800","173,900","173,900","173,000","0.03K","-0.06%"
"2024- 04- 12","173,900","172,000","174,000","171,900","0.06K","1.70%"
"2024- 04- 11","171,000","171,400","171,400","171,000","0.01K","-0.23%"
"2024- 04- 09","171,400","172,800","173,300","171,400","0.03K","-0.81%"
"2024- 04- 08","172,800","172,900","172,900","171,800","0.02K","-0.75%"
"2024- 04- 05","174,100","173,200","174,100","170,200","0.02K","0.00%"
"2024- 04- 04","174,100","174,400","174,400","171,600","0.01K","-0.23%"
"2024- 04- 03","174,500","174,500","174,600","171,500","0.02K","-0.06%"
"2024- 04- 02","174,600","171,900","174,600","171,800","0.04K","1.99%"
"2024- 04- 01","171,200","176,900","176,900","170,200","0.02K","-1.50%"
"2024- 03- 29","173,800","173,200","173,800","173,000","0.04K","0.35%"
"2024- 03- 28","173,200","173,300","173,300","173,200","0.00K","-0.06%"
"2024- 03- 27","173,300","173,000","173,700","171,200","0.07K","-0.17%"
"2024- 03- 26","173,600","170,200","173,600","168,200","0.07K","0.35%"
"2024- 03- 25","173,000","172,500","173,100","170,700","0.06K","0.29%"
"2024- 03- 22","172,500","171,300","172,500","171,300","0.01K","0.70%"
"2024- 03- 21","171,300","171,400","171,600","171,300","0.03K","-0.23%"
"2024- 03- 20","171,700","171,800","172,600","171,700","0.02K","0.29%"
"2024- 03- 19","171,200","171,000","171,800","170,500","0.03K","-0.81%"
"2024- 03- 18","172,600","172,700","172,700","170,000","0.01K","-0.12%"
"2024- 03- 15","172,800","172,700","172,800","171,700","0.00K","0.00%"
"2024- 03- 14","172,800","169,700","172,900","169,700","0.03K","0.76%"
"2024- 03- 13","171,500","171,400","173,000","171,400","0.01K","0.06%"
"2024- 03- 12","171,400","171,400","171,400","166,900","0.07K","0.00%"
"2024- 03- 11","171,400","172,000","172,000","171,400","0.01K","-0.35%"
"2024- 03- 08","172,000","172,000","172,000","170,200","0.02K","0.00%"
