"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","24,200","24,150","24,250","23,900","10.50K","1.04%"
"2024- 05- 07","23,950","24,000","24,200","23,800","7.26K","0.21%"
"2024- 05- 03","23,900","24,200","24,200","23,800","6.43K","-1.65%"
"2024- 05- 02","24,300","24,600","24,600","24,000","8.28K","-0.82%"
"2024- 04- 30","24,500","24,450","24,700","24,250","7.88K","-0.61%"
"2024- 04- 29","24,650","24,050","24,700","24,050","14.55K","2.07%"
"2024- 04- 26","24,150","23,550","24,500","23,550","13.36K","2.55%"
"2024- 04- 25","23,550","23,500","23,950","23,400","7.55K","-0.21%"
"2024- 04- 24","23,600","23,750","23,750","23,450","7.80K","-0.21%"
"2024- 04- 23","23,650","23,350","23,750","23,350","4.45K","0.85%"
"2024- 04- 22","23,450","23,450","23,500","23,100","3.48K","0.00%"
"2024- 04- 19","23,450","23,800","23,700","23,050","10.23K","-0.21%"
"2024- 04- 18","23,500","23,300","23,600","23,300","3.38K","0.86%"
"2024- 04- 17","23,300","23,750","23,750","23,300","3.73K","-0.85%"
"2024- 04- 16","23,500","23,750","23,800","23,400","13.28K","-1.05%"
"2024- 04- 15","23,750","23,500","23,950","23,400","9.59K","0.42%"
"2024- 04- 12","23,650","22,950","23,650","22,950","7.08K","2.16%"
"2024- 04- 11","23,150","23,300","23,400","22,900","5.32K","-0.64%"
"2024- 04- 09","23,300","22,900","23,350","22,750","24.35K","0.87%"
"2024- 04- 08","23,100","23,400","23,400","22,800","8.11K","-0.86%"
"2024- 04- 05","23,300","23,950","23,950","23,300","8.70K","-2.71%"
"2024- 04- 04","23,950","23,750","24,050","23,250","13.17K","0.84%"
"2024- 04- 03","23,750","23,750","23,850","23,000","8.10K","0.00%"
"2024- 04- 02","23,750","24,050","24,150","23,250","23.83K","-1.25%"
"2024- 04- 01","24,050","23,950","24,300","23,850","8.80K","0.42%"
"2024- 03- 29","23,950","24,050","24,500","23,800","10.78K","-1.24%"
"2024- 03- 28","24,250","24,500","24,550","24,150","8.39K","-0.41%"
"2024- 03- 27","24,350","24,900","24,950","24,350","9.74K","-2.21%"
"2024- 03- 26","24,900","25,400","25,400","24,750","19.49K","-2.16%"
"2024- 03- 25","25,450","25,100","25,650","24,950","19.41K","1.39%"
"2024- 03- 22","25,100","24,450","25,250","24,300","22.30K","2.03%"
"2024- 03- 21","24,600","25,150","25,200","24,250","26.64K","-2.38%"
"2024- 03- 20","25,200","25,250","25,850","24,650","50.15K","2.44%"
"2024- 03- 19","24,600","24,750","24,850","24,150","20.95K","0.61%"
"2024- 03- 18","24,450","23,850","24,550","23,850","13.19K","1.24%"
"2024- 03- 15","24,150","24,100","24,400","24,000","16.97K","-0.82%"
"2024- 03- 14","24,350","24,450","24,650","23,850","15.95K","-0.61%"
