"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","470","468","470","464","58.56K","0.86%"
"2024- 05- 07","466","462","469","461","87.76K","0.22%"
"2024- 05- 03","465","459","466","459","96.89K","0.65%"
"2024- 05- 02","462","459","465","450","94.57K","0.65%"
"2024- 04- 30","459","455","461","455","47.43K","0.88%"
"2024- 04- 29","455","463","469","445","380.28K","-2.57%"
"2024- 04- 26","467","463","469","458","43.38K","0.00%"
"2024- 04- 25","467","467","467","457","61.10K","0.00%"
"2024- 04- 24","467","462","472","458","51.44K","1.08%"
"2024- 04- 23","462","459","474","456","45.72K","0.65%"
"2024- 04- 22","459","464","464","456","60.08K","-0.86%"
"2024- 04- 19","463","464","473","451","109.53K","0.00%"
"2024- 04- 18","463","461","468","457","93.68K","0.43%"
"2024- 04- 17","461","467","470","460","61.64K","-1.07%"
"2024- 04- 16","466","479","479","464","140.45K","-1.69%"
"2024- 04- 15","474","474","478","468","51.07K","-1.04%"
"2024- 04- 12","479","482","485","471","246.09K","-0.62%"
"2024- 04- 11","482","485","508","479","161.21K","-0.62%"
"2024- 04- 09","485","482","490","475","228.56K","-1.22%"
"2024- 04- 08","491","499","510","486","122.54K","-1.60%"
"2024- 04- 05","499","492","500","492","54.12K","-0.20%"
"2024- 04- 04","500","497","507","497","48.31K","0.60%"
"2024- 04- 03","497","500","505","497","88.47K","-1.78%"
"2024- 04- 02","506","495","506","495","55.91K","1.20%"
"2024- 04- 01","500","500","502","495","60.79K","0.00%"
"2024- 03- 29","500","505","507","485","128.79K","-0.99%"
"2024- 03- 28","505","508","508","494","89.11K","0.80%"
"2024- 03- 27","501","510","510","496","132.45K","-1.76%"
"2024- 03- 26","510","507","514","505","81.27K","-0.39%"
"2024- 03- 25","512","501","512","500","129.36K","2.40%"
"2024- 03- 22","500","497","507","497","154.57K","-0.40%"
"2024- 03- 21","502","493","512","488","477.34K","1.83%"
"2024- 03- 20","493","486","495","485","106.03K","1.44%"
"2024- 03- 19","486","489","493","459","342.12K","-0.82%"
"2024- 03- 18","490","496","496","475","179.61K","-1.01%"
"2024- 03- 15","495","501","507","490","291.53K","-1.98%"
"2024- 03- 14","505","510","520","497","351.54K","-0.59%"
"2024- 03- 13","508","515","536","500","0.61K","-2.31%"
"2024- 03- 12","520","471","601","470","2.10K","10.40%"
"2024- 03- 11","471","470","486","470","93.37K","-0.21%"
"2024- 03- 08","472","485","485","471","242.09K","-1.46%"
"2024- 03- 07","479","491","493","479","171.91K","-1.64%"
"2024- 03- 06","487","493","493","485","150.97K","-0.20%"
"2024- 03- 05","488","495","506","486","272.38K","-3.56%"
"2024- 03- 04","506","510","517","502","59.99K","-0.78%"
"2024- 02- 29","510","516","520","506","72.38K","-1.16%"
"2024- 02- 28","516","515","520","512","70.80K","-0.58%"
"2024- 02- 27","519","515","520","514","46.90K","0.39%"
"2024- 02- 26","517","521","522","511","39.43K","-0.77%"
"2024- 02- 23","521","523","525","514","94.22K","0.00%"
"2024- 02- 22","521","516","524","515","115.25K","1.17%"
"2024- 02- 21","515","527","527","515","180.13K","-2.28%"
"2024- 02- 20","527","527","528","517","127.24K","0.76%"
"2024- 02- 19","523","525","525","518","107.93K","0.00%"
"2024- 02- 16","523","529","530","520","56.31K","-1.13%"
"2024- 02- 15","529","530","531","524","35.39K","0.00%"
"2024- 02- 14","529","526","530","525","48.68K","0.57%"
"2024- 02- 13","526","520","526","520","0.50K","1.35%"
"2024- 02- 08","519","517","525","514","60.52K","0.58%"
"2024- 02- 07","516","525","536","492","155.07K","-2.27%"
"2024- 02- 06","528","528","535","520","42.23K","0.38%"
"2024- 02- 05","526","525","537","520","56.84K","0.19%"
"2024- 02- 02","525","537","537","519","72.97K","0.38%"
"2024- 02- 01","523","526","533","520","138.69K","-0.57%"
"2024- 01- 31","526","545","545","526","111.44K","-2.77%"
"2024- 01- 30","541","539","541","530","82.43K","0.37%"
"2024- 01- 29","539","550","551","536","93.23K","-0.37%"
"2024- 01- 26","541","551","560","541","65.98K","-1.81%"
"2024- 01- 25","551","559","565","545","81.43K","-2.65%"
"2024- 01- 24","566","576","581","561","160.32K","-0.53%"
"2024- 01- 23","569","570","576","567","38.50K","-1.22%"
"2024- 01- 22","576","590","590","570","65.02K","-0.52%"
"2024- 01- 19","579","566","583","566","32.91K","1.58%"
"2024- 01- 18","570","567","582","566","74.48K","0.53%"
"2024- 01- 17","567","574","574","563","77.70K","-1.22%"
"2024- 01- 16","574","583","587","572","82.73K","-1.54%"
"2024- 01- 15","583","587","596","582","97.05K","-2.51%"
"2024- 01- 12","598","610","610","593","95.89K","-1.97%"
"2024- 01- 11","610","608","618","605","114.52K","0.33%"
"2024- 01- 10","608","601","612","598","183.47K","0.16%"
"2024- 01- 09","607","602","614","597","63.20K","1.68%"
"2024- 01- 08","597","610","614","596","107.41K","-2.45%"
"2024- 01- 05","612","590","614","590","119.55K","2.51%"
"2024- 01- 04","597","603","611","591","73.84K","-1.65%"
"2024- 01- 03","607","592","607","589","103.05K","0.00%"
"2024- 01- 02","607","584","615","584","359.01K","5.75%"
