"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","2,550","2,625","2,630","2,545","23.53K","-1.92%"
"2024- 05- 07","2,600","2,670","2,665","2,595","31.36K","0.58%"
"2024- 05- 03","2,585","2,570","2,590","2,560","13.54K","0.58%"
"2024- 05- 02","2,570","2,555","2,595","2,545","20.29K","0.59%"
"2024- 04- 30","2,555","2,550","2,565","2,520","20.76K","0.79%"
"2024- 04- 29","2,535","2,540","2,570","2,510","16.67K","1.40%"
"2024- 04- 26","2,500","2,545","2,560","2,495","31.51K","-0.60%"
"2024- 04- 25","2,515","2,500","2,545","2,500","27.64K","-0.59%"
"2024- 04- 24","2,530","2,520","2,550","2,510","12.69K","0.80%"
"2024- 04- 23","2,510","2,530","2,560","2,500","16.85K","0.20%"
"2024- 04- 22","2,505","2,495","2,550","2,470","11.38K","0.20%"
"2024- 04- 19","2,500","2,515","2,560","2,460","47.46K","0.00%"
"2024- 04- 18","2,500","2,500","2,560","2,500","40.35K","0.00%"
"2024- 04- 17","2,500","2,505","2,580","2,485","22.15K","-1.19%"
"2024- 04- 16","2,530","2,505","2,570","2,500","30.07K","-1.17%"
"2024- 04- 15","2,560","2,610","2,610","2,480","81.39K","-1.92%"
"2024- 04- 12","2,610","2,795","2,865","2,580","115.57K","-6.62%"
"2024- 04- 11","2,795","2,880","2,880","2,760","40.92K","-3.79%"
"2024- 04- 09","2,905","3,035","3,035","2,875","86.87K","-4.44%"
"2024- 04- 08","3,040","2,890","3,090","2,805","169.13K","7.04%"
"2024- 04- 05","2,840","2,805","2,860","2,780","31.99K","1.07%"
"2024- 04- 04","2,810","2,795","2,905","2,720","36.25K","0.90%"
"2024- 04- 03","2,785","2,740","2,810","2,720","37.05K","0.18%"
"2024- 04- 02","2,780","2,915","2,915","2,740","50.82K","-4.14%"
"2024- 04- 01","2,900","2,805","2,990","2,785","76.56K","3.57%"
"2024- 03- 29","2,800","2,750","2,935","2,740","48.29K","1.63%"
"2024- 03- 28","2,755","2,815","2,850","2,755","66.64K","-2.13%"
"2024- 03- 27","2,815","2,915","2,930","2,760","126.61K","-3.60%"
"2024- 03- 26","2,920","2,955","2,980","2,890","101.19K","-1.02%"
"2024- 03- 25","2,950","3,070","3,070","2,950","155.08K","-3.75%"
"2024- 03- 22","3,065","2,970","3,310","2,890","932.65K","3.37%"
"2024- 03- 21","2,965","2,830","3,575","2,730","2.05M","-1.50%"
"2024- 03- 20","3,010","2,455","3,120","2,425","1.58M","23.87%"
"2024- 03- 19","2,430","2,460","2,500","2,420","24.98K","-1.22%"
"2024- 03- 18","2,460","2,435","2,460","2,420","34.81K","0.41%"
"2024- 03- 15","2,450","2,435","2,485","2,435","2.69K","-1.01%"
"2024- 03- 14","2,475","2,540","2,545","2,465","35.74K","-2.17%"
"2024- 03- 13","2,530","2,590","2,590","2,515","48.17K","-1.56%"
"2024- 03- 12","2,570","2,570","2,675","2,550","50.37K","0.19%"
"2024- 03- 11","2,565","2,475","2,650","2,470","66.66K","4.69%"
"2024- 03- 08","2,450","2,425","2,530","2,385","59.52K","1.66%"
"2024- 03- 07","2,410","2,405","2,465","2,400","39.83K","-2.43%"
"2024- 03- 06","2,470","2,450","2,520","2,400","39.08K","0.82%"
"2024- 03- 05","2,450","2,540","2,540","2,430","52.90K","-2.00%"
"2024- 03- 04","2,500","2,580","2,610","2,500","54.41K","-2.34%"
"2024- 02- 29","2,560","2,575","2,575","2,550","20.69K","-0.58%"
"2024- 02- 28","2,575","2,545","2,575","2,540","18.50K","0.19%"
"2024- 02- 27","2,570","2,575","2,625","2,565","24.23K","-1.15%"
"2024- 02- 26","2,600","2,605","2,640","2,590","27.23K","-0.19%"
"2024- 02- 23","2,605","2,625","2,665","2,605","55.20K","-0.76%"
"2024- 02- 22","2,625","2,690","2,690","2,620","31.38K","-2.42%"
"2024- 02- 21","2,690","2,725","2,730","2,670","25.78K","-1.47%"
"2024- 02- 20","2,730","2,705","2,730","2,690","0.01K","1.11%"
"2024- 02- 19","2,700","2,710","2,770","2,700","19.08K","-0.55%"
"2024- 02- 16","2,715","2,660","2,750","2,660","43.52K","1.31%"
"2024- 02- 15","2,680","2,640","2,705","2,640","24.54K","1.52%"
"2024- 02- 14","2,640","2,685","2,685","2,605","32.72K","-0.75%"
"2024- 02- 13","2,660","2,635","2,720","2,635","14.25K","-0.19%"
"2024- 02- 08","2,665","2,650","2,665","2,620","31.56K","1.14%"
"2024- 02- 07","2,635","2,640","2,650","2,605","32.29K","-1.31%"
"2024- 02- 06","2,670","2,655","2,785","2,620","36.12K","0.56%"
"2024- 02- 05","2,655","2,710","2,745","2,620","38.81K","-2.03%"
"2024- 02- 02","2,710","2,665","2,740","2,630","24.51K","1.69%"
"2024- 02- 01","2,665","2,645","2,690","2,600","35.28K","0.19%"
"2024- 01- 31","2,660","2,790","2,790","2,630","37.03K","-4.49%"
"2024- 01- 30","2,785","2,730","2,810","2,730","28.75K","0.18%"
"2024- 01- 29","2,780","2,795","2,795","2,730","53.19K","-0.54%"
"2024- 01- 26","2,795","2,600","2,795","2,600","47.23K","5.47%"
"2024- 01- 25","2,650","2,710","2,720","2,610","57.50K","-3.11%"
"2024- 01- 24","2,735","2,735","2,760","2,675","36.33K","0.00%"
"2024- 01- 23","2,735","2,800","2,810","2,700","48.68K","-1.08%"
"2024- 01- 22","2,765","2,825","2,870","2,760","49.24K","-2.12%"
"2024- 01- 19","2,825","2,800","2,845","2,780","33.48K","1.80%"
"2024- 01- 18","2,775","2,770","2,820","2,750","38.95K","-0.18%"
"2024- 01- 17","2,780","2,945","2,945","2,750","115.62K","-5.60%"
"2024- 01- 16","2,945","2,900","3,000","2,900","59.51K","0.51%"
"2024- 01- 15","2,930","2,960","2,985","2,925","50.37K","-2.50%"
"2024- 01- 12","3,005","3,050","3,060","2,970","62.79K","-2.12%"
"2024- 01- 11","3,070","3,020","3,075","3,005","47.54K","1.66%"
"2024- 01- 10","3,020","3,130","3,130","3,015","65.26K","-3.05%"
"2024- 01- 09","3,115","3,065","3,170","3,065","73.57K","1.14%"
"2024- 01- 08","3,080","3,040","3,105","3,020","45.21K","1.32%"
"2024- 01- 05","3,040","3,085","3,130","3,010","46.62K","-1.62%"
"2024- 01- 04","3,090","3,190","3,190","3,050","73.13K","-3.13%"
"2024- 01- 03","3,190","3,155","3,215","3,115","78.73K","1.11%"
"2024- 01- 02","3,155","3,105","3,170","3,015","75.68K","1.61%"
