"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,490","5,440","5,500","5,420","3.37K","1.10%"
"2024- 05- 07","5,430","5,490","5,520","5,400","14.84K","-0.73%"
"2024- 05- 03","5,470","5,510","5,510","5,440","5.11K","0.00%"
"2024- 05- 02","5,470","5,500","5,500","5,430","25.37K","0.00%"
"2024- 04- 30","5,470","5,430","5,520","5,430","8.81K","0.00%"
"2024- 04- 29","5,470","5,430","5,480","5,420","8.93K","1.11%"
"2024- 04- 26","5,410","5,410","5,450","5,400","16.18K","0.00%"
"2024- 04- 25","5,410","5,450","5,480","5,410","7.57K","-0.92%"
"2024- 04- 24","5,460","5,450","5,480","5,420","6.16K","0.18%"
"2024- 04- 23","5,450","5,420","5,500","5,400","10.21K","0.55%"
"2024- 04- 22","5,420","5,400","5,450","5,380","6.69K","0.37%"
"2024- 04- 19","5,400","5,450","5,450","5,350","19.53K","-0.92%"
"2024- 04- 18","5,450","5,410","5,470","5,400","8.99K","0.74%"
"2024- 04- 17","5,410","5,410","5,450","5,400","4.87K","-0.37%"
"2024- 04- 16","5,430","5,490","5,500","5,410","12.09K","-1.45%"
"2024- 04- 15","5,510","5,560","5,560","5,470","11.06K","-1.43%"
"2024- 04- 12","5,590","5,640","5,650","5,590","7.56K","-0.89%"
"2024- 04- 11","5,640","5,740","5,740","5,610","5.28K","-1.05%"
"2024- 04- 09","5,700","5,660","5,710","5,640","5.09K","0.71%"
"2024- 04- 08","5,660","5,740","5,740","5,660","11.95K","-1.74%"
"2024- 04- 05","5,760","5,730","5,760","5,700","5.24K","0.35%"
"2024- 04- 04","5,740","5,780","5,820","5,740","25.55K","-1.71%"
"2024- 04- 03","5,840","5,890","5,890","5,760","12.04K","-0.34%"
"2024- 04- 02","5,860","5,970","5,970","5,860","19.74K","-2.01%"
"2024- 04- 01","5,980","5,940","5,980","5,920","7.44K","0.67%"
"2024- 03- 29","5,940","5,910","5,980","5,880","19.57K","0.68%"
"2024- 03- 28","5,900","5,920","5,940","5,890","8.14K","-0.51%"
"2024- 03- 27","5,930","6,070","6,070","5,920","11.22K","-1.00%"
"2024- 03- 26","5,990","6,000","6,080","5,910","13.71K","0.00%"
"2024- 03- 25","5,990","5,870","6,040","5,860","35.40K","2.04%"
"2024- 03- 22","5,870","5,880","5,910","5,820","14.65K","-0.51%"
"2024- 03- 21","5,900","5,900","5,930","5,880","8.01K","-0.17%"
"2024- 03- 20","5,910","5,830","5,970","5,830","30.91K","1.03%"
"2024- 03- 19","5,850","5,810","5,860","5,770","19.49K","0.69%"
"2024- 03- 18","5,810","5,890","5,890","5,790","21.01K","-1.19%"
"2024- 03- 15","5,880","5,890","5,910","5,830","0.13K","0.34%"
"2024- 03- 14","5,860","5,900","5,910","5,820","20.65K","-0.68%"
"2024- 03- 13","5,900","5,890","5,910","5,850","13.45K","0.17%"
"2024- 03- 12","5,890","5,900","5,950","5,810","12.14K","0.51%"
"2024- 03- 11","5,860","5,900","5,950","5,830","18.73K","-0.34%"
"2024- 03- 08","5,880","5,740","5,920","5,740","22.45K","2.26%"
