"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","22,900","22,750","23,850","22,500","342.84K","0.66%"
"2024- 05- 07","22,750","22,550","23,000","22,450","248.60K","3.17%"
"2024- 05- 03","22,050","22,200","22,400","21,950","169.03K","0.68%"
"2024- 05- 02","21,900","21,750","22,050","21,500","156.18K","-0.45%"
"2024- 04- 30","22,000","22,750","22,850","22,000","285.83K","-0.23%"
"2024- 04- 29","22,050","21,900","22,150","21,650","214.28K","2.32%"
"2024- 04- 26","21,550","21,550","21,750","20,750","321.00K","1.65%"
"2024- 04- 25","21,200","22,050","22,450","20,900","379.00K","-4.93%"
"2024- 04- 24","22,300","22,300","23,000","22,250","336.41K","2.06%"
"2024- 04- 23","21,850","22,500","22,700","21,850","178.74K","-1.58%"
"2024- 04- 22","22,200","22,000","22,350","21,700","240.56K","-0.45%"
"2024- 04- 19","22,300","23,300","23,400","21,700","396.48K","-5.31%"
"2024- 04- 18","23,550","23,000","23,750","22,950","213.31K","1.29%"
"2024- 04- 17","23,250","23,450","24,000","23,250","190.87K","-0.43%"
"2024- 04- 16","23,350","24,200","24,750","23,200","312.22K","-6.04%"
"2024- 04- 15","24,850","25,400","25,950","24,550","255.91K","-4.05%"
"2024- 04- 12","25,900","25,250","26,350","24,800","285.86K","3.60%"
"2024- 04- 11","25,000","24,650","25,350","24,250","142.22K","-0.60%"
"2024- 04- 09","25,150","25,150","26,200","25,100","124.63K","-0.40%"
"2024- 04- 08","25,250","26,250","26,300","25,200","168.06K","-1.56%"
"2024- 04- 05","25,650","26,300","26,400","25,600","155.00K","-3.39%"
"2024- 04- 04","26,550","25,800","26,550","25,800","186.39K","4.12%"
"2024- 04- 03","25,500","26,200","26,400","25,500","219.06K","-3.77%"
"2024- 04- 02","26,500","27,100","27,300","26,350","224.46K","-2.21%"
"2024- 04- 01","27,100","27,750","27,850","27,050","200.53K","-1.45%"
"2024- 03- 29","27,500","28,200","28,250","27,500","298.72K","-0.54%"
"2024- 03- 28","27,650","27,200","28,150","26,350","532.52K","2.41%"
"2024- 03- 27","27,000","26,150","27,150","25,800","258.79K","2.47%"
"2024- 03- 26","26,350","26,950","27,200","26,150","250.51K","-2.41%"
"2024- 03- 25","27,000","27,350","27,400","26,800","166.60K","0.00%"
"2024- 03- 22","27,000","27,900","27,900","27,000","216.98K","-2.53%"
"2024- 03- 21","27,700","28,100","28,350","27,600","256.31K","0.73%"
"2024- 03- 20","27,500","28,500","29,300","27,300","883.03K","2.61%"
"2024- 03- 19","26,800","27,600","27,650","26,550","257.52K","-2.90%"
"2024- 03- 18","27,600","27,750","27,750","27,100","197.59K","0.73%"
"2024- 03- 17","27,400","27,400","27,400","27,400","","0.55%"
"2024- 03- 15","27,250","27,750","27,800","26,700","34.67K","-0.37%"
"2024- 03- 14","27,350","28,400","28,400","26,800","3.03K","-6.66%"
"2024- 03- 13","29,300","30,700","30,700","29,300","0.48K","-2.66%"
"2024- 03- 12","30,100","29,400","30,150","28,850","441.48K","2.38%"
