"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","48,600","48,350","48,850","48,300","1.01M","0.21%"
"2024- 04- 29","48,500","47,650","48,600","47,600","945.27K","2.54%"
"2024- 04- 26","47,300","47,850","47,900","47,150","647.11K","-0.21%"
"2024- 04- 25","47,400","47,500","47,900","47,100","840.98K","-1.46%"
"2024- 04- 24","48,100","48,000","48,400","47,850","718.43K","1.26%"
"2024- 04- 23","47,500","48,700","48,700","47,050","1.75M","-3.06%"
"2024- 04- 22","49,000","49,450","49,650","48,450","636.00K","0.82%"
"2024- 04- 19","48,600","48,350","49,600","47,700","1.17M","-1.02%"
"2024- 04- 18","49,100","47,350","50,200","46,900","2.25M","4.69%"
"2024- 04- 17","46,900","46,700","48,000","46,850","1.03M","0.32%"
"2024- 04- 16","46,750","47,200","47,400","46,600","1.14M","-2.09%"
"2024- 04- 15","47,750","47,100","48,000","46,850","797.61K","-0.21%"
"2024- 04- 12","47,850","48,050","48,450","47,700","939.10K","-0.42%"
"2024- 04- 11","48,050","48,450","48,800","47,700","2.00M","-2.44%"
"2024- 04- 09","49,250","49,100","50,100","48,850","770.67K","0.20%"
"2024- 04- 08","49,150","48,850","49,750","48,300","1.00M","0.82%"
"2024- 04- 05","48,750","48,400","49,100","48,200","1.55M","-1.12%"
"2024- 04- 04","49,300","51,200","51,500","49,100","2.64M","-3.33%"
"2024- 04- 03","51,000","51,200","52,000","51,000","1.32M","-0.39%"
"2024- 04- 02","51,200","53,200","53,200","51,000","2.84M","-4.83%"
"2024- 04- 01","53,800","54,100","54,500","53,600","771.75K","0.19%"
"2024- 03- 29","53,700","54,500","54,900","53,500","865.69K","-1.29%"
"2024- 03- 28","54,400","54,800","55,700","54,400","950.37K","-0.73%"
"2024- 03- 27","54,800","54,200","55,200","53,900","773.65K","-0.18%"
"2024- 03- 26","54,900","54,200","55,200","53,900","1.16M","2.04%"
"2024- 03- 25","53,800","53,400","54,500","53,100","712.99K","0.37%"
"2024- 03- 22","53,600","53,600","54,300","53,300","877.41K","0.00%"
"2024- 03- 21","53,600","53,900","54,200","52,800","1.35M","1.32%"
"2024- 03- 20","52,900","52,400","53,200","52,300","861.82K","1.73%"
"2024- 03- 19","52,000","52,700","52,800","51,700","1.11M","-1.89%"
"2024- 03- 18","53,000","54,200","54,300","52,700","1.16M","-2.03%"
"2024- 03- 17","54,100","55,000","54,100","54,100","0.04K","0.00%"
