"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","25,100","25,000","25,250","24,850","661.11K","0.00%"
"2024- 04- 29","25,100","24,850","25,100","24,650","614.29K","1.83%"
"2024- 04- 26","24,650","24,600","24,950","24,500","441.21K","1.02%"
"2024- 04- 25","24,400","24,350","24,750","24,100","462.79K","-1.21%"
"2024- 04- 24","24,700","24,750","24,900","24,600","471.72K","0.82%"
"2024- 04- 23","24,500","24,550","24,750","24,400","352.67K","-0.81%"
"2024- 04- 22","24,700","24,300","24,700","24,150","488.30K","4.00%"
"2024- 04- 19","23,750","23,500","23,850","23,250","754.92K","-1.25%"
"2024- 04- 18","24,050","23,400","24,200","23,300","572.31K","3.66%"
"2024- 04- 17","23,200","23,850","24,100","23,200","714.67K","-2.52%"
"2024- 04- 16","23,800","24,300","24,500","23,700","861.78K","-3.84%"
"2024- 04- 15","24,750","24,550","24,800","24,000","603.10K","-0.40%"
"2024- 04- 12","24,850","25,750","25,900","24,800","1.14M","-4.97%"
"2024- 04- 11","26,150","25,000","26,150","24,950","981.79K","0.97%"
"2024- 04- 09","25,900","25,950","26,400","25,800","446.55K","0.58%"
"2024- 04- 08","25,750","25,450","25,900","24,800","609.75K","1.18%"
"2024- 04- 05","25,450","25,750","25,950","25,300","657.24K","-1.93%"
"2024- 04- 04","25,950","26,550","26,800","25,850","720.98K","-1.52%"
"2024- 04- 03","26,350","26,500","26,800","26,200","688.25K","-0.75%"
"2024- 04- 02","26,550","27,050","27,050","26,500","1.05M","-3.10%"
"2024- 04- 01","27,400","27,850","27,850","27,300","526.84K","-0.54%"
"2024- 03- 29","27,550","28,150","28,150","27,500","685.45K","-1.96%"
"2024- 03- 28","28,100","28,400","28,450","27,950","580.00K","-0.35%"
"2024- 03- 27","28,200","28,450","28,950","28,050","659.88K","-2.25%"
"2024- 03- 26","28,850","28,150","29,200","27,900","1.07M","3.78%"
"2024- 03- 25","27,800","28,100","28,200","27,650","459.63K","-1.07%"
"2024- 03- 22","28,100","28,000","28,500","27,950","428.60K","-0.53%"
"2024- 03- 21","28,250","28,350","28,500","28,000","742.23K","1.25%"
"2024- 03- 20","27,900","28,150","28,800","27,900","858.61K","0.18%"
"2024- 03- 19","27,850","27,650","28,100","27,300","805.12K","-0.36%"
"2024- 03- 18","27,950","28,500","28,550","27,750","796.44K","-1.58%"
"2024- 03- 17","28,400","29,200","28,400","28,400","0.30K","0.00%"
"2024- 03- 15","28,400","29,200","29,200","28,250","990.43K","-2.91%"
"2024- 03- 14","29,250","29,200","29,600","28,950","1.30M","0.52%"
"2024- 03- 13","29,100","29,150","29,300","28,750","571.41K","0.69%"
"2024- 03- 12","28,900","29,150","29,350","28,650","480.58K","0.00%"
"2024- 03- 11","28,900","28,600","29,100","28,350","390.79K","0.52%"
"2024- 03- 10","28,750","28,750","28,750","28,750","","0.00%"
"2024- 03- 08","28,750","29,100","29,500","28,500","702.77K","0.17%"
"2024- 03- 07","28,700","27,900","28,700","27,850","797.26K","3.80%"
"2024- 03- 06","27,650","27,300","28,150","27,300","556.38K","0.36%"
"2024- 03- 05","27,550","28,150","28,600","27,500","1.02M","-2.99%"
"2024- 03- 04","28,400","28,450","29,150","28,200","778.52K","-0.18%"
