"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","40,000","39,800","40,100","39,550","24.83K","0.38%"
"2024- 04- 29","39,850","38,850","39,850","38,850","40.06K","2.97%"
"2024- 04- 26","38,700","39,000","39,200","38,700","20.38K","0.00%"
"2024- 04- 25","38,700","38,750","39,000","38,600","19.82K","-0.77%"
"2024- 04- 24","39,000","39,200","39,500","38,850","23.81K","0.52%"
"2024- 04- 23","38,800","38,750","39,550","38,750","26.81K","-0.13%"
"2024- 04- 22","38,850","38,800","39,050","38,550","30.01K","1.04%"
"2024- 04- 19","38,450","38,350","38,850","38,000","39.11K","-0.52%"
"2024- 04- 18","38,650","38,600","38,800","38,400","24.59K","1.05%"
"2024- 04- 17","38,250","38,550","38,750","38,150","22.90K","-0.65%"
"2024- 04- 16","38,500","37,750","38,750","37,750","45.83K","0.52%"
"2024- 04- 15","38,300","38,900","38,950","38,200","40.20K","-1.92%"
"2024- 04- 12","39,050","39,500","39,500","39,050","31.35K","-1.14%"
"2024- 04- 11","39,500","39,800","39,850","38,950","43.28K","-0.88%"
"2024- 04- 09","39,850","39,800","40,400","39,600","35.29K","0.13%"
"2024- 04- 08","39,800","40,100","40,250","39,650","29.93K","-0.50%"
"2024- 04- 05","40,000","40,050","40,300","39,850","33.96K","-0.12%"
"2024- 04- 04","40,050","40,700","40,850","40,000","43.91K","-0.74%"
"2024- 04- 03","40,350","40,750","40,900","40,250","36.98K","-1.10%"
"2024- 04- 02","40,800","41,550","41,700","40,700","57.55K","-2.16%"
"2024- 04- 01","41,700","41,300","42,250","41,300","51.84K","1.09%"
"2024- 03- 29","41,250","42,100","42,800","40,500","88.72K","-2.71%"
"2024- 03- 28","42,400","44,000","44,050","42,250","79.06K","-2.53%"
"2024- 03- 27","43,500","43,350","44,100","43,100","64.02K","0.46%"
"2024- 03- 26","43,300","43,000","43,500","42,700","52.77K","0.46%"
"2024- 03- 25","43,100","41,650","43,200","41,400","63.74K","3.61%"
"2024- 03- 22","41,600","41,450","41,950","41,050","37.54K","0.48%"
"2024- 03- 21","41,400","41,700","42,150","41,250","36.54K","0.49%"
"2024- 03- 20","41,200","41,700","42,050","41,150","41.91K","-1.20%"
"2024- 03- 19","41,700","41,400","42,150","41,100","38.69K","0.24%"
"2024- 03- 18","41,600","41,100","41,850","41,050","34.51K","0.24%"
"2024- 03- 15","41,500","41,100","41,550","40,950","3.99K","-0.72%"
"2024- 03- 14","41,800","42,050","42,650","41,800","42.24K","-0.48%"
