"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","21,600","22,050","22,100","21,350","68.55K","-1.14%"
"2024- 05- 07","21,850","22,550","22,500","21,850","50.35K","-1.58%"
"2024- 05- 03","22,200","22,400","22,450","21,950","47.06K","0.00%"
"2024- 05- 02","22,200","22,000","22,450","21,950","36.93K","0.91%"
"2024- 04- 30","22,000","22,150","22,150","21,750","54.52K","-0.68%"
"2024- 04- 29","22,150","21,650","22,150","21,300","68.34K","3.50%"
"2024- 04- 26","21,400","21,250","21,500","21,050","39.27K","0.71%"
"2024- 04- 25","21,250","21,050","21,600","20,950","58.08K","0.00%"
"2024- 04- 24","21,250","21,350","21,450","20,900","56.33K","1.92%"
"2024- 04- 23","20,850","21,150","21,450","20,700","54.71K","-2.11%"
"2024- 04- 22","21,300","20,500","21,600","20,400","139.25K","5.19%"
"2024- 04- 19","20,250","20,250","20,350","19,260","187.73K","-0.98%"
"2024- 04- 18","20,450","20,000","20,550","19,860","68.99K","2.00%"
"2024- 04- 17","20,050","20,350","20,750","20,050","90.93K","-0.99%"
"2024- 04- 16","20,250","20,350","21,100","20,100","164.17K","-0.25%"
"2024- 04- 15","20,300","22,600","22,700","20,150","474.03K","-10.57%"
"2024- 04- 12","22,700","21,950","23,100","21,550","195.29K","4.85%"
"2024- 04- 11","21,650","21,250","22,000","20,950","95.83K","0.23%"
"2024- 04- 09","21,600","21,000","21,750","20,900","92.44K","2.86%"
"2024- 04- 08","21,000","21,600","21,600","20,850","101.02K","-2.55%"
"2024- 04- 05","21,550","21,500","22,200","21,400","88.89K","-1.15%"
"2024- 04- 04","21,800","22,450","22,450","21,650","163.41K","-1.58%"
"2024- 04- 03","22,150","22,900","22,950","22,000","162.48K","-3.70%"
"2024- 04- 02","23,000","24,000","24,050","22,850","200.76K","-3.97%"
"2024- 04- 01","23,950","23,000","24,300","22,850","218.04K","5.04%"
"2024- 03- 29","22,800","23,050","23,400","22,650","115.45K","0.00%"
"2024- 03- 28","22,800","23,050","23,300","22,700","158.27K","-1.08%"
"2024- 03- 27","23,050","23,550","23,800","22,550","175.61K","-1.91%"
"2024- 03- 26","23,500","23,200","24,450","22,850","237.54K","0.86%"
"2024- 03- 25","23,300","22,650","23,900","22,400","177.16K","2.64%"
"2024- 03- 22","22,700","22,850","23,050","22,300","107.40K","0.44%"
"2024- 03- 21","22,600","23,150","23,400","22,350","183.61K","-1.09%"
"2024- 03- 20","22,850","24,550","24,700","22,750","305.79K","-6.54%"
"2024- 03- 19","24,450","24,550","25,200","24,350","212.74K","-0.61%"
"2024- 03- 18","24,600","23,650","24,700","23,650","245.94K","1.86%"
"2024- 03- 17","24,150","23,650","24,150","23,700","23.99K","0.84%"
