"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","1,343","1,348","1,371","1,333","520.87K","-0.30%"
"2024- 05- 07","1,347","1,356","1,361","1,341","354.84K","-0.59%"
"2024- 05- 03","1,355","1,351","1,359","1,336","377.16K","1.88%"
"2024- 05- 02","1,330","1,331","1,350","1,318","238.53K","-0.45%"
"2024- 04- 30","1,336","1,325","1,358","1,325","412.42K","-0.22%"
"2024- 04- 29","1,339","1,315","1,342","1,315","212.80K","1.52%"
"2024- 04- 26","1,319","1,336","1,347","1,315","328.55K","-1.57%"
"2024- 04- 25","1,340","1,337","1,347","1,329","241.96K","-0.22%"
"2024- 04- 24","1,343","1,319","1,350","1,319","407.66K","2.36%"
"2024- 04- 23","1,312","1,335","1,354","1,312","490.31K","-1.58%"
"2024- 04- 22","1,333","1,395","1,395","1,324","1.34M","0.23%"
"2024- 04- 19","1,330","1,341","1,356","1,308","421.77K","-1.92%"
"2024- 04- 18","1,356","1,300","1,370","1,300","687.23K","4.31%"
"2024- 04- 17","1,300","1,300","1,331","1,294","350.53K","-0.38%"
"2024- 04- 16","1,305","1,356","1,385","1,270","1.80M","-3.48%"
"2024- 04- 15","1,352","1,350","1,374","1,251","1.45M","-1.24%"
"2024- 04- 12","1,369","1,360","1,380","1,341","1.41M","0.88%"
"2024- 04- 11","1,357","1,307","1,410","1,305","4.24M","3.59%"
"2024- 04- 09","1,310","1,277","1,394","1,264","5.36M","1.55%"
"2024- 04- 08","1,290","1,332","1,423","1,290","8.64M","-0.54%"
"2024- 04- 05","1,297","1,322","1,322","1,281","1.14M","-2.63%"
"2024- 04- 04","1,332","1,325","1,339","1,321","671.92K","0.53%"
"2024- 04- 03","1,325","1,342","1,353","1,320","1.00M","-1.27%"
"2024- 04- 02","1,342","1,371","1,375","1,333","1.47M","-2.40%"
"2024- 04- 01","1,375","1,341","1,381","1,341","2.62M","1.33%"
"2024- 03- 29","1,357","1,412","1,420","1,357","4.06M","-5.96%"
"2024- 03- 28","1,443","1,461","1,524","1,421","14.51M","-2.96%"
"2024- 03- 27","1,487","1,721","1,736","1,487","43.01M","-7.87%"
"2024- 03- 26","1,614","1,241","1,614","1,241","61.16M","29.95%"
"2024- 03- 25","1,242","1,240","1,253","1,239","249.37K","-0.56%"
"2024- 03- 22","1,249","1,254","1,260","1,240","110.41K","-0.48%"
"2024- 03- 21","1,255","1,259","1,265","1,252","80.91K","-0.71%"
"2024- 03- 20","1,264","1,247","1,264","1,240","175.23K","1.36%"
"2024- 03- 19","1,247","1,270","1,271","1,240","143.48K","-0.40%"
"2024- 03- 18","1,252","1,244","1,255","1,243","111.63K","-0.24%"
"2024- 03- 15","1,255","1,244","1,295","1,243","23.44K","-0.16%"
"2024- 03- 14","1,257","1,252","1,257","1,244","168.11K","0.56%"
"2024- 03- 13","1,250","1,248","1,266","1,242","134.85K","-0.40%"
"2024- 03- 12","1,255","1,257","1,259","1,240","238.24K","-0.08%"
"2024- 03- 11","1,256","1,255","1,273","1,255","92.59K","-0.79%"
"2024- 03- 08","1,266","1,262","1,274","1,260","49.92K","0.16%"
"2024- 03- 07","1,264","1,260","1,276","1,259","133.39K","0.16%"
"2024- 03- 06","1,262","1,272","1,280","1,255","142.09K","-1.33%"
"2024- 03- 05","1,279","1,271","1,280","1,262","176.50K","0.31%"
"2024- 03- 04","1,275","1,277","1,283","1,270","208.65K","-0.62%"
"2024- 03- 03","1,283","1,283","1,283","1,283","","0.00%"
"2024- 02- 29","1,283","1,277","1,294","1,270","156.77K","-0.16%"
"2024- 02- 28","1,285","1,285","1,295","1,276","200.85K","0.00%"
"2024- 02- 27","1,285","1,310","1,310","1,285","0.01K","-1.98%"
"2024- 02- 26","1,311","1,312","1,325","1,294","161.68K","-0.08%"
"2024- 02- 23","1,312","1,400","1,400","1,312","782.92K","-2.45%"
"2024- 02- 22","1,345","1,336","1,345","1,317","0.04K","1.59%"
"2024- 02- 21","1,324","1,325","1,338","1,324","96.51K","-0.97%"
"2024- 02- 20","1,337","1,340","1,346","1,329","135.24K","-0.22%"
"2024- 02- 19","1,340","1,338","1,341","1,332","132.11K","0.60%"
"2024- 02- 16","1,332","1,333","1,342","1,321","160.28K","-0.08%"
"2024- 02- 15","1,333","1,305","1,343","1,305","0.11K","1.83%"
"2024- 02- 14","1,309","1,282","1,309","1,282","139.49K","0.54%"
"2024- 02- 13","1,302","1,320","1,320","1,299","77.16K","0.39%"
"2024- 02- 08","1,297","1,285","1,305","1,282","102.92K","1.09%"
"2024- 02- 07","1,283","1,281","1,291","1,278","114.94K","0.16%"
"2024- 02- 06","1,281","1,290","1,300","1,277","179.12K","-0.77%"
"2024- 02- 05","1,291","1,305","1,308","1,291","157.36K","-1.00%"
"2024- 02- 02","1,304","1,304","1,329","1,302","146.84K","0.08%"
"2024- 02- 01","1,303","1,300","1,308","1,289","185.41K","-0.15%"
"2024- 01- 31","1,305","1,347","1,354","1,305","0.06K","-2.97%"
"2024- 01- 30","1,345","1,355","1,368","1,323","437.62K","-0.59%"
"2024- 01- 29","1,353","1,380","1,400","1,351","623.74K","-0.81%"
"2024- 01- 26","1,364","1,345","1,387","1,339","298.18K","1.72%"
"2024- 01- 25","1,341","1,390","1,390","1,333","478.89K","-1.83%"
"2024- 01- 24","1,366","1,363","1,379","1,342","730.52K","0.81%"
"2024- 01- 23","1,355","1,307","1,398","1,295","1.62K","4.07%"
"2024- 01- 22","1,302","1,308","1,319","1,298","174.39K","-0.31%"
"2024- 01- 21","1,306","1,306","1,306","1,306","","0.00%"
"2024- 01- 19","1,306","1,269","1,340","1,269","596.91K","2.75%"
"2024- 01- 18","1,271","1,265","1,284","1,257","263.89K","0.47%"
"2024- 01- 17","1,265","1,305","1,310","1,264","410.21K","-2.84%"
"2024- 01- 16","1,302","1,322","1,337","1,302","237.25K","-1.96%"
"2024- 01- 15","1,328","1,330","1,339","1,317","0.44K","-0.15%"
"2024- 01- 12","1,330","1,354","1,366","1,321","230.21K","-1.63%"
"2024- 01- 11","1,352","1,341","1,389","1,341","533.67K","0.97%"
"2024- 01- 10","1,339","1,350","1,361","1,328","0.18K","-0.96%"
"2024- 01- 09","1,352","1,355","1,364","1,340","398.04K","0.52%"
"2024- 01- 08","1,345","1,295","1,367","1,295","755.91K","3.86%"
"2024- 01- 05","1,295","1,301","1,301","1,289","86.63K","0.08%"
"2024- 01- 04","1,294","1,304","1,305","1,290","151.06K","-0.77%"
"2024- 01- 03","1,304","1,316","1,319","1,296","173.01K","-0.91%"
"2024- 01- 02","1,316","1,293","1,320","1,287","243.98K","2.02%"
