"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 07","4,335","4,330","4,405","4,300","56.93K","0.70%"
"2024- 05- 03","4,305","4,315","4,400","4,275","37.73K","-0.69%"
"2024- 05- 02","4,335","4,370","4,400","4,250","57.04K","-0.80%"
"2024- 04- 30","4,370","4,380","4,465","4,330","40.78K","-0.34%"
"2024- 04- 29","4,385","4,320","4,400","4,290","79.59K","2.33%"
"2024- 04- 26","4,285","4,300","4,350","4,205","48.58K","-0.35%"
"2024- 04- 25","4,300","4,300","4,320","4,240","42.81K","0.82%"
"2024- 04- 24","4,265","4,215","4,320","4,210","47.21K","1.79%"
"2024- 04- 23","4,190","4,300","4,345","4,190","67.52K","-2.56%"
"2024- 04- 22","4,300","4,260","4,355","4,215","43.03K","2.38%"
"2024- 04- 19","4,200","4,290","4,320","4,110","44.53K","-3.00%"
"2024- 04- 18","4,330","4,295","4,345","4,210","47.28K","0.70%"
"2024- 04- 17","4,300","4,230","4,385","4,140","64.93K","1.78%"
"2024- 04- 16","4,225","4,320","4,350","4,170","134.82K","-3.10%"
"2024- 04- 15","4,360","4,430","4,490","4,320","101.90K","-3.33%"
"2024- 04- 12","4,510","4,360","4,550","4,355","77.26K","3.44%"
"2024- 04- 11","4,360","4,360","4,395","4,260","55.63K","0.11%"
"2024- 04- 09","4,355","4,350","4,460","4,350","65.99K","-1.25%"
"2024- 04- 08","4,410","4,450","4,500","4,330","100.01K","-0.90%"
"2024- 04- 05","4,450","4,420","4,460","4,330","103.95K","0.45%"
"2024- 04- 04","4,430","4,455","4,520","4,395","80.29K","-0.56%"
"2024- 04- 03","4,455","4,600","4,600","4,435","121.40K","-3.26%"
"2024- 04- 02","4,605","4,810","4,810","4,585","121.05K","-3.66%"
"2024- 04- 01","4,780","4,560","4,870","4,560","104.61K","4.94%"
"2024- 03- 29","4,555","4,540","4,675","4,540","101.84K","-0.65%"
"2024- 03- 28","4,585","4,560","4,685","4,560","171.44K","-2.13%"
"2024- 03- 27","4,685","4,815","4,845","4,685","124.03K","-2.70%"
"2024- 03- 26","4,815","4,810","4,885","4,690","175.19K","0.10%"
"2024- 03- 25","4,810","5,110","5,110","4,810","352.45K","-6.05%"
"2024- 03- 22","5,120","5,200","5,240","5,100","104.11K","-1.92%"
"2024- 03- 21","5,220","5,200","5,290","5,170","109.17K","1.56%"
"2024- 03- 20","5,140","5,150","5,200","5,100","115.89K","-0.39%"
"2024- 03- 19","5,160","5,260","5,270","5,160","95.86K","-2.09%"
"2024- 03- 18","5,270","5,150","5,270","5,150","108.49K","2.73%"
"2024- 03- 17","5,130","5,130","5,130","5,130","","0.00%"
"2024- 03- 15","5,130","5,250","5,300","5,080","0.19K","-3.39%"
"2024- 03- 14","5,310","5,480","5,530","5,310","0.31K","-2.75%"
"2024- 03- 13","5,460","5,650","5,680","5,450","388.33K","-3.87%"
"2024- 03- 12","5,680","5,880","5,900","5,630","0.00K","-1.39%"
"2024- 03- 11","5,760","5,580","5,810","5,580","0.07K","3.41%"
"2024- 03- 10","5,570","5,570","5,570","5,570","","0.00%"
"2024- 03- 08","5,570","5,460","5,630","5,440","294.11K","0.91%"
"2024- 03- 07","5,520","5,710","5,740","5,520","0.60K","-3.83%"
"2024- 03- 06","5,740","5,650","5,800","5,450","0.00K","-0.52%"
"2024- 03- 05","5,770","6,040","6,620","5,730","5.73M","-3.03%"
"2024- 03- 04","5,950","5,790","6,040","5,650","0.13K","0.85%"
"2024- 03- 03","5,900","5,900","5,900","5,900","","0.00%"
"2024- 02- 29","5,900","6,000","6,130","5,840","1.74M","1.55%"
