"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","5,130","5,100","5,130","5,070","24.32K","0.59%"
"2024- 05- 07","5,100","5,100","5,140","5,030","30.65K","0.20%"
"2024- 05- 03","5,090","5,150","5,150","5,050","14.91K","0.00%"
"2024- 05- 02","5,090","5,120","5,150","5,060","19.87K","-0.59%"
"2024- 04- 30","5,120","5,030","5,140","5,040","20.67K","1.39%"
"2024- 04- 29","5,050","4,985","5,060","4,985","30.61K","1.30%"
"2024- 04- 26","4,985","5,070","5,070","4,925","100.03K","-1.68%"
"2024- 04- 25","5,070","5,130","5,130","5,000","42.34K","-1.17%"
"2024- 04- 24","5,130","5,080","5,130","5,050","24.85K","1.18%"
"2024- 04- 23","5,070","5,050","5,080","5,010","22.46K","0.60%"
"2024- 04- 22","5,040","4,990","5,050","4,930","104.63K","0.90%"
"2024- 04- 19","4,995","5,140","5,150","4,945","56.79K","-2.44%"
"2024- 04- 18","5,120","5,060","5,120","5,030","24.53K","1.19%"
"2024- 04- 17","5,060","5,110","5,120","5,000","63.74K","-1.17%"
"2024- 04- 16","5,120","5,210","5,270","4,930","236.65K","-2.85%"
"2024- 04- 15","5,270","5,270","5,320","5,210","27.68K","-0.94%"
"2024- 04- 12","5,320","5,300","5,380","5,270","31.14K","-0.37%"
"2024- 04- 11","5,340","5,400","5,400","5,290","20.28K","-1.11%"
"2024- 04- 09","5,400","5,380","5,400","5,290","29.97K","0.37%"
"2024- 04- 08","5,380","5,480","5,480","5,280","47.58K","-0.74%"
"2024- 04- 05","5,420","5,400","5,440","5,360","17.65K","0.18%"
"2024- 04- 04","5,410","5,450","5,490","5,370","22.30K","-0.73%"
"2024- 04- 03","5,450","5,400","5,530","5,360","35.19K","0.00%"
"2024- 04- 02","5,450","5,520","5,540","5,340","62.38K","-1.27%"
"2024- 04- 01","5,520","5,500","5,550","5,450","29.98K","0.36%"
"2024- 03- 29","5,500","5,570","5,620","5,500","29.51K","-0.18%"
"2024- 03- 28","5,510","5,500","5,560","5,480","22.69K","-0.36%"
"2024- 03- 27","5,530","5,500","5,560","5,480","33.31K","0.55%"
"2024- 03- 26","5,500","5,460","5,530","5,460","28.01K","0.73%"
"2024- 03- 25","5,460","5,550","5,550","5,440","37.69K","-1.80%"
"2024- 03- 22","5,560","5,570","5,570","5,520","27.39K","-0.18%"
"2024- 03- 21","5,570","5,560","5,580","5,490","78.94K","-0.18%"
"2024- 03- 20","5,580","5,590","5,660","5,560","27.29K","0.00%"
"2024- 03- 19","5,580","5,620","5,660","5,580","27.08K","-0.36%"
"2024- 03- 18","5,600","5,570","5,620","5,560","25.99K","0.00%"
"2024- 03- 15","5,600","5,570","5,640","5,550","2.61K","0.00%"
"2024- 03- 14","5,600","5,560","5,640","5,540","28.02K","0.36%"
"2024- 03- 13","5,580","5,600","5,620","5,550","27.18K","-0.36%"
"2024- 03- 12","5,600","5,620","5,620","5,540","42.74K","0.00%"
"2024- 03- 11","5,600","5,610","5,630","5,530","26.73K","1.27%"
"2024- 03- 08","5,530","5,600","5,650","5,500","47.12K","-1.25%"
"2024- 03- 07","5,600","5,720","5,790","5,250","289.97K","-2.27%"
"2024- 03- 06","5,730","5,760","5,830","5,720","43.69K","-1.38%"
"2024- 03- 05","5,810","5,900","5,960","5,800","44.16K","-1.53%"
"2024- 03- 04","5,900","5,930","5,960","5,860","32.89K","0.68%"
"2024- 02- 29","5,860","5,840","5,900","5,810","42.10K","0.51%"
"2024- 02- 28","5,830","5,950","5,950","5,830","37.72K","-0.68%"
"2024- 02- 27","5,870","5,920","5,980","5,820","51.76K","-0.68%"
"2024- 02- 26","5,910","6,060","6,060","5,880","0.17K","-1.17%"
"2024- 02- 23","5,980","6,080","6,090","5,960","47.73K","-0.83%"
"2024- 02- 22","6,030","6,140","6,150","6,020","43.90K","-1.15%"
"2024- 02- 21","6,100","6,150","6,250","6,100","74.45K","-0.49%"
"2024- 02- 20","6,130","6,220","6,230","6,100","59.80K","-1.45%"
"2024- 02- 19","6,220","6,000","6,230","6,000","142.78K","3.67%"
"2024- 02- 16","6,000","6,040","6,040","5,950","39.47K","-0.83%"
"2024- 02- 15","6,050","6,070","6,080","5,990","47.17K","-0.17%"
"2024- 02- 14","6,060","5,940","6,070","5,920","48.85K","1.51%"
"2024- 02- 13","5,970","5,930","6,050","5,920","51.73K","1.02%"
"2024- 02- 08","5,910","5,930","6,050","5,880","46.15K","0.17%"
"2024- 02- 07","5,900","5,930","6,090","5,880","49.70K","-0.67%"
"2024- 02- 06","5,940","6,070","6,070","5,900","44.20K","-1.00%"
"2024- 02- 05","6,000","6,100","6,100","5,970","32.30K","-0.50%"
"2024- 02- 02","6,030","6,070","6,140","6,010","62.93K","-0.33%"
"2024- 02- 01","6,050","5,910","6,090","5,910","43.27K","1.51%"
"2024- 01- 31","5,960","6,060","6,230","5,960","0.00K","-1.97%"
"2024- 01- 30","6,080","6,200","6,300","6,040","0.01K","-1.46%"
"2024- 01- 29","6,170","6,180","6,440","6,160","170.35K","0.00%"
"2024- 01- 26","6,170","6,110","6,250","6,060","41.12K","0.98%"
"2024- 01- 25","6,110","6,240","6,240","6,020","89.27K","-1.61%"
"2024- 01- 24","6,210","6,320","6,360","6,170","78.32K","-1.11%"
"2024- 01- 23","6,280","6,300","6,390","6,210","164.86K","1.45%"
"2024- 01- 22","6,190","6,230","6,330","6,140","85.87K","0.00%"
"2024- 01- 21","6,190","6,190","6,190","6,190","","0.00%"
"2024- 01- 19","6,190","6,180","6,340","6,140","209.70K","0.49%"
"2024- 01- 18","6,160","5,880","6,250","5,880","132.53K","4.76%"
"2024- 01- 17","5,880","6,140","6,230","5,880","186.68K","-4.23%"
"2024- 01- 16","6,140","6,300","6,440","6,140","2.10K","-3.46%"
"2024- 01- 15","6,360","6,270","6,640","6,190","1.00M","1.92%"
"2024- 01- 14","6,240","6,240","6,240","6,240","","0.00%"
"2024- 01- 12","6,240","6,250","6,400","6,170","271.18K","0.97%"
"2024- 01- 11","6,180","6,250","6,310","6,150","1.58K","-0.48%"
"2024- 01- 10","6,210","6,320","6,440","6,200","366.64K","-3.27%"
"2024- 01- 09","6,420","6,110","6,420","6,060","2.10K","4.90%"
"2024- 01- 08","6,120","6,050","6,180","6,020","219.57K","1.16%"
"2024- 01- 05","6,050","5,920","6,050","5,900","81.05K","3.24%"
"2024- 01- 04","5,860","6,030","6,050","5,860","103.02K","-2.82%"
"2024- 01- 03","6,030","5,980","6,060","5,970","75.69K","-0.33%"
"2024- 01- 02","6,050","6,010","6,100","5,990","116.00K","1.00%"
