"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,420","4,460","4,455","4,390","18.48K","0.34%"
"2024- 05- 07","4,405","4,460","4,465","4,380","27.94K","-1.34%"
"2024- 05- 03","4,465","4,475","4,495","4,440","15.65K","-0.22%"
"2024- 05- 02","4,475","4,540","4,550","4,390","36.94K","-1.43%"
"2024- 04- 30","4,540","4,440","4,575","4,395","56.05K","2.25%"
"2024- 04- 29","4,440","4,340","4,445","4,280","70.24K","3.02%"
"2024- 04- 26","4,310","4,340","4,340","4,195","72.92K","0.23%"
"2024- 04- 25","4,300","4,270","4,310","4,200","39.70K","0.70%"
"2024- 04- 24","4,270","4,285","4,290","4,205","45.98K","1.07%"
"2024- 04- 23","4,225","4,230","4,300","4,180","63.95K","0.96%"
"2024- 04- 22","4,185","4,195","4,295","4,170","72.94K","-1.53%"
"2024- 04- 19","4,250","4,295","4,310","4,120","78.89K","-1.05%"
"2024- 04- 18","4,295","4,270","4,450","4,250","81.72K","-1.04%"
"2024- 04- 17","4,340","4,470","4,470","4,280","49.56K","-0.46%"
"2024- 04- 16","4,360","4,415","4,470","4,280","65.96K","-2.24%"
"2024- 04- 15","4,460","4,540","4,540","4,405","33.86K","-1.76%"
"2024- 04- 12","4,540","4,480","4,545","4,400","30.53K","1.34%"
"2024- 04- 11","4,480","4,455","4,540","4,455","17.30K","-0.99%"
"2024- 04- 09","4,525","4,540","4,625","4,465","46.29K","-0.66%"
"2024- 04- 08","4,555","4,695","4,695","4,505","24.18K","-0.11%"
"2024- 04- 05","4,560","4,580","4,680","4,535","137.41K","-2.15%"
"2024- 04- 04","4,660","4,770","4,770","4,590","88.54K","-2.31%"
"2024- 04- 03","4,770","4,795","4,870","4,700","40.88K","-1.04%"
"2024- 04- 02","4,820","5,010","5,020","4,815","61.70K","-3.79%"
"2024- 04- 01","5,010","4,720","5,030","4,605","185.00K","8.09%"
"2024- 03- 29","4,635","4,700","4,700","4,590","45.18K","-1.38%"
"2024- 03- 28","4,700","4,680","4,720","4,625","38.62K","0.43%"
"2024- 03- 27","4,680","4,730","4,810","4,580","124.89K","-1.06%"
"2024- 03- 26","4,730","4,800","4,850","4,685","61.37K","-1.05%"
"2024- 03- 25","4,780","4,540","4,820","4,370","119.14K","5.29%"
"2024- 03- 22","4,540","4,600","4,690","4,420","222.71K","-1.30%"
"2024- 03- 21","4,600","4,625","4,750","4,560","209.82K","0.22%"
"2024- 03- 20","4,590","4,280","4,650","4,280","346.04K","7.24%"
"2024- 03- 19","4,280","4,470","4,500","4,210","215.99K","-4.25%"
"2024- 03- 18","4,470","4,495","4,550","4,405","233.92K","-0.78%"
"2024- 03- 15","4,505","4,495","4,595","4,375","1.53K","-1.96%"
"2024- 03- 14","4,595","4,860","4,860","4,430","246.30K","-3.97%"
"2024- 03- 13","4,785","4,850","4,900","4,700","93.05K","0.42%"
"2024- 03- 12","4,765","4,950","4,950","4,670","167.05K","-1.85%"
"2024- 03- 11","4,855","4,990","5,000","4,835","75.28K","-2.61%"
"2024- 03- 08","4,985","5,090","5,240","4,955","99.77K","0.10%"
"2024- 03- 07","4,980","5,090","5,100","4,900","129.81K","-2.16%"
"2024- 03- 06","5,090","5,200","5,250","5,080","65.82K","-3.23%"
"2024- 03- 05","5,260","5,350","5,380","5,260","33.88K","-2.59%"
"2024- 03- 04","5,400","5,460","5,490","5,260","82.08K","-0.18%"
"2024- 02- 29","5,410","5,260","5,420","5,220","59.62K","3.64%"
"2024- 02- 28","5,220","5,200","5,240","5,150","40.94K","0.38%"
"2024- 02- 27","5,200","5,220","5,300","5,030","116.88K","0.58%"
"2024- 02- 26","5,170","5,290","5,310","5,090","67.95K","-0.96%"
