"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","151,800","155,600","155,900","151,800","92.63K","-0.52%"
"2024- 04- 29","152,600","147,600","152,900","144,500","110.19K","3.32%"
"2024- 04- 26","147,700","149,500","151,000","145,700","85.92K","-0.61%"
"2024- 04- 25","148,600","151,500","155,800","148,200","158.07K","-1.46%"
"2024- 04- 24","150,800","151,100","153,300","148,400","120.20K","2.24%"
"2024- 04- 23","147,500","150,100","152,600","147,500","90.92K","-2.77%"
"2024- 04- 22","151,700","150,200","154,300","149,200","150.81K","1.68%"
"2024- 04- 19","149,200","146,000","152,200","144,500","159.57K","1.63%"
"2024- 04- 18","146,800","141,500","148,500","141,500","101.68K","3.09%"
"2024- 04- 17","142,400","143,000","147,300","142,000","141.85K","1.35%"
"2024- 04- 16","140,500","137,700","143,600","138,000","140.74K","0.29%"
"2024- 04- 15","140,100","142,100","142,800","140,000","148.34K","-3.38%"
"2024- 04- 12","145,000","149,700","150,600","144,600","179.28K","-2.49%"
"2024- 04- 11","148,700","148,500","152,400","148,600","107.58K","-1.52%"
"2024- 04- 09","151,000","152,500","156,000","149,600","113.90K","-0.79%"
"2024- 04- 08","152,200","149,700","153,800","147,000","180.24K","0.26%"
"2024- 04- 05","151,800","155,200","156,500","151,300","137.86K","-3.25%"
"2024- 04- 04","156,900","154,500","157,700","151,200","168.36K","1.55%"
"2024- 04- 03","154,500","155,900","160,100","152,800","204.11K","-2.95%"
"2024- 04- 02","159,200","158,100","162,100","158,100","110.31K","-0.62%"
"2024- 04- 01","160,200","159,800","163,700","158,500","138.36K","0.13%"
"2024- 03- 29","160,000","160,400","163,000","159,500","181.34K","-1.42%"
"2024- 03- 28","162,300","170,000","170,200","161,100","257.63K","-4.13%"
"2024- 03- 27","169,300","168,300","170,200","165,300","114.60K","0.65%"
"2024- 03- 26","168,200","172,200","173,500","168,000","136.59K","-1.81%"
"2024- 03- 25","171,300","169,100","175,600","168,300","180.55K","1.24%"
"2024- 03- 22","169,200","169,500","171,200","167,600","98.83K","-0.18%"
"2024- 03- 21","169,500","170,200","171,500","168,600","108.14K","0.59%"
"2024- 03- 20","168,500","175,900","176,300","167,700","178.95K","-3.71%"
"2024- 03- 19","175,000","178,500","179,100","172,700","143.27K","-1.41%"
"2024- 03- 18","177,500","178,900","178,900","173,400","171.39K","0.17%"
"2024- 03- 17","177,200","177,200","177,200","177,200","","0.00%"
"2024- 03- 15","177,200","173,700","181,000","172,000","0.00K","1.20%"
"2024- 03- 14","175,100","175,800","179,600","174,700","0.01K","-0.68%"
"2024- 03- 13","176,300","175,400","180,900","172,900","0.19K","0.46%"
"2024- 03- 12","175,500","168,200","175,500","167,800","0.45K","4.71%"
"2024- 03- 11","167,600","165,800","169,100","164,000","0.18K","0.42%"
"2024- 03- 10","166,900","166,900","166,900","166,900","","0.00%"
"2024- 03- 08","166,900","171,100","174,900","165,000","250.18K","-2.85%"
"2024- 03- 07","171,800","168,700","172,900","168,000","0.00K","2.02%"
"2024- 03- 06","168,400","170,000","173,000","167,400","158.60K","-1.29%"
"2024- 03- 05","170,600","173,000","176,200","170,200","195.01K","-2.35%"
"2024- 03- 04","174,700","179,400","179,800","173,400","0.15K","-1.36%"
"2024- 03- 03","177,100","177,100","177,100","177,100","","0.00%"
"2024- 02- 29","177,100","173,000","179,600","172,000","318.36K","3.21%"
"2024- 02- 28","171,600","179,700","181,900","169,700","0.04K","-4.03%"
"2024- 02- 27","178,800","181,500","184,500","176,500","222.32K","0.00%"
"2024- 02- 26","178,800","177,700","182,600","174,500","214.70K","0.45%"
"2024- 02- 25","178,000","178,000","178,000","178,000","","0.00%"
"2024- 02- 23","178,000","181,200","181,800","174,000","333.68K","-2.31%"
"2024- 02- 22","182,200","184,200","185,800","179,100","0.06K","-1.25%"
"2024- 02- 21","184,500","185,600","194,300","182,100","566.02K","-0.65%"
"2024- 02- 20","185,700","170,300","186,000","169,400","0.16K","8.98%"
"2024- 02- 19","170,400","175,100","175,600","169,200","0.01K","-3.07%"
"2024- 02- 18","175,800","175,800","175,800","175,800","","0.00%"
"2024- 02- 16","175,800","168,500","180,000","167,100","704.93K","6.22%"
"2024- 02- 15","165,500","165,200","167,000","161,500","0.01K","0.67%"
"2024- 02- 14","164,400","156,000","168,500","154,300","0.11K","4.65%"
"2024- 02- 13","157,100","161,400","161,400","154,300","0.51K","-1.75%"
"2024- 02- 08","159,900","156,600","164,200","155,500","396.42K","4.65%"
"2024- 02- 07","152,800","156,000","157,100","149,300","223.14K","0.59%"
"2024- 02- 06","151,900","150,000","155,100","147,000","254.05K","0.00%"
"2024- 02- 05","151,900","147,300","152,300","146,100","0.03K","3.69%"
"2024- 02- 04","146,500","146,500","146,500","146,500","","0.00%"
"2024- 02- 02","146,500","142,400","147,000","140,000","224.28K","4.72%"
"2024- 02- 01","139,900","133,300","139,900","133,300","0.01K","4.95%"
"2024- 01- 31","133,300","130,600","138,900","130,600","0.02K","3.09%"
"2024- 01- 30","129,300","135,800","136,900","129,100","0.02K","-3.07%"
"2024- 01- 29","133,400","137,000","139,000","132,700","0.01K","-1.19%"
"2024- 01- 26","135,000","129,800","136,300","129,400","151.34K","3.93%"
"2024- 01- 25","129,900","128,100","132,500","126,500","0.19K","-0.69%"
"2024- 01- 24","130,800","132,700","133,000","129,400","0.01K","-1.43%"
"2024- 01- 23","132,700","130,400","135,300","128,900","0.06K","-0.23%"
"2024- 01- 22","133,000","136,500","142,100","128,600","0.03K","-4.04%"
"2024- 01- 21","138,600","138,600","138,600","138,600","","0.00%"
"2024- 01- 19","138,600","139,000","142,600","132,200","261.41K","0.73%"
"2024- 01- 18","137,600","138,800","140,500","137,000","0.10K","-1.08%"
"2024- 01- 17","139,100","140,000","140,900","139,000","0.14K","-1.56%"
"2024- 01- 16","141,300","139,100","141,700","138,500","0.04K","0.93%"
"2024- 01- 15","140,000","141,600","142,500","139,000","0.00K","-1.41%"
"2024- 01- 14","142,000","142,000","142,000","142,000","","0.00%"
"2024- 01- 12","142,000","143,100","143,100","140,100","87.21K","-0.77%"
"2024- 01- 11","143,100","146,900","147,300","143,100","0.23K","-1.92%"
"2024- 01- 10","145,900","148,200","149,500","145,200","0.01K","-1.75%"
"2024- 01- 09","148,500","151,900","153,700","148,500","0.10K","-1.33%"
"2024- 01- 08","150,500","148,000","153,400","145,100","239.06K","3.72%"
"2024- 01- 07","145,100","145,100","145,100","145,100","","0.00%"
"2024- 01- 05","145,100","142,000","147,700","139,900","141.19K","2.18%"
