"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","13,470.00","13,650.00","13,650.00","13,130.00","92.44K","-0.81%"
"2024- 05- 07","13,580.00","13,390.00","13,690.00","13,120.00","140.29K","2.11%"
"2024- 05- 03","13,300.00","12,840.00","13,630.00","12,790.00","219.43K","4.89%"
"2024- 05- 02","12,680.00","13,100.00","13,280.00","12,670.00","151.72K","-3.21%"
"2024- 04- 30","13,100.00","13,150.00","13,940.00","13,100.00","164.63K","-0.15%"
"2024- 04- 29","13,120.00","12,800.00","13,180.00","12,730.00","65.12K","2.90%"
"2024- 04- 26","12,750.00","13,100.00","13,250.00","12,750.00","101.22K","-0.39%"
"2024- 04- 25","12,800.00","13,560.00","13,580.00","12,800.00","159.98K","-6.36%"
"2024- 04- 24","13,670.00","13,930.00","13,970.00","13,610.00","95.74K","-0.15%"
"2024- 04- 23","13,690.00","14,000.00","14,640.00","13,690.00","159.19K","-0.65%"
"2024- 04- 22","13,780.00","12,940.00","13,900.00","12,940.00","172.76K","6.49%"
"2024- 04- 19","12,940.00","13,580.00","13,780.00","12,880.00","134.24K","-6.57%"
"2024- 04- 18","13,850.00","12,740.00","14,400.00","12,550.00","460.09K","9.14%"
"2024- 04- 17","12,690.00","12,850.00","13,070.00","12,560.00","110.51K","-1.25%"
"2024- 04- 16","12,850.00","13,310.00","13,410.00","12,600.00","160.21K","-4.74%"
"2024- 04- 15","13,490.00","14,000.00","14,210.00","13,470.00","148.00K","-5.53%"
"2024- 04- 12","14,280.00","14,380.00","14,550.00","14,130.00","88.25K","0.56%"
"2024- 04- 11","14,200.00","14,340.00","14,630.00","14,050.00","122.06K","-3.34%"
"2024- 04- 09","14,690.00","15,170.00","15,390.00","14,670.00","197.26K","-4.73%"
"2024- 04- 08","15,420.00","16,100.00","16,100.00","15,390.00","159.37K","-4.22%"
"2024- 04- 05","16,100.00","15,870.00","16,250.00","15,650.00","192.08K","-0.06%"
"2024- 04- 04","16,110.00","16,790.00","16,880.00","15,900.00","327.67K","-3.59%"
"2024- 04- 03","16,710.00","17,070.00","17,340.00","16,550.00","442.36K","-1.71%"
"2024- 04- 02","17,000.00","19,200.00","19,460.00","17,000.00","3.30M","2.35%"
"2024- 04- 01","16,610.00","16,110.00","16,660.00","16,010.00","245.63K","3.17%"
"2024- 03- 29","16,100.00","16,180.00","16,320.00","15,700.00","172.99K","0.81%"
"2024- 03- 28","15,970.00","15,600.00","16,620.00","15,420.00","283.54K","2.63%"
"2024- 03- 27","15,560.00","15,640.00","15,780.00","15,090.00","165.58K","-0.26%"
"2024- 03- 26","15,600.00","16,120.00","16,230.00","15,570.00","214.88K","-2.50%"
"2024- 03- 25","16,000.00","16,300.00","16,300.00","15,970.00","98.40K","-0.93%"
"2024- 03- 22","16,150.00","16,060.00","16,250.00","15,890.00","118.96K","-0.62%"
"2024- 03- 21","16,250.00","16,610.00","16,780.00","16,030.00","213.22K","-1.87%"
"2024- 03- 20","16,560.00","17,040.00","17,090.00","16,550.00","129.28K","-2.19%"
"2024- 03- 19","16,930.00","17,050.00","17,090.00","16,680.00","79.38K","-0.12%"
"2024- 03- 18","16,950.00","16,890.00","17,100.00","16,640.00","96.24K","-0.24%"
"2024- 03- 15","16,990.00","16,850.00","17,050.00","16,400.00","168.26K","-0.06%"
"2024- 03- 14","17,000.00","17,370.00","17,370.00","16,630.00","0.11K","-0.93%"
"2024- 03- 13","17,160.00","17,190.00","17,910.00","17,050.00","0.01K","1.42%"
"2024- 03- 12","16,920.00","16,510.00","17,370.00","16,510.00","236.81K","2.92%"
"2024- 03- 11","16,440.00","17,290.00","17,290.00","16,380.00","0.20K","-4.97%"
"2024- 03- 10","17,300.00","17,300.00","17,300.00","17,300.00","","0.00%"
"2024- 03- 08","17,300.00","18,350.00","18,480.00","17,260.00","244.63K","-5.67%"
"2024- 03- 07","18,340.00","18,050.00","18,440.00","17,420.00","0.01K","1.66%"
"2024- 03- 06","18,040.00","17,060.00","18,290.00","17,000.00","0.21K","4.22%"
"2024- 03- 05","17,310.00","17,800.00","17,800.00","17,170.00","176.27K","-2.26%"
"2024- 03- 04","17,710.00","17,460.00","17,750.00","17,030.00","270.79K","-0.84%"
