"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","17,760","17,650","17,990","17,650","5.43K","0.28%"
"2024- 05- 07","17,710","17,970","17,970","17,600","11.12K","0.06%"
"2024- 05- 03","17,700","17,640","18,050","17,570","12.72K","0.34%"
"2024- 05- 02","17,640","17,500","17,740","17,400","13.70K","0.80%"
"2024- 04- 30","17,500","17,300","17,600","17,220","15.02K","1.16%"
"2024- 04- 29","17,300","17,380","17,480","17,160","13.07K","0.82%"
"2024- 04- 26","17,160","17,500","17,680","17,120","26.13K","-1.66%"
"2024- 04- 25","17,450","17,200","17,640","17,200","27.88K","0.58%"
"2024- 04- 24","17,350","17,470","17,680","16,830","43.84K","-0.86%"
"2024- 04- 23","17,500","17,540","17,700","17,470","16.06K","-0.06%"
"2024- 04- 22","17,510","17,990","18,510","17,470","53.29K","-3.21%"
"2024- 04- 19","18,090","18,460","18,690","17,800","25.73K","-1.84%"
"2024- 04- 18","18,430","18,250","18,630","18,250","13.73K","0.71%"
"2024- 04- 17","18,300","18,570","21,150","18,240","168.94K","-0.71%"
"2024- 04- 16","18,430","18,390","18,520","18,140","18.65K","0.22%"
"2024- 04- 15","18,390","18,290","18,590","18,280","15.85K","-1.13%"
"2024- 04- 12","18,600","18,760","18,900","18,500","7.21K","-0.53%"
"2024- 04- 11","18,700","19,060","19,060","18,500","15.05K","-0.48%"
"2024- 04- 09","18,790","18,890","19,190","18,770","7.22K","-0.48%"
"2024- 04- 08","18,880","19,100","19,230","18,880","14.55K","-1.92%"
"2024- 04- 05","19,250","19,450","19,500","19,170","20.25K","-1.03%"
"2024- 04- 04","19,450","19,660","19,990","19,420","11.35K","-1.72%"
"2024- 04- 03","19,790","19,950","20,150","19,690","16.69K","-1.00%"
"2024- 04- 02","19,990","20,300","20,650","19,970","18.86K","-2.25%"
"2024- 04- 01","20,450","19,350","21,250","19,340","104.58K","4.44%"
"2024- 03- 29","19,580","19,240","19,720","18,910","44.16K","1.66%"
"2024- 03- 28","19,260","18,800","19,510","18,670","39.18K","2.77%"
"2024- 03- 27","18,740","18,930","18,930","18,680","12.17K","-0.53%"
"2024- 03- 26","18,840","18,560","18,960","18,560","25.79K","1.07%"
"2024- 03- 25","18,640","18,580","18,790","18,580","10.46K","-0.21%"
