"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","4,140","4,015","4,175","4,000","19.60K","1.22%"
"2024- 05- 07","4,090","4,085","4,190","4,055","31.51K","-1.21%"
"2024- 05- 03","4,140","4,080","4,195","4,070","47.68K","1.72%"
"2024- 05- 02","4,070","3,900","4,140","3,900","60.87K","4.36%"
"2024- 04- 30","3,900","3,950","3,950","3,815","18.13K","0.13%"
"2024- 04- 29","3,895","3,820","3,970","3,775","37.54K","3.32%"
"2024- 04- 26","3,770","3,605","4,200","3,605","437.80K","5.16%"
"2024- 04- 25","3,585","3,615","3,650","3,580","11.64K","-0.83%"
"2024- 04- 24","3,615","3,690","3,695","3,455","24.53K","-1.36%"
"2024- 04- 23","3,665","3,640","3,700","3,640","15.87K","0.14%"
"2024- 04- 22","3,660","3,685","3,685","3,550","13.96K","-0.14%"
"2024- 04- 19","3,665","3,420","4,100","3,420","162.23K","4.71%"
"2024- 04- 18","3,500","3,360","3,590","3,360","17.45K","3.09%"
"2024- 04- 17","3,395","3,500","3,590","3,370","28.29K","-1.31%"
"2024- 04- 16","3,440","3,515","3,535","3,370","16.90K","-2.55%"
"2024- 04- 15","3,530","3,630","3,635","3,475","55.75K","-2.89%"
"2024- 04- 12","3,635","3,610","3,725","3,610","38.24K","-1.09%"
"2024- 04- 11","3,675","3,760","3,830","3,655","12.75K","-1.87%"
"2024- 04- 09","3,745","3,780","3,890","3,715","17.19K","0.40%"
"2024- 04- 08","3,730","3,870","3,965","3,700","49.67K","-3.12%"
"2024- 04- 05","3,850","3,910","3,950","3,850","24.53K","-1.66%"
"2024- 04- 04","3,915","4,060","4,065","3,915","77.06K","-3.45%"
"2024- 04- 03","4,055","4,120","4,145","4,045","32.42K","-1.82%"
"2024- 04- 02","4,130","4,280","4,280","4,130","34.16K","-0.60%"
"2024- 04- 01","4,155","4,170","4,210","4,155","19.04K","-0.12%"
"2024- 03- 29","4,160","4,240","4,255","4,160","28.16K","-0.60%"
"2024- 03- 28","4,185","4,220","4,305","4,175","23.10K","-1.30%"
"2024- 03- 27","4,240","4,200","4,265","4,150","36.59K","0.95%"
"2024- 03- 26","4,200","4,320","4,320","4,195","24.90K","-0.71%"
"2024- 03- 25","4,230","4,350","4,350","4,230","37.38K","-0.59%"
"2024- 03- 22","4,255","4,260","4,260","4,180","28.23K","0.95%"
"2024- 03- 21","4,215","4,150","4,550","4,045","107.65K","2.55%"
"2024- 03- 20","4,110","4,075","4,190","4,035","37.00K","0.86%"
"2024- 03- 19","4,075","4,220","4,220","4,060","38.10K","-2.28%"
"2024- 03- 18","4,170","4,165","4,235","4,150","15.91K","-0.71%"
"2024- 03- 15","4,200","4,260","4,260","4,150","29.74K","-1.18%"
"2024- 03- 14","4,250","4,290","4,315","4,230","42.96K","-1.05%"
"2024- 03- 13","4,295","4,215","4,405","4,170","56.22K","1.90%"
"2024- 03- 12","4,215","4,275","4,300","4,205","23.02K","0.36%"
"2024- 03- 11","4,200","4,135","4,260","4,130","17.25K","-0.12%"
"2024- 03- 08","4,205","4,235","4,320","4,100","52.40K","-0.71%"
"2024- 03- 07","4,235","4,300","4,350","4,235","31.89K","-1.40%"
"2024- 03- 06","4,295","4,110","4,865","4,110","351.67K","4.50%"
"2024- 03- 05","4,110","4,220","4,300","4,105","78.33K","-4.53%"
"2024- 03- 04","4,305","4,380","4,400","4,305","27.29K","-1.71%"
"2024- 02- 29","4,380","4,385","4,490","4,360","23.91K","-0.23%"
"2024- 02- 28","4,390","4,420","4,500","4,380","13.95K","-0.11%"
"2024- 02- 27","4,395","4,450","4,520","4,380","24.59K","-1.46%"
"2024- 02- 26","4,460","4,455","4,500","4,430","23.90K","0.11%"
"2024- 02- 23","4,455","4,420","4,490","4,400","33.73K","0.22%"
"2024- 02- 22","4,445","4,445","4,495","4,400","34.68K","-0.11%"
"2024- 02- 21","4,450","4,480","4,610","4,450","37.42K","-1.55%"
"2024- 02- 20","4,520","4,560","4,575","4,520","0.02K","-0.88%"
"2024- 02- 19","4,560","4,590","4,600","4,505","21.61K","0.00%"
"2024- 02- 18","4,560","4,560","4,560","4,560","","0.00%"
"2024- 02- 16","4,560","4,760","4,920","4,550","108.08K","1.11%"
"2024- 02- 15","4,510","4,480","4,570","4,480","14.88K","0.22%"
"2024- 02- 14","4,500","4,420","4,505","4,380","16.79K","0.78%"
"2024- 02- 13","4,465","4,430","4,520","4,425","40.54K","-1.98%"
"2024- 02- 08","4,555","4,620","4,620","4,500","22.54K","-0.87%"
"2024- 02- 07","4,595","4,500","4,595","4,460","14.48K","2.57%"
"2024- 02- 06","4,480","4,500","4,530","4,395","16.87K","-0.67%"
"2024- 02- 05","4,510","4,525","4,630","4,415","31.94K","1.12%"
"2024- 02- 02","4,460","4,400","4,490","4,385","12.23K","1.02%"
