"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","12,250","12,240","12,310","12,100","145.33K","0.49%"
"2024- 05- 07","12,190","12,250","12,290","12,120","166.53K","0.58%"
"2024- 05- 03","12,120","12,040","12,170","12,010","105.77K","0.75%"
"2024- 05- 02","12,030","12,280","12,360","12,010","154.13K","-1.96%"
"2024- 04- 30","12,270","12,150","12,330","12,120","154.68K","0.33%"
"2024- 04- 29","12,230","12,030","12,230","11,980","220.91K","2.09%"
"2024- 04- 26","11,980","12,060","12,160","11,870","124.06K","-0.33%"
"2024- 04- 25","12,020","12,020","12,150","11,950","78.60K","-0.99%"
"2024- 04- 24","12,140","11,950","12,170","11,950","154.36K","2.79%"
"2024- 04- 23","11,810","11,910","12,110","11,810","126.02K","-0.59%"
"2024- 04- 22","11,880","11,700","12,040","11,650","181.34K","1.54%"
"2024- 04- 19","11,700","11,960","11,960","11,410","221.76K","-3.15%"
"2024- 04- 18","12,080","11,600","12,090","11,570","164.28K","3.87%"
"2024- 04- 17","11,630","11,560","11,850","11,560","164.04K","0.35%"
"2024- 04- 16","11,590","11,790","11,990","11,490","337.08K","-3.34%"
"2024- 04- 15","11,990","12,070","12,090","11,850","199.82K","-2.04%"
"2024- 04- 12","12,240","12,450","12,580","12,200","233.66K","-1.21%"
"2024- 04- 11","12,390","12,310","12,450","12,130","192.19K","-1.12%"
"2024- 04- 09","12,530","12,450","12,780","12,450","229.26K","0.64%"
"2024- 04- 08","12,450","12,750","12,760","12,280","334.31K","-0.40%"
"2024- 04- 05","12,500","12,780","12,810","12,350","355.11K","-2.50%"
"2024- 04- 04","12,820","13,020","13,150","12,660","412.07K","-1.16%"
"2024- 04- 03","12,970","13,010","13,330","12,840","411.16K","-0.54%"
"2024- 04- 02","13,040","13,740","13,740","13,010","391.48K","-4.47%"
"2024- 04- 01","13,650","13,480","13,780","13,270","278.51K","0.74%"
"2024- 03- 29","13,550","13,820","13,850","13,550","381.34K","-1.95%"
"2024- 03- 28","13,820","14,050","14,130","13,790","239.67K","-0.65%"
"2024- 03- 27","13,910","14,090","14,190","13,880","242.65K","-0.64%"
"2024- 03- 26","14,000","14,110","14,240","13,980","281.32K","-1.20%"
"2024- 03- 25","14,170","14,310","14,440","14,060","375.78K","0.71%"
"2024- 03- 22","14,070","13,930","14,230","13,900","259.65K","1.01%"
"2024- 03- 21","13,930","14,100","14,240","13,910","297.17K","-0.43%"
"2024- 03- 20","13,990","14,270","14,380","13,940","255.19K","-1.76%"
"2024- 03- 19","14,240","14,170","14,700","13,970","441.20K","0.92%"
"2024- 03- 18","14,110","13,880","14,230","13,880","309.43K","1.66%"
"2024- 03- 17","13,880","13,880","13,880","13,880","","-1.63%"
"2024- 03- 15","14,110","13,880","14,190","13,860","32.62K","-0.70%"
"2024- 03- 14","14,210","14,590","14,670","14,180","0.03K","-2.60%"
"2024- 03- 13","14,590","14,260","14,680","14,100","0.17K","2.82%"
"2024- 03- 12","14,190","14,080","14,190","13,840","272.54K","0.50%"
"2024- 03- 11","14,120","14,140","14,280","13,910","0.05K","-0.42%"
"2024- 03- 10","14,180","14,180","14,180","14,180","","0.00%"
"2024- 03- 08","14,180","13,610","14,450","13,610","510.09K","4.19%"
"2024- 03- 07","13,610","14,490","14,490","13,590","0.03K","-6.01%"
"2024- 03- 06","14,480","14,680","14,690","14,470","308.97K","-2.29%"
"2024- 03- 05","14,820","15,150","15,300","14,730","0.01K","-1.98%"
"2024- 03- 04","15,120","14,870","15,320","14,870","0.04K","1.48%"
"2024- 03- 03","14,900","14,900","14,900","14,900","","0.00%"
"2024- 02- 29","14,900","14,940","14,950","14,730","308.76K","-0.53%"
"2024- 02- 28","14,980","15,070","15,170","14,910","0.25K","-0.60%"
"2024- 02- 27","15,070","15,100","15,230","14,740","0.10K","-0.20%"
"2024- 02- 26","15,100","15,510","15,520","15,100","0.17K","-2.58%"
"2024- 02- 25","15,500","15,500","15,500","15,500","","0.00%"
"2024- 02- 23","15,500","16,190","16,190","15,500","600.78K","-3.55%"
"2024- 02- 22","16,070","15,880","16,250","15,810","331.96K","1.39%"
"2024- 02- 21","15,850","16,000","16,150","15,840","0.61K","-1.43%"
"2024- 02- 20","16,080","16,160","16,240","15,890","0.10K","-0.62%"
"2024- 02- 19","16,180","16,020","16,400","15,850","0.11K","3.06%"
"2024- 02- 18","15,700","15,700","15,700","15,700","","0.00%"
"2024- 02- 16","15,700","15,640","16,050","15,560","554.63K","0.71%"
"2024- 02- 15","15,590","15,730","15,960","15,540","0.67K","-0.26%"
"2024- 02- 14","15,630","15,290","15,770","15,200","0.04K","0.51%"
"2024- 02- 13","15,550","15,360","15,650","15,140","0.00K","1.17%"
"2024- 02- 12","15,370","15,370","15,370","15,370","","0.00%"
"2024- 02- 08","15,370","15,580","15,810","15,330","269.74K","0.00%"
"2024- 02- 07","15,370","15,950","15,960","15,240","295.95K","-2.78%"
"2024- 02- 06","15,810","15,560","15,970","15,130","323.49K","0.57%"
