"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","239,500","238,500","245,000","238,500","122.25K","-0.21%"
"2024- 04- 29","240,000","231,500","241,000","231,500","148.40K","4.58%"
"2024- 04- 26","229,500","227,500","232,500","227,000","175.24K","1.77%"
"2024- 04- 25","225,500","237,500","238,000","225,000","318.64K","-6.04%"
"2024- 04- 24","240,000","240,000","245,500","239,500","263.06K","0.84%"
"2024- 04- 23","238,000","243,500","247,000","232,000","533.18K","-8.11%"
"2024- 04- 22","259,000","258,000","262,500","254,000","70.21K","1.97%"
"2024- 04- 19","254,000","256,000","261,500","250,500","110.90K","-2.31%"
"2024- 04- 18","260,000","255,500","262,000","252,500","126.37K","2.77%"
"2024- 04- 17","253,000","254,500","257,500","249,000","100.58K","-0.39%"
"2024- 04- 16","254,000","244,000","255,000","242,500","106.43K","2.83%"
"2024- 04- 15","247,000","235,500","247,500","231,000","85.94K","3.56%"
"2024- 04- 12","238,500","244,500","247,000","237,000","86.44K","-3.64%"
"2024- 04- 11","247,500","237,500","248,000","237,000","109.12K","2.27%"
"2024- 04- 09","242,000","247,000","249,500","239,000","55.36K","-0.62%"
"2024- 04- 08","243,500","248,500","251,500","243,500","65.86K","-2.40%"
"2024- 04- 05","249,500","249,500","253,000","248,500","39.75K","-1.38%"
"2024- 04- 04","253,000","255,500","260,000","250,000","103.87K","-0.20%"
"2024- 04- 03","253,500","250,000","256,000","249,000","91.68K","0.60%"
"2024- 04- 02","252,000","246,000","257,500","244,500","122.25K","0.60%"
"2024- 04- 01","250,500","252,000","253,500","248,000","73.94K","1.42%"
"2024- 03- 29","247,000","250,000","253,000","243,500","104.09K","-1.20%"
"2024- 03- 28","250,000","255,500","255,500","247,000","155.07K","-2.72%"
"2024- 03- 27","257,000","250,000","265,000","248,000","370.59K","4.26%"
"2024- 03- 26","246,500","242,500","247,000","238,500","123.23K","2.71%"
"2024- 03- 25","240,000","236,000","242,500","232,500","95.40K","1.69%"
"2024- 03- 22","236,000","237,500","240,000","232,500","64.08K","-1.87%"
"2024- 03- 21","240,500","239,000","241,000","234,500","81.18K","1.26%"
"2024- 03- 20","237,500","241,000","243,000","234,000","71.94K","0.21%"
"2024- 03- 19","237,000","234,500","243,000","234,000","114.37K","-0.42%"
"2024- 03- 18","238,000","233,000","240,000","230,500","95.14K","3.25%"
"2024- 03- 17","230,500","230,500","230,500","230,500","","0.00%"
"2024- 03- 15","230,500","234,000","234,500","222,000","175.75K","-1.91%"
"2024- 03- 14","235,000","239,000","241,500","213,500","501.97K","-1.67%"
"2024- 03- 13","239,000","234,500","239,500","231,500","79.92K","2.14%"
"2024- 03- 12","234,000","234,500","239,000","229,500","97.73K","0.65%"
"2024- 03- 11","232,500","225,000","234,500","224,000","117.73K","4.73%"
"2024- 03- 08","222,000","219,500","226,000","218,500","97.72K","2.78%"
"2024- 03- 07","216,000","214,500","221,000","213,500","74.77K","1.41%"
"2024- 03- 06","213,000","215,000","218,000","210,500","69.87K","-2.29%"
"2024- 03- 05","218,000","215,500","221,000","215,500","68.55K","0.23%"
"2024- 03- 04","217,500","226,500","230,000","216,000","126.70K","-4.19%"
"2024- 02- 29","227,000","223,000","227,000","220,000","97.47K","0.89%"
"2024- 02- 28","225,000","225,000","229,500","223,000","82.77K","0.45%"
"2024- 02- 27","224,000","219,500","225,500","217,000","98.43K","2.99%"
"2024- 02- 26","217,500","226,000","226,000","217,500","90.19K","-3.12%"
"2024- 02- 23","224,500","226,000","229,000","222,500","88.32K","-0.22%"
"2024- 02- 22","225,000","228,000","228,000","222,000","78.06K","-0.44%"
"2024- 02- 21","226,000","234,500","235,500","224,000","111.14K","-2.59%"
"2024- 02- 20","232,000","235,000","238,000","229,000","69.21K","-1.28%"
"2024- 02- 19","235,000","237,500","239,500","232,500","55.59K","-1.05%"
"2024- 02- 18","237,500","237,500","237,500","237,500","","0.00%"
"2024- 02- 16","237,500","243,000","243,500","236,000","64.23K","-0.21%"
"2024- 02- 15","238,000","242,000","242,000","235,000","82.73K","-0.63%"
"2024- 02- 14","239,500","227,500","243,000","226,500","271.47K","4.13%"
"2024- 02- 13","230,000","219,500","230,000","219,000","284.20K","7.48%"
"2024- 02- 08","214,000","213,000","216,000","211,500","121.80K","0.94%"
"2024- 02- 07","212,000","212,000","217,000","210,500","67.48K","0.24%"
"2024- 02- 06","211,500","218,000","222,000","210,000","93.10K","-3.86%"
"2024- 02- 05","220,000","221,000","222,000","214,000","93.11K","-1.35%"
"2024- 02- 02","223,000","215,000","225,000","214,500","144.08K","4.21%"
"2024- 02- 01","214,000","212,000","217,500","208,500","98.73K","-0.23%"
"2024- 01- 31","214,500","218,500","220,000","212,000","101.75K","-1.83%"
"2024- 01- 30","218,500","215,000","226,500","214,000","238.75K","2.82%"
"2024- 01- 29","212,500","220,000","229,000","212,000","248.51K","0.95%"
"2024- 01- 26","210,500","204,500","215,500","204,000","105.10K","1.69%"
"2024- 01- 25","207,000","209,500","209,500","202,500","79.53K","-0.24%"
"2024- 01- 24","207,500","206,000","212,500","203,500","156.95K","1.72%"
"2024- 01- 23","204,000","197,400","205,500","194,200","88.09K","4.08%"
"2024- 01- 22","196,000","195,100","201,500","193,600","56.25K","1.29%"
"2024- 01- 19","193,500","186,000","194,500","186,000","87.26K","4.88%"
"2024- 01- 18","184,500","187,300","188,700","184,400","56.42K","-0.81%"
"2024- 01- 17","186,000","196,400","197,000","186,000","86.59K","-4.62%"
"2024- 01- 16","195,000","201,500","204,000","195,000","78.74K","-4.41%"
"2024- 01- 15","204,000","203,500","206,000","200,500","60.10K","1.24%"
"2024- 01- 12","201,500","200,500","202,500","199,100","42.26K","0.25%"
"2024- 01- 11","201,000","205,500","205,500","201,000","67.23K","-0.99%"
"2024- 01- 10","203,000","207,000","208,000","199,400","87.72K","-1.69%"
"2024- 01- 09","206,500","203,500","208,500","202,000","88.55K","2.74%"
"2024- 01- 08","201,000","199,800","202,000","196,800","67.67K","-0.25%"
"2024- 01- 05","201,500","201,500","211,000","199,100","138.55K","0.50%"
"2024- 01- 04","200,500","193,600","202,500","192,300","137.23K","2.93%"
"2024- 01- 03","194,800","196,300","199,200","194,100","131.50K","-0.51%"
"2024- 01- 02","195,800","193,500","197,900","191,400","112.50K","1.14%"
