"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","131,800","131,000","134,300","131,000","49.65K","0.46%"
"2024- 04- 29","131,200","134,300","134,300","130,300","41.47K","-0.68%"
"2024- 04- 26","132,100","128,100","132,500","128,500","59.39K","2.64%"
"2024- 04- 25","128,700","130,100","131,100","128,700","51.32K","-1.38%"
"2024- 04- 24","130,500","132,200","134,500","130,200","72.05K","-0.23%"
"2024- 04- 23","130,800","131,100","133,500","129,800","62.07K","-0.15%"
"2024- 04- 22","131,000","126,000","131,100","124,600","104.29K","6.24%"
"2024- 04- 19","123,300","122,600","127,100","121,800","52.13K","-2.45%"
"2024- 04- 18","126,400","121,000","127,000","120,000","76.07K","6.13%"
"2024- 04- 17","119,100","119,300","120,900","119,000","28.41K","-1.08%"
"2024- 04- 16","120,400","123,900","124,600","119,200","39.80K","-2.82%"
"2024- 04- 15","123,900","121,600","124,900","119,500","50.81K","2.82%"
"2024- 04- 12","120,500","123,000","123,800","120,400","41.66K","-2.59%"
"2024- 04- 11","123,700","121,900","127,300","117,600","90.31K","-1.51%"
"2024- 04- 09","125,600","124,900","128,000","124,100","55.41K","2.03%"
"2024- 04- 08","123,100","124,000","125,200","122,500","70.87K","-1.05%"
"2024- 04- 05","124,400","121,300","128,900","120,900","90.80K","1.63%"
"2024- 04- 04","122,400","123,100","125,400","121,600","94.59K","1.32%"
"2024- 04- 03","120,800","118,100","122,000","118,000","58.68K","1.00%"
"2024- 04- 02","119,600","118,900","121,900","118,000","47.61K","-0.33%"
"2024- 04- 01","120,000","122,900","126,100","119,300","82.25K","-1.40%"
"2024- 03- 29","121,700","123,300","123,800","120,600","62.63K","-1.30%"
"2024- 03- 28","123,300","125,000","127,800","122,600","70.64K","-1.20%"
"2024- 03- 27","124,800","125,100","126,400","122,200","103.88K","-1.11%"
"2024- 03- 26","126,200","127,600","128,100","125,600","45.17K","0.00%"
"2024- 03- 25","126,200","131,200","132,000","126,100","84.50K","-3.96%"
"2024- 03- 22","131,400","132,000","133,800","131,000","37.22K","-1.79%"
"2024- 03- 21","133,800","132,200","134,500","132,200","49.95K","1.67%"
"2024- 03- 20","131,600","133,600","134,900","131,300","41.67K","-0.30%"
"2024- 03- 19","132,000","129,100","135,700","128,100","61.58K","0.76%"
"2024- 03- 18","131,000","132,600","132,700","128,000","61.52K","-0.23%"
"2024- 03- 15","131,300","133,800","136,600","129,600","107.05K","-2.52%"
"2024- 03- 14","134,700","132,300","136,300","124,300","0.05K","2.90%"
"2024- 03- 13","130,900","125,000","134,000","124,100","137.92K","5.06%"
"2024- 03- 12","124,600","124,600","126,400","123,600","105.36K","0.00%"
"2024- 03- 11","124,600","128,500","130,000","123,300","146.45K","-4.74%"
"2024- 03- 08","130,800","131,400","133,600","130,200","67.12K","0.54%"
"2024- 03- 07","130,100","129,500","130,700","127,400","46.54K","0.46%"
"2024- 03- 06","129,500","133,800","133,800","128,300","104.69K","-3.93%"
"2024- 03- 05","134,800","130,100","135,900","130,000","113.68K","1.66%"
"2024- 03- 04","132,600","127,900","133,300","127,800","166.94K","5.49%"
"2024- 03- 03","125,700","125,700","125,700","125,700","","0.00%"
"2024- 02- 29","125,700","123,600","128,600","122,500","60.94K","0.64%"
"2024- 02- 28","124,900","123,500","125,900","121,200","0.01K","1.05%"
"2024- 02- 27","123,600","121,800","125,500","120,400","0.01K","1.39%"
"2024- 02- 26","121,900","122,500","123,900","114,600","170.30K","-3.56%"
"2024- 02- 25","126,400","126,400","126,400","126,400","","0.00%"
"2024- 02- 23","126,400","122,700","127,500","121,200","158.70K","3.86%"
"2024- 02- 22","121,700","122,000","122,500","119,900","49.22K","0.75%"
"2024- 02- 21","120,800","121,400","121,800","120,100","79.83K","0.42%"
"2024- 02- 20","120,300","122,000","122,000","118,800","66.10K","-1.23%"
"2024- 02- 19","121,800","119,300","122,500","118,000","96.36K","2.10%"
"2024- 02- 16","119,300","118,000","119,600","115,900","94.50K","3.02%"
"2024- 02- 15","115,800","114,800","119,000","113,000","146.93K","2.57%"
"2024- 02- 14","112,900","113,300","114,400","111,300","59.24K","-1.40%"
"2024- 02- 13","114,500","110,600","116,200","110,500","0.10K","5.14%"
"2024- 02- 12","108,900","108,900","108,900","108,900","","0.00%"
"2024- 02- 08","108,900","110,000","112,000","108,100","50.78K","-1.00%"
"2024- 02- 07","110,000","108,500","110,900","107,300","63.42K","2.14%"
"2024- 02- 06","107,700","109,200","112,000","106,900","68.95K","-1.55%"
"2024- 02- 05","109,400","111,000","111,200","107,000","98.62K","-2.50%"
"2024- 02- 04","112,200","112,200","112,200","112,200","","0.00%"
"2024- 02- 02","112,200","107,300","113,800","105,500","197.11K","4.28%"
"2024- 02- 01","107,600","96,200","108,200","96,200","0.01K","11.27%"
"2024- 01- 31","96,700","98,000","99,400","96,100","70.26K","-1.73%"
"2024- 01- 30","98,400","97,000","99,900","96,100","92.99K","3.14%"
