"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 08","6,070","5,970","6,100","5,970","22.40K","1.17%"
"2024- 05- 07","6,000","5,950","6,020","5,940","22.31K","0.84%"
"2024- 05- 03","5,950","5,880","6,030","5,850","40.05K","1.02%"
"2024- 05- 02","5,890","5,770","6,330","5,770","406.03K","2.08%"
"2024- 04- 30","5,770","5,730","5,820","5,730","21.68K","-0.17%"
"2024- 04- 29","5,780","5,740","5,820","5,710","17.93K","0.70%"
"2024- 04- 26","5,740","5,690","5,740","5,670","12.96K","1.59%"
"2024- 04- 25","5,650","5,750","5,820","5,650","45.98K","-2.25%"
"2024- 04- 24","5,780","5,800","5,850","5,770","22.78K","-0.17%"
"2024- 04- 23","5,790","5,790","5,890","5,780","34.80K","-0.69%"
"2024- 04- 22","5,830","5,860","5,910","5,810","29.69K","-0.34%"
"2024- 04- 19","5,850","5,850","5,890","5,710","52.71K","0.34%"
"2024- 04- 18","5,830","5,830","5,910","5,820","18.51K","0.17%"
"2024- 04- 17","5,820","5,860","5,980","5,820","24.08K","-1.19%"
"2024- 04- 16","5,890","5,900","6,040","5,850","46.21K","-1.01%"
"2024- 04- 15","5,950","5,970","6,030","5,910","28.05K","-1.65%"
"2024- 04- 12","6,050","6,200","6,200","6,040","34.51K","-2.58%"
"2024- 04- 11","6,210","5,970","6,250","5,910","102.66K","3.67%"
"2024- 04- 09","5,990","5,930","6,050","5,930","50.89K","-0.83%"
"2024- 04- 08","6,040","6,050","6,050","5,930","36.85K","0.00%"
"2024- 04- 05","6,040","6,010","6,070","5,980","51.44K","-0.49%"
"2024- 04- 04","6,070","6,080","6,150","6,010","48.05K","-0.16%"
"2024- 04- 03","6,080","6,080","6,140","6,070","42.31K","-1.14%"
"2024- 04- 02","6,150","6,270","6,320","6,090","56.58K","-1.91%"
"2024- 04- 01","6,270","6,140","6,290","6,140","50.25K","1.95%"
"2024- 03- 29","6,150","6,210","6,300","6,140","67.19K","-0.97%"
